architecture	dataset	run	use_generated_sents	sent_len	token_index	min_logit	mean_logit	max_logit	total_time
init	flickr8k	1	True	4	0	-8.938334	-1.9815018	7.6359134	0
init	flickr8k	1	True	4	1	-9.8656025	-1.6416913	11.270692	0
init	flickr8k	1	True	4	2	-10.212152	-2.1036716	10.201627	0
init	flickr8k	1	True	4	3	-11.151195	-2.6668184	11.2231	0
init	flickr8k	1	True	4	4	-9.430371	-1.7811548	9.24744	0
init	flickr8k	1	True	4	5	-10.462944	-2.4147866	10.632567	0
init	flickr8k	1	True	5	0	-8.910573	-1.9969214	7.507043	0
init	flickr8k	1	True	5	1	-9.872979	-1.7238579	11.238436	0
init	flickr8k	1	True	5	2	-9.806092	-1.9617109	10.2943325	0
init	flickr8k	1	True	5	3	-10.672451	-2.451686	10.930759	0
init	flickr8k	1	True	5	4	-11.171841	-2.5671177	11.475149	0
init	flickr8k	1	True	5	5	-9.785802	-1.7595506	10.708907	0
init	flickr8k	1	True	5	6	-10.6112585	-2.4340925	11.197341	0
init	flickr8k	1	True	6	0	-9.019017	-1.9851652	7.6219673	0
init	flickr8k	1	True	6	1	-9.907664	-1.6767887	11.511562	0
init	flickr8k	1	True	6	2	-9.901033	-1.939164	10.575116	0
init	flickr8k	1	True	6	3	-10.244681	-2.0620794	10.52131	0
init	flickr8k	1	True	6	4	-10.696977	-2.403671	10.726489	0
init	flickr8k	1	True	6	5	-11.050982	-2.5664237	11.352515	0
init	flickr8k	1	True	6	6	-9.71464	-1.7568908	10.274024	0
init	flickr8k	1	True	6	7	-10.615119	-2.3961244	11.049749	0
init	flickr8k	1	True	7	0	-9.01571	-2.0143213	7.622967	0
init	flickr8k	1	True	7	1	-10.020257	-1.6713115	11.402055	0
init	flickr8k	1	True	7	2	-10.007595	-2.003029	10.986796	0
init	flickr8k	1	True	7	3	-10.746705	-2.2739718	10.778682	0
init	flickr8k	1	True	7	4	-10.035254	-1.869972	10.503209	0
init	flickr8k	1	True	7	5	-10.895665	-2.3652701	11.008781	0
init	flickr8k	1	True	7	6	-10.977731	-2.4718852	10.949112	0
init	flickr8k	1	True	7	7	-9.652919	-1.6202947	10.209814	0
init	flickr8k	1	True	7	8	-10.517207	-2.4085872	11.103156	0
init	flickr8k	1	True	8	0	-9.011225	-2.0074008	7.363257	0
init	flickr8k	1	True	8	1	-9.905053	-1.6501892	11.445592	0
init	flickr8k	1	True	8	2	-10.028452	-2.0502284	11.376057	0
init	flickr8k	1	True	8	3	-10.730646	-2.2459152	10.634565	0
init	flickr8k	1	True	8	4	-10.391245	-2.1057665	10.874204	0
init	flickr8k	1	True	8	5	-10.222099	-1.9555743	10.392229	0
init	flickr8k	1	True	8	6	-10.618953	-2.2716234	11.0659	0
init	flickr8k	1	True	8	7	-11.081195	-2.5701072	11.246136	0
init	flickr8k	1	True	8	8	-9.696192	-1.6425607	10.05729	0
init	flickr8k	1	True	8	9	-10.391245	-2.3918767	10.873199	0
init	flickr8k	1	True	9	0	-8.988125	-1.996289	7.3232718	0
init	flickr8k	1	True	9	1	-9.95225	-1.6630642	11.364194	0
init	flickr8k	1	True	9	2	-10.1705265	-2.087854	10.949588	0
init	flickr8k	1	True	9	3	-11.392222	-2.536587	11.134037	0
init	flickr8k	1	True	9	4	-9.821016	-1.7157971	10.544739	0
init	flickr8k	1	True	9	5	-10.2034235	-1.7754058	10.748023	0
init	flickr8k	1	True	9	6	-10.334763	-2.1273012	10.510168	0
init	flickr8k	1	True	9	7	-10.827913	-2.3717937	10.89472	0
init	flickr8k	1	True	9	8	-11.164038	-2.6156266	11.106568	0
init	flickr8k	1	True	9	9	-9.623381	-1.6561377	9.616006	0
init	flickr8k	1	True	9	10	-10.372033	-2.3755376	10.850478	0
init	flickr8k	1	True	10	0	-8.978897	-2.00806	7.4295187	0
init	flickr8k	1	True	10	1	-9.867078	-1.6391808	11.39697	0
init	flickr8k	1	True	10	2	-10.251712	-2.082163	10.96844	0
init	flickr8k	1	True	10	3	-11.687839	-2.5758233	11.295645	0
init	flickr8k	1	True	10	4	-10.085224	-1.6989772	10.607222	0
init	flickr8k	1	True	10	5	-10.259442	-1.4911779	11.291056	0
init	flickr8k	1	True	10	6	-10.432718	-2.238027	10.460288	0
init	flickr8k	1	True	10	7	-10.745915	-2.1811297	10.499101	0
