architecture	dataset	run	use_generated_sents	sent_len	token_index	min_logit	mean_logit	max_logit	total_time
merge	flickr8k	1	True	5	0	-17.611893	-5.795592	4.5001316	0
merge	flickr8k	1	True	5	1	-16.932331	-5.2855787	7.9912977	0
merge	flickr8k	1	True	5	2	-18.57326	-6.0987396	6.445207	0
merge	flickr8k	1	True	5	3	-19.341982	-6.6050615	7.4275055	0
merge	flickr8k	1	True	5	4	-18.64275	-6.386329	8.057231	0
merge	flickr8k	1	True	5	5	-18.154621	-6.022269	6.5840864	0
merge	flickr8k	1	True	5	6	-19.600134	-6.490379	8.038648	0
merge	flickr8k	1	True	6	0	-17.00201	-5.67295	4.58109	0
merge	flickr8k	1	True	6	1	-16.35697	-5.1597815	8.244888	0
merge	flickr8k	1	True	6	2	-17.71143	-5.8313274	7.3134747	0
merge	flickr8k	1	True	6	3	-17.806831	-5.8992085	6.850483	0
merge	flickr8k	1	True	6	4	-18.94331	-6.48729	7.4545107	0
merge	flickr8k	1	True	6	5	-18.25825	-6.2110868	7.8999696	0
merge	flickr8k	1	True	6	6	-17.596113	-5.8282247	6.5198526	0
merge	flickr8k	1	True	6	7	-19.038437	-6.3563514	7.7410707	0
merge	flickr8k	1	True	7	0	-17.370731	-5.7102427	4.6612372	0
merge	flickr8k	1	True	7	1	-16.67526	-5.194326	8.471161	0
merge	flickr8k	1	True	7	2	-17.780058	-5.55737	8.87346	0
merge	flickr8k	1	True	7	3	-17.85686	-5.8908844	7.1528087	0
merge	flickr8k	1	True	7	4	-18.237923	-5.930655	6.6977077	0
merge	flickr8k	1	True	7	5	-19.658978	-6.511056	7.7308493	0
merge	flickr8k	1	True	7	6	-18.720333	-6.2662287	8.04897	0
merge	flickr8k	1	True	7	7	-17.967823	-5.8608828	6.240166	0
merge	flickr8k	1	True	7	8	-19.543139	-6.4158955	7.9359703	0
merge	flickr8k	1	True	8	0	-17.209152	-5.744728	4.589151	0
merge	flickr8k	1	True	8	1	-16.733086	-5.228837	8.423476	0
merge	flickr8k	1	True	8	2	-17.770742	-5.6760516	9.354085	0
merge	flickr8k	1	True	8	3	-17.172142	-5.733832	7.2991858	0
merge	flickr8k	1	True	8	4	-17.95299	-5.9516873	6.908535	0
merge	flickr8k	1	True	8	5	-18.207294	-5.99267	6.631555	0
merge	flickr8k	1	True	8	6	-19.019882	-6.397622	7.562232	0
merge	flickr8k	1	True	8	7	-18.477118	-6.2569556	7.6157513	0
merge	flickr8k	1	True	8	8	-18.125742	-5.8709297	5.9028993	0
merge	flickr8k	1	True	8	9	-19.432364	-6.434458	7.5070686	0
merge	flickr8k	1	True	9	0	-17.161777	-5.664248	4.646946	0
merge	flickr8k	1	True	9	1	-16.578487	-5.148246	8.422162	0
merge	flickr8k	1	True	9	2	-17.806507	-5.6202893	8.174904	0
merge	flickr8k	1	True	9	3	-16.97944	-5.6747055	8.015647	0
merge	flickr8k	1	True	9	4	-17.057858	-5.4935846	7.331217	0
merge	flickr8k	1	True	9	5	-18.197441	-5.929452	7.2870126	0
merge	flickr8k	1	True	9	6	-18.193886	-5.958079	7.123416	0
merge	flickr8k	1	True	9	7	-18.998363	-6.3544493	7.6366563	0
merge	flickr8k	1	True	9	8	-18.553856	-6.270252	8.130209	0
merge	flickr8k	1	True	9	9	-17.63275	-5.803471	6.200712	0
merge	flickr8k	1	True	9	10	-19.402126	-6.3510594	7.8182845	0
merge	flickr8k	1	True	10	0	-17.093456	-5.6881294	4.5109725	0
merge	flickr8k	1	True	10	1	-16.579344	-5.1721263	8.234699	0
merge	flickr8k	1	True	10	2	-18.296274	-5.9663453	7.732183	0
merge	flickr8k	1	True	10	3	-17.252832	-6.084465	8.020979	0
merge	flickr8k	1	True	10	4	-17.056946	-5.7531424	6.7587037	0
merge	flickr8k	1	True	10	5	-18.16382	-5.7428827	7.316861	0
merge	flickr8k	1	True	10	6	-18.744513	-6.1067863	7.3728304	0
merge	flickr8k	1	True	10	7	-18.095354	-5.9316745	6.6463785	0
merge	flickr8k	1	True	10	8	-19.28059	-6.4875097	7.7415066	0
merge	flickr8k	1	True	10	9	-18.414324	-6.2378397	7.9296207	0
merge	flickr8k	1	True	10	10	-17.703478	-5.766494	5.916891	0
merge	flickr8k	1	True	10	11	-19.303215	-6.338979	7.3920813	0
merge	flickr8k	1	True	11	0	-17.290228	-5.762979	4.6757054	0
merge	flickr8k	1	True	11	1	-16.774965	-5.246976	8.505643	0
merge	flickr8k	1	True	11	2	-17.500605	-5.514723	8.855457	0
merge	flickr8k	1	True	11	3	-18.160772	-6.146493	7.7961445	0
merge	flickr8k	1	True	11	4	-17.364107	-6.1197557	7.588289	0
merge	flickr8k	1	True	11	5	-17.608988	-5.840007	7.135022	0
merge	flickr8k	1	True	11	6	-18.49583	-5.916952	7.5216	0
merge	flickr8k	1	True	11	7	-18.64869	-6.1336436	7.042309	0
merge	flickr8k	1	True	11	8	-18.546118	-6.1269646	7.1506934	0
merge	flickr8k	1	True	11	9	-19.358067	-6.59938	7.824854	0
merge	flickr8k	1	True	11	10	-18.513105	-6.26624	7.689955	0
merge	flickr8k	1	True	11	11	-17.991371	-5.874049	6.148409	0
merge	flickr8k	1	True	11	12	-19.700716	-6.463409	8.035442	0
merge	flickr8k	1	True	12	0	-17.313587	-5.728823	4.7049565	0
merge	flickr8k	1	True	12	1	-16.996935	-5.21282	8.567891	0
merge	flickr8k	1	True	12	2	-18.348667	-5.8987103	8.094826	0
merge	flickr8k	1	True	12	3	-17.534462	-6.152784	8.074987	0
merge	flickr8k	1	True	12	4	-17.443186	-5.8536744	7.088072	0
merge	flickr8k	1	True	12	5	-18.297451	-5.7622857	7.2028203	0
