architecture	dataset	run	use_generated_sents	sent_len	token_index	num_caps	gradient_wrt_image_next	gradient_wrt_image_max	gradient_wrt_prefix_next	gradient_wrt_prefix_max	gradient_wrt_prevtoken_next	gradient_wrt_prevtoken_max	gradient_wrt_firsttoken_next	gradient_wrt_firsttoken_max	gradient_wrt_postimage_next	gradient_wrt_postimage_max	gradient_wrt_multimodalvec_next	gradient_wrt_multimodalvec_max	omission_image_cos	omission_postimage_cos	omission_multimodalvec_cos	omission_logits_cos	omission_output_cos	omission_output_jsd	num_negatives_logit	frac_negatives_logit	total_time
par	flickr8k	1	True	4	0	20	4.938652e-06	0.0013125247	7.732853e-05	0.011811303	0.00013159015	0.019783411	2.3066905e-05	0.0038391936	7.879845e-06	0.0019652355	2.831049e-05	0.0068184054	0.8981491073966026	1.0112880751257762	0.6051447957754135	0.3479516863822937	0.8337841807864607	0.472864593565464	1921.35	0.7588270142180095	1
par	flickr8k	1	True	4	1	20	1.6523348e-09	0.0021328758	1.6949162e-08	0.009165606	2.5041606e-08	0.013374412	8.856717e-09	0.004956802	2.4464402e-09	0.0028194787	1.3137123e-08	0.008242999	0.8981491073966026	1.0112880751257762	0.5315595686435699	0.360978701710701	0.9668996239895933	0.6130571991205216	1680.85	0.6638428120063191	0
par	flickr8k	1	True	4	2	20	7.757075e-06	0.0013116391	5.245005e-05	0.0067678643	9.124101e-05	0.011322042	2.758949e-05	0.0029409816	1.2190118e-05	0.001928322	5.3464064e-05	0.0070912964	0.8981491073966026	1.0112880751257762	0.4660165935754776	0.22706959247589112	0.509364464180544	0.2998198732733727	1797.1	0.7097551342812006	0
par	flickr8k	1	True	4	3	20	2.7933947e-05	0.0015065193	0.00026766997	0.009374612	0.00071338954	0.023048569	4.4850483e-05	0.0022338706	4.688666e-05	0.0023061468	0.0001791731	0.0078090085	0.8981491073966026	1.0112880751257762	0.4445063307881355	0.1826440155506134	0.18512232936918735	0.15683121159672736	1994.5	0.7877172195892576	0
par	flickr8k	1	True	4	4	20	1.7504683e-05	0.0018601259	9.5694995e-05	0.00501577	0.00028556376	0.010241789	2.6420315e-05	0.0013937275	2.8233922e-05	0.002676778	9.635844e-05	0.006975352	0.8981491073966026	1.0112880751257762	0.5446416974067688	0.32075937986373904	0.7036774510983378	0.39400089383125303	1855.65	0.7328791469194313	0
par	flickr8k	1	True	4	5	20	0.0012354488	0.0015812541	0.0057591633	0.0068887672	0.013814995	0.017331826	0.00154473	0.0016999056	0.0019075775	0.0023999617	0.005660819	0.0070451135	0.8981491073966026	1.0112880751257762	0.46766244918107985	0.17817881107330322	0.2846197210252285	0.16888769827783107	1974.7	0.7798973143759874	1
par	flickr8k	1	True	5	0	68	6.501583e-06	0.001360937	0.00010171508	0.013225707	0.00017077953	0.022083534	3.2650634e-05	0.004367878	1.0387765e-05	0.0019879665	3.8885173e-05	0.0066718343	0.9034432038007414	1.053196582806242	0.6185487447416081	0.36174775090287714	0.7979713671512025	0.45133333017720895	1910.8970588235295	0.7546986804200353	1
par	flickr8k	1	True	5	1	68	2.1310276e-09	0.0024381652	2.0070937e-08	0.010511985	2.9973766e-08	0.015348154	1.01681055e-08	0.005675815	3.1637994e-09	0.0031513944	1.5196676e-08	0.008747758	0.9034432038007414	1.053196582806242	0.5403886555748827	0.3738962595953661	0.9384298609340262	0.5875908061861992	1682.8970588235295	0.6646512870551065	1
par	flickr8k	1	True	5	2	68	8.932788e-06	0.0012937076	6.4730004e-05	0.0061450712	0.000117844575	0.010223088	3.0523013e-05	0.0025231	1.3944494e-05	0.0018494087	5.7204827e-05	0.006305077	0.9034432038007414	1.053196582806242	0.48314445904072595	0.2636610335286926	0.46296238488353353	0.29833703656571314	1794.9558823529412	0.7089083263637208	1
par	flickr8k	1	True	5	3	68	7.1792274e-05	0.0015412858	0.00045455247	0.006489237	0.0010120736	0.016558956	0.00012519975	0.0015557233	0.00011296948	0.00224609	0.00036883852	0.0072182696	0.9034432038007414	1.053196582806242	0.4650069606654784	0.194245944128317	0.4120312143829377	0.20957837420899203	1976.3970588235295	0.7805675587770654	1
par	flickr8k	1	True	5	4	68	2.6847982e-05	0.0016489403	0.0001598495	0.006407418	0.00044344884	0.015779894	3.425798e-05	0.0013386917	4.159999e-05	0.0024692344	0.00011676823	0.007492111	0.9034432038007414	1.053196582806242	0.427269268561812	0.1847295717281454	0.22431241567520535	0.14383540157338276	1979.8088235294117	0.7819150171917107	2
par	flickr8k	1	True	5	5	68	1.1226135e-05	0.0022868034	6.444956e-05	0.005847646	0.00021986471	0.01477106	1.1414327e-05	0.0010862777	1.7205151e-05	0.0032445823	5.012128e-05	0.008053747	0.9034432038007414	1.053196582806242	0.5321043690337854	0.30086423851111355	0.7836699026781443	0.4738393719581997	1857.1176470588234	0.7334587863581451	2
par	flickr8k	1	True	5	6	68	0.0014198108	0.0014644755	0.0056703184	0.0057695666	0.013384833	0.013993443	0.001502674	0.0014625824	0.0021900441	0.0022544775	0.0065781525	0.0069189407	0.9034432038007414	1.053196582806242	0.449267451377476	0.17850357907659867	0.10302626341581345	0.09682621430222164	2012.6176470588234	0.7948726884118575	3
par	flickr8k	1	True	6	0	112	6.505132e-06	0.0013462036	0.00010111916	0.01316201	0.00016981606	0.02211994	3.242228e-05	0.004204082	1.0383781e-05	0.001986388	3.7348644e-05	0.0066027916	0.9034946585473206	1.052436444781571	0.6177858327116285	0.35855554948960033	0.7937039284110402	0.44842273129948546	1918.7232142857142	0.7577895791017829	2
