architecture	dataset	run	use_generated_sents	sent_len	token_index	min_logit	mean_logit	max_logit	total_time
par	flickr8k	1	True	4	0	-8.268705	-1.5164757	8.469203	0
par	flickr8k	1	True	4	1	-8.44658	-0.84109867	12.275177	0
par	flickr8k	1	True	4	2	-8.753398	-1.3680843	10.548954	0
par	flickr8k	1	True	4	3	-9.751943	-1.9054024	11.122655	0
par	flickr8k	1	True	4	4	-8.856485	-1.428745	9.46197	0
par	flickr8k	1	True	4	5	-10.075921	-2.036346	10.539667	0
par	flickr8k	1	True	5	0	-8.324204	-1.5295973	8.451014	0
par	flickr8k	1	True	5	1	-8.396749	-0.84512585	12.2160225	0
par	flickr8k	1	True	5	2	-8.518827	-1.3364476	10.187003	0
par	flickr8k	1	True	5	3	-9.6109495	-1.978112	10.921578	0
par	flickr8k	1	True	5	4	-10.184846	-2.0535603	11.697349	0
par	flickr8k	1	True	5	5	-8.946173	-1.5287488	10.530217	0
par	flickr8k	1	True	5	6	-10.105039	-2.1210992	11.216925	0
par	flickr8k	1	True	6	0	-8.3336115	-1.5357459	8.455111	0
par	flickr8k	1	True	6	1	-8.278826	-0.878705	12.088285	0
par	flickr8k	1	True	6	2	-8.627181	-1.2620099	10.944636	0
par	flickr8k	1	True	6	3	-9.408506	-1.4696381	10.297324	0
par	flickr8k	1	True	6	4	-9.776225	-2.056194	10.891543	0
par	flickr8k	1	True	6	5	-9.954684	-1.8742477	11.21982	0
par	flickr8k	1	True	6	6	-8.711034	-1.3652962	10.320295	0
par	flickr8k	1	True	6	7	-9.955612	-2.0631351	11.0386	0
par	flickr8k	1	True	7	0	-8.252426	-1.510968	8.328695	0
par	flickr8k	1	True	7	1	-8.367212	-0.81713885	12.266179	0
par	flickr8k	1	True	7	2	-8.525652	-1.1620388	11.336443	0
par	flickr8k	1	True	7	3	-9.072352	-1.4766581	10.933661	0
par	flickr8k	1	True	7	4	-9.4999	-1.4074079	10.204897	0
par	flickr8k	1	True	7	5	-9.762496	-2.0060482	11.045492	0
par	flickr8k	1	True	7	6	-9.83953	-1.8438914	11.244362	0
par	flickr8k	1	True	7	7	-8.731709	-1.3340523	10.084051	0
par	flickr8k	1	True	7	8	-9.883277	-2.059067	10.868024	0
par	flickr8k	1	True	8	0	-8.280091	-1.5265216	8.405922	0
par	flickr8k	1	True	8	1	-8.380232	-0.8447937	12.412895	0
par	flickr8k	1	True	8	2	-8.643185	-1.2374451	11.848079	0
par	flickr8k	1	True	8	3	-9.147081	-1.3992954	10.992619	0
par	flickr8k	1	True	8	4	-9.117885	-1.4795399	10.9332695	0
par	flickr8k	1	True	8	5	-9.276401	-1.4645696	10.459387	0
par	flickr8k	1	True	8	6	-9.857412	-2.0194867	10.996069	0
par	flickr8k	1	True	8	7	-9.973226	-1.9765583	11.27562	0
par	flickr8k	1	True	8	8	-8.700769	-1.2902731	9.689389	0
par	flickr8k	1	True	8	9	-10.017537	-2.0333402	10.887469	0
par	flickr8k	1	True	9	0	-8.226052	-1.4964008	8.324574	0
par	flickr8k	1	True	9	1	-8.466564	-0.8206416	12.268337	0
par	flickr8k	1	True	9	2	-8.633779	-1.198955	11.431107	0
par	flickr8k	1	True	9	3	-9.151802	-1.3443601	11.097219	0
par	flickr8k	1	True	9	4	-8.838888	-1.3008991	10.744554	0
par	flickr8k	1	True	9	5	-9.262758	-1.4693685	10.567299	0
par	flickr8k	1	True	9	6	-9.482004	-1.5231903	10.402246	0
par	flickr8k	1	True	9	7	-9.781737	-1.9546832	10.901131	0
par	flickr8k	1	True	9	8	-9.632769	-1.8848373	11.201004	0
par	flickr8k	1	True	9	9	-8.839248	-1.3457414	9.761179	0
par	flickr8k	1	True	9	10	-9.758268	-1.9921077	10.8418865	0
par	flickr8k	1	True	10	0	-8.281385	-1.5150443	8.248587	0
par	flickr8k	1	True	10	1	-8.38625	-0.8152114	12.274068	0
par	flickr8k	1	True	10	2	-8.613675	-1.2840412	10.992731	0
par	flickr8k	1	True	10	3	-9.231407	-1.5162867	11.33634	0
par	flickr8k	1	True	10	4	-8.998825	-1.2145658	10.674041	0
par	flickr8k	1	True	10	5	-9.541426	-1.2175629	11.22382	0
par	flickr8k	1	True	10	6	-9.632408	-1.5625246	10.906193	0
par	flickr8k	1	True	10	7	-9.720125	-1.486969	10.438189	0
par	flickr8k	1	True	10	8	-9.782676	-2.0246344	11.025858	0
par	flickr8k	1	True	10	9	-9.734723	-1.9178524	11.089745	0
par	flickr8k	1	True	10	10	-8.80946	-1.2918861	9.665473	0
par	flickr8k	1	True	10	11	-9.853902	-1.9988083	10.748202	0
par	flickr8k	1	True	11	0	-8.226243	-1.5141538	8.330077	0
par	flickr8k	1	True	11	1	-8.531205	-0.8003547	12.411806	0
par	flickr8k	1	True	11	2	-8.727513	-1.1689029	11.838384	0
par	flickr8k	1	True	11	3	-8.917485	-1.4266777	11.122441	0
par	flickr8k	1	True	11	4	-9.174371	-1.3862684	11.157912	0
par	flickr8k	1	True	11	5	-9.220106	-1.1700475	10.59955	0
par	flickr8k	1	True	11	6	-9.742257	-1.4226447	11.0484915	0
par	flickr8k	1	True	11	7	-9.630903	-1.6120805	10.501576	0
par	flickr8k	1	True	11	8	-9.514942	-1.5568067	10.366176	0
par	flickr8k	1	True	11	9	-10.002163	-2.1064794	11.327709	0
par	flickr8k	1	True	11	10	-9.598004	-1.8424588	11.229981	0
par	flickr8k	1	True	11	11	-8.8056755	-1.3074266	9.912349	0
par	flickr8k	1	True	11	12	-10.055849	-2.0365016	11.053107	0
par	flickr8k	1	True	12	0	-8.268756	-1.5099292	8.495602	0
par	flickr8k	1	True	12	1	-8.425749	-0.8138386	12.567564	0
par	flickr8k	1	True	12	2	-8.775882	-1.231583	11.56771	0
par	flickr8k	1	True	12	3	-9.356552	-1.4718676	11.275141	0
par	flickr8k	1	True	12	4	-9.016074	-1.2359376	11.163729	0
par	flickr8k	1	True	12	5	-9.373292	-1.1734949	10.807838	0
par	flickr8k	1	True	12	6	-9.899882	-1.4291154	11.177076	0
par	flickr8k	1	True	12	7	-9.771607	-1.5552369	10.489638	0
par	flickr8k	1	True	12	8	-9.71016	-1.6907566	10.963332	0
par	flickr8k	1	True	12	9	-9.419855	-1.6306077	10.548059	0
par	flickr8k	1	True	12	10	-9.667475	-1.9145083	11.265891	0
par	flickr8k	1	True	12	11	-9.585708	-1.7797493	11.141302	0
par	flickr8k	1	True	12	12	-9.047605	-1.3538606	10.15192	0
par	flickr8k	1	True	12	13	-10.062051	-2.0612977	11.168386	0
par	flickr8k	1	True	13	0	-8.207817	-1.5369861	8.532711	0
par	flickr8k	1	True	13	1	-8.421499	-0.85112435	12.420752	0
par	flickr8k	1	True	13	2	-8.893386	-1.3067905	11.441956	0
par	flickr8k	1	True	13	3	-9.255134	-1.4872307	11.488998	0
par	flickr8k	1	True	13	4	-8.96952	-1.1435895	10.712458	0
par	flickr8k	1	True	13	5	-9.335865	-1.133847	11.114062	0
par	flickr8k	1	True	13	6	-9.571452	-1.5319256	11.070281	0
par	flickr8k	1	True	13	7	-9.627569	-1.5034904	10.366754	0
par	flickr8k	1	True	13	8	-9.523024	-1.7423928	10.820814	0
par	flickr8k	1	True	13	9	-9.397464	-1.6882073	10.712581	0
par	flickr8k	1	True	13	10	-9.381611	-1.5440336	10.200321	0
par	flickr8k	1	True	13	11	-9.952195	-1.9887244	11.138326	0
par	flickr8k	1	True	13	12	-9.612885	-1.8740276	11.053499	0
par	flickr8k	1	True	13	13	-8.965655	-1.3547943	9.68241	0
par	flickr8k	1	True	13	14	-10.053977	-2.05729	11.144992	0
par	flickr8k	1	True	14	0	-8.190837	-1.50202	8.208294	0
par	flickr8k	1	True	14	1	-8.453566	-0.8159073	12.453748	0
par	flickr8k	1	True	14	2	-8.802023	-1.221846	11.619737	0
par	flickr8k	1	True	14	3	-9.131528	-1.4988428	11.328681	0
par	flickr8k	1	True	14	4	-9.162248	-1.2261987	11.03439	0
par	flickr8k	1	True	14	5	-9.418948	-1.0365821	11.030915	0
par	flickr8k	1	True	14	6	-9.593719	-1.3327001	11.222045	0
par	flickr8k	1	True	14	7	-9.36706	-1.5055724	10.287185	0
par	flickr8k	1	True	14	8	-9.3724785	-1.4390005	10.481021	0
par	flickr8k	1	True	14	9	-9.334042	-1.498016	10.812455	0
par	flickr8k	1	True	14	10	-9.423777	-1.5731082	10.590902	0
par	flickr8k	1	True	14	11	-9.595284	-1.6375918	10.703047	0
par	flickr8k	1	True	14	12	-9.974158	-1.9373343	11.634417	0
par	flickr8k	1	True	14	13	-9.375604	-1.707557	10.771643	0
par	flickr8k	1	True	14	14	-8.792158	-1.3122574	9.422189	0
par	flickr8k	1	True	14	15	-9.945511	-1.9714366	10.990882	0
par	flickr8k	2	True	5	0	-8.183687	-1.5691711	8.422609	0
par	flickr8k	2	True	5	1	-8.2649765	-0.955465	12.189208	0
par	flickr8k	2	True	5	2	-8.710248	-1.3971299	10.604938	0
par	flickr8k	2	True	5	3	-9.361192	-1.8739452	10.663213	0
par	flickr8k	2	True	5	4	-9.648268	-1.9199935	11.104599	0
par	flickr8k	2	True	5	5	-9.27398	-1.56137	9.98326	0
par	flickr8k	2	True	5	6	-10.1922	-2.1029203	11.135722	0
par	flickr8k	2	True	6	0	-8.226154	-1.5699196	8.582885	0
par	flickr8k	2	True	6	1	-8.281827	-0.9385427	12.356485	0
par	flickr8k	2	True	6	2	-8.822848	-1.2831165	11.1114645	0
par	flickr8k	2	True	6	3	-9.215943	-1.4729329	10.608291	0
par	flickr8k	2	True	6	4	-9.606561	-2.0453794	11.109799	0
par	flickr8k	2	True	6	5	-9.763531	-1.9293387	11.494314	0
par	flickr8k	2	True	6	6	-9.202978	-1.4527775	10.199278	0
par	flickr8k	2	True	6	7	-9.902244	-2.061069	10.783695	0
par	flickr8k	2	True	7	0	-8.076797	-1.5096501	8.398626	0
par	flickr8k	2	True	7	1	-8.2621765	-0.89293844	12.372767	0
par	flickr8k	2	True	7	2	-8.770545	-1.142583	11.758881	0
par	flickr8k	2	True	7	3	-8.960663	-1.4582711	10.969685	0
par	flickr8k	2	True	7	4	-9.353276	-1.4667796	10.429643	0
par	flickr8k	2	True	7	5	-9.674872	-2.0411751	11.353479	0
par	flickr8k	2	True	7	6	-9.761372	-1.8728849	11.606854	0
par	flickr8k	2	True	7	7	-9.174787	-1.4002109	10.3592	0
par	flickr8k	2	True	7	8	-9.959604	-2.0389712	10.990189	0
par	flickr8k	2	True	8	0	-8.066703	-1.5139778	8.643609	0
par	flickr8k	2	True	8	1	-8.361664	-0.8888863	12.481803	0
par	flickr8k	2	True	8	2	-8.912999	-1.2055314	11.715002	0
par	flickr8k	2	True	8	3	-8.91887	-1.3779483	10.67383	0
par	flickr8k	2	True	8	4	-9.100723	-1.5011271	10.936879	0
