architecture	dataset	run	use_generated_sents	sent_len	token_index	num_caps	gradient_wrt_image_next	gradient_wrt_image_max	gradient_wrt_prefix_next	gradient_wrt_prefix_max	gradient_wrt_prevtoken_next	gradient_wrt_prevtoken_max	gradient_wrt_firsttoken_next	gradient_wrt_firsttoken_max	gradient_wrt_postimage_next	gradient_wrt_postimage_max	gradient_wrt_multimodalvec_next	gradient_wrt_multimodalvec_max	omission_image_cos	omission_postimage_cos	omission_multimodalvec_cos	omission_logits_cos	omission_output_cos	omission_output_jsd	num_negatives_logit	frac_negatives_logit	total_time
pre	flickr8k	1	True	4	0	30	7.469038e-06	0.00072607206	0.00014364111	0.016530545	0.00022553238	0.026437843	6.174983e-05	0.0066232476	5.4166862e-06	0.00052630197	4.6967976e-05	0.00626689	0.8942476545770963	0.9948750857729465	0.6890805090467135	0.07182820638020833	0.7852473988818626	0.3866789003213247	2454.133333333333	0.969246972090574	1
pre	flickr8k	1	True	4	1	30	1.3073907e-08	0.001797869	1.14532405e-07	0.0054818094	8.91213e-08	0.0037686715	1.3994351e-07	0.007194948	9.489775e-09	0.0011647022	9.0834305e-08	0.0082559595	0.8942476545770963	0.9948750857729465	0.5990645835796992	0.08712409933408101	0.9172728014411404	0.5580740799506505	2432.9	0.9608609794628752	0
pre	flickr8k	1	True	4	2	30	2.2496727e-06	0.0010187438	2.1911923e-05	0.009868209	5.0433035e-05	0.02270263	1.0794199e-05	0.0050158724	1.5667241e-06	0.0006714369	1.6439417e-05	0.008351635	0.8942476545770963	0.9948750857729465	0.6080709387858708	0.042979397376378375	0.4600050029034416	0.2522524063785871	2463.9	0.9731042654028437	1
pre	flickr8k	1	True	4	3	30	3.1530217e-06	0.0010610229	3.5622736e-05	0.006546371	7.907416e-05	0.012056997	1.4285912e-05	0.0030463045	2.280474e-06	0.00071635307	3.0670828e-05	0.007771736	0.8942476545770963	0.9948750857729465	0.5068598618110021	0.06599093476931255	0.29076943652083476	0.172759547829628	2385.2	0.9420221169036335	1
pre	flickr8k	1	True	4	4	30	1.7008453e-05	0.0012651364	0.00024094559	0.008441536	0.00086124975	0.020834917	7.450514e-05	0.0027340353	1.15827925e-05	0.0008377022	0.00015318229	0.0071642264	0.8942476545770963	0.9948750857729465	0.5255180855592092	0.1187198281288147	0.7248996494648358	0.3242799083391825	2369.5	0.9358214849921012	1
pre	flickr8k	1	True	4	5	30	0.0006567526	0.0009505758	0.0072498615	0.010149812	0.019800883	0.028025422	0.0018928667	0.0023780535	0.00043839889	0.0006255532	0.004446392	0.006818351	0.8942476545770963	0.9948750857729465	0.5489262749751409	0.03688391248385112	0.32124435156583786	0.1696430053561926	2438.266666666667	0.9629805160610848	1
pre	flickr8k	1	True	5	0	99	4.835273e-06	0.00075269514	0.00011978665	0.021283576	0.00018465446	0.036030788	5.4918826e-05	0.0065363725	3.867536e-06	0.000536669	3.6635407e-05	0.0066368347	0.8986493154908671	1.014587748188977	0.6865664720535278	0.07136386452299176	0.7606420697964201	0.38981254406348625	2449.3838383838383	0.9673711841958287	2
pre	flickr8k	1	True	5	1	99	1.8172972e-08	0.001573785	2.3923263e-07	0.004967386	2.7611574e-07	0.002908495	2.0234957e-07	0.0070262756	1.4009234e-08	0.0010922502	1.5513433e-07	0.008164974	0.8986493154908671	1.014587748188977	0.5881701566354193	0.0796173672483425	0.8436652926064915	0.5154032596584522	2426.4444444444443	0.958311391960681	2
pre	flickr8k	1	True	5	2	99	2.3716373e-06	0.0007685954	2.7790307e-05	0.009095751	5.7597063e-05	0.020268004	1.5319103e-05	0.0047979737	1.8210161e-06	0.0005439354	2.184117e-05	0.0076665217	0.8986493154908671	1.014587748188977	0.6175014618972335	0.0629733373420407	0.3868179170301918	0.2536711392058718	2437.242424242424	0.9625759969361865	2
pre	flickr8k	1	True	5	3	99	3.6193476e-05	0.00084903766	0.00047134017	0.00978893	0.001269802	0.024734765	0.00014126407	0.0030590608	2.6072526e-05	0.0006050393	0.00033488643	0.0076886043	0.8986493154908671	1.014587748188977	0.5677628572842087	0.0495823116013498	0.3757625880528881	0.19173726951233064	2444.7070707070707	0.9655241195525556	3
