architecture	dataset	run	use_generated_sents	sent_len	token_index	min_logit	mean_logit	max_logit	total_time
pre	flickr8k	1	True	4	0	-6.495219	-3.3563275	4.4477897	0
pre	flickr8k	1	True	4	1	-6.3705516	-2.922839	7.792157	0
pre	flickr8k	1	True	4	2	-7.8848906	-3.8665223	5.733274	0
pre	flickr8k	1	True	4	3	-7.054937	-3.2806582	7.0312805	0
pre	flickr8k	1	True	4	4	-6.534324	-3.3136868	5.47381	0
pre	flickr8k	1	True	4	5	-7.230537	-3.988849	5.579092	0
pre	flickr8k	1	True	5	0	-6.3086257	-3.2831936	4.6623645	0
pre	flickr8k	1	True	5	1	-6.49248	-2.9405146	7.7680283	0
pre	flickr8k	1	True	5	2	-7.483453	-3.3163536	6.148853	0
pre	flickr8k	1	True	5	3	-7.172204	-3.707911	6.4075694	0
pre	flickr8k	1	True	5	4	-5.3243027	-2.290824	8.483884	0
pre	flickr8k	1	True	5	5	-5.335047	-2.1705384	6.873087	0
pre	flickr8k	1	True	5	6	-7.0580206	-3.810756	7.5437016	0
pre	flickr8k	1	True	6	0	-6.291174	-3.336606	4.6875625	0
pre	flickr8k	1	True	6	1	-6.432774	-2.9721553	7.900466	0
pre	flickr8k	1	True	6	2	-7.291496	-3.5376434	6.6323605	0
pre	flickr8k	1	True	6	3	-8.940179	-4.4697266	4.916897	0
pre	flickr8k	1	True	6	4	-7.744934	-4.520268	6.279964	0
pre	flickr8k	1	True	6	5	-5.4983354	-2.4661615	8.384231	0
pre	flickr8k	1	True	6	6	-5.4584937	-2.144665	6.988316	0
pre	flickr8k	1	True	6	7	-6.9575443	-3.666542	7.430514	0
pre	flickr8k	1	True	7	0	-6.2427044	-3.223349	4.8098373	0
pre	flickr8k	1	True	7	1	-6.5144906	-3.0098717	7.8804307	0
pre	flickr8k	1	True	7	2	-6.939388	-3.076278	7.862916	0
pre	flickr8k	1	True	7	3	-7.457646	-3.6453092	6.331148	0
pre	flickr8k	1	True	7	4	-8.737929	-4.680595	4.539663	0
pre	flickr8k	1	True	7	5	-7.836087	-4.4910507	6.6607413	0
pre	flickr8k	1	True	7	6	-5.713979	-2.7288039	8.147692	0
pre	flickr8k	1	True	7	7	-5.777279	-2.534725	6.3945546	0
pre	flickr8k	1	True	7	8	-7.0796146	-3.7709527	7.422434	0
pre	flickr8k	1	True	8	0	-6.1865425	-3.2100494	4.747774	0
pre	flickr8k	1	True	8	1	-6.4423065	-2.9819634	7.981471	0
pre	flickr8k	1	True	8	2	-7.121191	-3.169965	7.4811735	0
pre	flickr8k	1	True	8	3	-8.090863	-3.7408776	5.9665127	0
pre	flickr8k	1	True	8	4	-7.444216	-4.009633	6.487445	0
pre	flickr8k	1	True	8	5	-7.5907564	-3.9809017	5.227231	0
pre	flickr8k	1	True	8	6	-7.308201	-3.9953249	6.891901	0
pre	flickr8k	1	True	8	7	-5.320811	-2.3790975	8.482288	0
pre	flickr8k	1	True	8	8	-5.2792263	-2.0836382	6.417426	0
pre	flickr8k	1	True	8	9	-6.6490893	-3.4384701	7.518233	0
pre	flickr8k	1	True	9	0	-6.311694	-3.280393	4.6844416	0
pre	flickr8k	1	True	9	1	-6.4853206	-2.9933612	7.810415	0
pre	flickr8k	1	True	9	2	-7.5186186	-3.5072348	6.7669683	0
pre	flickr8k	1	True	9	3	-6.9431753	-3.1786525	7.283986	0
pre	flickr8k	1	True	9	4	-7.2102394	-3.5640872	6.179034	0
pre	flickr8k	1	True	9	5	-7.0429034	-3.3064418	6.240193	0
pre	flickr8k	1	True	9	6	-7.8380284	-3.9212515	5.5087223	0
pre	flickr8k	1	True	9	7	-7.8502254	-4.2856774	6.150066	0
pre	flickr8k	1	True	9	8	-5.928137	-2.9427922	7.6117644	0
pre	flickr8k	1	True	9	9	-5.906356	-2.7501564	5.728806	0
pre	flickr8k	1	True	9	10	-7.0080395	-3.870847	7.481625	0
pre	flickr8k	1	True	10	0	-6.341644	-3.2863646	4.7555556	0
pre	flickr8k	1	True	10	1	-6.5229073	-3.002031	7.959155	0
pre	flickr8k	1	True	10	2	-7.4102635	-3.5164073	7.113273	0
pre	flickr8k	1	True	10	3	-6.215564	-2.7993724	7.916971	0
pre	flickr8k	1	True	10	4	-6.2439513	-2.7801716	6.915877	0
pre	flickr8k	1	True	10	5	-6.7968187	-2.706021	6.779931	0
pre	flickr8k	1	True	10	6	-7.378086	-3.481044	6.328108	0
pre	flickr8k	1	True	10	7	-8.483985	-4.3389583	5.2373323	0
pre	flickr8k	1	True	10	8	-7.9965153	-4.5026507	7.0836134	0
pre	flickr8k	1	True	10	9	-5.858402	-2.8007417	8.390192	0
pre	flickr8k	1	True	10	10	-5.7615285	-2.4908953	6.0580125	0
pre	flickr8k	1	True	10	11	-6.8400426	-3.6186001	7.4412093	0
pre	flickr8k	1	True	11	0	-6.345518	-3.3413348	4.7054577	0
pre	flickr8k	1	True	11	1	-6.5917525	-3.0808551	8.063016	0
pre	flickr8k	1	True	11	2	-6.739167	-2.9591212	8.349026	0
pre	flickr8k	1	True	11	3	-7.6262345	-3.8328176	6.1694245	0
pre	flickr8k	1	True	11	4	-5.484843	-2.4079437	8.47663	0
pre	flickr8k	1	True	11	5	-6.35822	-2.671978	6.263952	0
pre	flickr8k	1	True	11	6	-6.9416814	-2.6326358	7.087962	0
pre	flickr8k	1	True	11	7	-7.5176945	-4.0202007	5.84114	0
pre	flickr8k	1	True	11	8	-9.376543	-4.9198637	4.625389	0
pre	flickr8k	1	True	11	9	-7.7043533	-4.4879727	6.8243847	0
pre	flickr8k	1	True	11	10	-5.5472407	-2.569619	8.371767	0
pre	flickr8k	1	True	11	11	-5.4767265	-2.1501217	6.501625	0
pre	flickr8k	1	True	11	12	-6.4867725	-3.3486562	7.7135534	0
pre	flickr8k	1	True	12	0	-6.1677046	-3.2119691	4.7053003	0
