architecture	dataset	run	use_generated_sents	sent_len	token_index	tag	freq	prop
init	flickr8k	1	True	5	0	DET	20	0.9090909090909091
init	flickr8k	1	True	5	0	NOUN	1	0.045454545454545456
init	flickr8k	1	True	5	0	NUM	1	0.045454545454545456
init	flickr8k	1	True	5	1	NOUN	21	0.9545454545454546
init	flickr8k	1	True	5	1	VERB	1	0.045454545454545456
init	flickr8k	1	True	5	2	ADP	7	0.3181818181818182
init	flickr8k	1	True	5	2	VERB	15	0.6818181818181818
init	flickr8k	1	True	5	3	DET	18	0.8181818181818182
init	flickr8k	1	True	5	3	ADP	3	0.13636363636363635
init	flickr8k	1	True	5	3	ADJ	1	0.045454545454545456
init	flickr8k	1	True	5	4	NOUN	21	0.9545454545454546
init	flickr8k	1	True	5	4	VERB	1	0.045454545454545456
init	flickr8k	1	True	6	0	DET	64	0.6736842105263158
init	flickr8k	1	True	6	0	NUM	31	0.3263157894736842
init	flickr8k	1	True	6	1	NOUN	94	0.9894736842105263
init	flickr8k	1	True	6	1	ADJ	1	0.010526315789473684
init	flickr8k	1	True	6	2	VERB	81	0.8526315789473684
init	flickr8k	1	True	6	2	NOUN	10	0.10526315789473684
init	flickr8k	1	True	6	2	ADP	4	0.042105263157894736
init	flickr8k	1	True	6	3	ADP	72	0.7578947368421053
init	flickr8k	1	True	6	3	VERB	10	0.10526315789473684
init	flickr8k	1	True	6	3	DET	11	0.11578947368421053
init	flickr8k	1	True	6	3	NOUN	2	0.021052631578947368
init	flickr8k	1	True	6	4	DET	79	0.8315789473684211
init	flickr8k	1	True	6	4	ADP	3	0.031578947368421054
init	flickr8k	1	True	6	4	NOUN	9	0.09473684210526316
init	flickr8k	1	True	6	4	VERB	2	0.021052631578947368
init	flickr8k	1	True	6	4	ADJ	2	0.021052631578947368
init	flickr8k	1	True	6	5	NOUN	94	0.9894736842105263
init	flickr8k	1	True	6	5	ADJ	1	0.010526315789473684
init	flickr8k	1	True	7	0	DET	79	0.8876404494382022
init	flickr8k	1	True	7	0	NUM	10	0.11235955056179775
init	flickr8k	1	True	7	1	NOUN	56	0.6292134831460674
init	flickr8k	1	True	7	1	ADJ	33	0.3707865168539326
init	flickr8k	1	True	7	2	VERB	45	0.5056179775280899
init	flickr8k	1	True	7	2	NOUN	39	0.43820224719101125
init	flickr8k	1	True	7	2	CONJ	1	0.011235955056179775
init	flickr8k	1	True	7	2	ADP	4	0.0449438202247191
init	flickr8k	1	True	7	3	VERB	69	0.7752808988764045
init	flickr8k	1	True	7	3	ADP	1	0.011235955056179775
init	flickr8k	1	True	7	3	DET	2	0.02247191011235955
init	flickr8k	1	True	7	3	NOUN	11	0.12359550561797752
init	flickr8k	1	True	7	3	PRT	6	0.06741573033707865
init	flickr8k	1	True	7	4	ADP	61	0.6853932584269663
init	flickr8k	1	True	7	4	PRON	1	0.011235955056179775
init	flickr8k	1	True	7	4	NOUN	2	0.02247191011235955
init	flickr8k	1	True	7	4	VERB	16	0.1797752808988764
init	flickr8k	1	True	7	4	DET	7	0.07865168539325842
init	flickr8k	1	True	7	4	PRT	1	0.011235955056179775
init	flickr8k	1	True	7	4	ADV	1	0.011235955056179775
init	flickr8k	1	True	7	5	DET	70	0.7865168539325843
init	flickr8k	1	True	7	5	NOUN	5	0.056179775280898875
init	flickr8k	1	True	7	5	VERB	5	0.056179775280898875
init	flickr8k	1	True	7	5	PRON	1	0.011235955056179775
init	flickr8k	1	True	7	5	ADP	5	0.056179775280898875
init	flickr8k	1	True	7	5	ADJ	3	0.033707865168539325
init	flickr8k	1	True	7	6	NOUN	85	0.9550561797752809
init	flickr8k	1	True	7	6	ADJ	1	0.011235955056179775
init	flickr8k	1	True	7	6	VERB	2	0.02247191011235955
init	flickr8k	1	True	7	6	ADV	1	0.011235955056179775
init	flickr8k	1	True	8	0	DET	104	0.8888888888888888
init	flickr8k	1	True	8	0	NUM	13	0.1111111111111111
init	flickr8k	1	True	8	1	ADJ	51	0.4358974358974359
init	flickr8k	1	True	8	1	NOUN	66	0.5641025641025641
init	flickr8k	1	True	8	2	NOUN	52	0.4444444444444444
init	flickr8k	1	True	8	2	VERB	25	0.21367521367521367
init	flickr8k	1	True	8	2	ADP	33	0.28205128205128205
init	flickr8k	1	True	8	2	CONJ	7	0.05982905982905983
init	flickr8k	1	True	8	3	VERB	65	0.5555555555555556
init	flickr8k	1	True	8	3	DET	30	0.2564102564102564
init	flickr8k	1	True	8	3	NOUN	18	0.15384615384615385
init	flickr8k	1	True	8	3	ADJ	2	0.017094017094017096
init	flickr8k	1	True	8	3	PRT	1	0.008547008547008548
init	flickr8k	1	True	8	3	ADP	1	0.008547008547008548
init	flickr8k	1	True	8	4	VERB	67	0.5726495726495726
init	flickr8k	1	True	8	4	ADP	7	0.05982905982905983
init	flickr8k	1	True	8	4	NOUN	24	0.20512820512820512
init	flickr8k	1	True	8	4	PRT	7	0.05982905982905983
init	flickr8k	1	True	8	4	ADV	1	0.008547008547008548
init	flickr8k	1	True	8	4	ADJ	10	0.08547008547008547
init	flickr8k	1	True	8	4	DET	1	0.008547008547008548
init	flickr8k	1	True	8	5	ADP	79	0.6752136752136753
init	flickr8k	1	True	8	5	DET	14	0.11965811965811966
init	flickr8k	1	True	8	5	VERB	6	0.05128205128205128
init	flickr8k	1	True	8	5	CONJ	1	0.008547008547008548
init	flickr8k	1	True	8	5	NOUN	13	0.1111111111111111
init	flickr8k	1	True	8	5	PRT	3	0.02564102564102564
init	flickr8k	1	True	8	5	ADJ	1	0.008547008547008548
init	flickr8k	1	True	8	6	DET	85	0.7264957264957265
init	flickr8k	1	True	8	6	NOUN	11	0.09401709401709402
init	flickr8k	1	True	8	6	ADJ	3	0.02564102564102564
init	flickr8k	1	True	8	6	PRON	2	0.017094017094017096
init	flickr8k	1	True	8	6	VERB	12	0.10256410256410256
init	flickr8k	1	True	8	6	PRT	1	0.008547008547008548
init	flickr8k	1	True	8	6	ADP	1	0.008547008547008548
init	flickr8k	1	True	8	6	CONJ	2	0.017094017094017096
init	flickr8k	1	True	8	7	NOUN	105	0.8974358974358975
init	flickr8k	1	True	8	7	VERB	12	0.10256410256410256
init	flickr8k	1	True	9	0	DET	90	0.967741935483871
init	flickr8k	1	True	9	0	NUM	3	0.03225806451612903
init	flickr8k	1	True	9	1	NOUN	77	0.8279569892473119
init	flickr8k	1	True	9	1	ADJ	16	0.17204301075268819
init	flickr8k	1	True	9	2	ADP	37	0.3978494623655914
init	flickr8k	1	True	9	2	VERB	22	0.23655913978494625
init	flickr8k	1	True	9	2	NOUN	16	0.17204301075268819
init	flickr8k	1	True	9	2	CONJ	18	0.1935483870967742
init	flickr8k	1	True	9	3	NOUN	29	0.3118279569892473
init	flickr8k	1	True	9	3	VERB	33	0.3548387096774194
init	flickr8k	1	True	9	3	ADP	5	0.053763440860215055
init	flickr8k	1	True	9	3	ADJ	8	0.08602150537634409
init	flickr8k	1	True	9	3	DET	18	0.1935483870967742
init	flickr8k	1	True	9	4	VERB	39	0.41935483870967744
init	flickr8k	1	True	9	4	DET	19	0.20430107526881722
init	flickr8k	1	True	9	4	NOUN	18	0.1935483870967742
init	flickr8k	1	True	9	4	ADP	6	0.06451612903225806
init	flickr8k	1	True	9	4	ADJ	8	0.08602150537634409
init	flickr8k	1	True	9	4	PRT	3	0.03225806451612903
init	flickr8k	1	True	9	5	VERB	41	0.44086021505376344
init	flickr8k	1	True	9	5	NOUN	34	0.3655913978494624
init	flickr8k	1	True	9	5	ADJ	5	0.053763440860215055
init	flickr8k	1	True	9	5	ADP	7	0.07526881720430108
init	flickr8k	1	True	9	5	PRT	4	0.043010752688172046
init	flickr8k	1	True	9	5	DET	2	0.021505376344086023
init	flickr8k	1	True	9	6	ADP	59	0.6344086021505376
init	flickr8k	1	True	9	6	NOUN	7	0.07526881720430108
init	flickr8k	1	True	9	6	PRT	2	0.021505376344086023
init	flickr8k	1	True	9	6	PRON	1	0.010752688172043012
init	flickr8k	1	True	9	6	VERB	17	0.1827956989247312
init	flickr8k	1	True	9	6	DET	7	0.07526881720430108
init	flickr8k	1	True	9	7	DET	73	0.7849462365591398
init	flickr8k	1	True	9	7	VERB	7	0.07526881720430108
init	flickr8k	1	True	9	7	NOUN	2	0.021505376344086023
init	flickr8k	1	True	9	7	ADJ	7	0.07526881720430108
init	flickr8k	1	True	9	7	ADP	3	0.03225806451612903
init	flickr8k	1	True	9	7	CONJ	1	0.010752688172043012
init	flickr8k	1	True	9	8	NOUN	88	0.946236559139785
init	flickr8k	1	True	9	8	VERB	5	0.053763440860215055
init	flickr8k	1	True	10	0	DET	144	0.993103448275862
init	flickr8k	1	True	10	0	NUM	1	0.006896551724137931
init	flickr8k	1	True	10	1	NOUN	111	0.7655172413793103
init	flickr8k	1	True	10	1	ADJ	34	0.23448275862068965
init	flickr8k	1	True	10	2	ADP	74	0.5103448275862069
init	flickr8k	1	True	10	2	CONJ	50	0.3448275862068966
init	flickr8k	1	True	10	2	NOUN	5	0.034482758620689655
init	flickr8k	1	True	10	2	VERB	16	0.1103448275862069
init	flickr8k	1	True	10	3	DET	75	0.5172413793103449
init	flickr8k	1	True	10	3	ADJ	34	0.23448275862068965
init	flickr8k	1	True	10	3	NOUN	19	0.1310344827586207
init	flickr8k	1	True	10	3	VERB	13	0.0896551724137931
init	flickr8k	1	True	10	3	ADP	4	0.027586206896551724
init	flickr8k	1	True	10	4	ADJ	50	0.3448275862068966
init	flickr8k	1	True	10	4	NOUN	61	0.4206896551724138
init	flickr8k	1	True	10	4	VERB	18	0.12413793103448276
init	flickr8k	1	True	10	4	ADP	8	0.05517241379310345
init	flickr8k	1	True	10	4	DET	8	0.05517241379310345
init	flickr8k	1	True	10	5	NOUN	64	0.4413793103448276
init	flickr8k	1	True	10	5	VERB	66	0.45517241379310347
init	flickr8k	1	True	10	5	ADJ	3	0.020689655172413793
init	flickr8k	1	True	10	5	DET	6	0.041379310344827586
init	flickr8k	1	True	10	5	ADP	6	0.041379310344827586
init	flickr8k	1	True	10	6	VERB	106	0.7310344827586207
init	flickr8k	1	True	10	6	ADP	16	0.1103448275862069
init	flickr8k	1	True	10	6	CONJ	1	0.006896551724137931
init	flickr8k	1	True	10	6	NOUN	17	0.11724137931034483
init	flickr8k	1	True	10	6	PRT	4	0.027586206896551724
init	flickr8k	1	True	10	6	ADJ	1	0.006896551724137931
init	flickr8k	1	True	10	7	VERB	56	0.38620689655172413
init	flickr8k	1	True	10	7	ADP	63	0.43448275862068964
init	flickr8k	1	True	10	7	DET	19	0.1310344827586207
init	flickr8k	1	True	10	7	ADJ	1	0.006896551724137931
init	flickr8k	1	True	10	7	PRT	4	0.027586206896551724
init	flickr8k	1	True	10	7	ADV	1	0.006896551724137931
init	flickr8k	1	True	10	7	CONJ	1	0.006896551724137931
init	flickr8k	1	True	10	8	DET	118	0.8137931034482758
init	flickr8k	1	True	10	8	ADJ	11	0.07586206896551724
init	flickr8k	1	True	10	8	VERB	4	0.027586206896551724
init	flickr8k	1	True	10	8	NOUN	9	0.06206896551724138
init	flickr8k	1	True	10	8	ADP	3	0.020689655172413793
init	flickr8k	1	True	10	9	NOUN	144	0.993103448275862
init	flickr8k	1	True	10	9	VERB	1	0.006896551724137931
init	flickr8k	1	True	11	0	DET	183	1.0
init	flickr8k	1	True	11	1	NOUN	169	0.9234972677595629
init	flickr8k	1	True	11	1	ADJ	14	0.07650273224043716
init	flickr8k	1	True	11	2	ADP	150	0.819672131147541
init	flickr8k	1	True	11	2	NOUN	26	0.14207650273224043
init	flickr8k	1	True	11	2	CONJ	4	0.02185792349726776
init	flickr8k	1	True	11	2	VERB	3	0.01639344262295082
init	flickr8k	1	True	11	3	DET	133	0.726775956284153
init	flickr8k	1	True	11	3	ADP	24	0.13114754098360656
init	flickr8k	1	True	11	3	ADJ	2	0.01092896174863388
init	flickr8k	1	True	11	3	NOUN	22	0.12021857923497267
init	flickr8k	1	True	11	3	VERB	2	0.01092896174863388
init	flickr8k	1	True	11	4	ADJ	123	0.6721311475409836
init	flickr8k	1	True	11	4	NOUN	21	0.11475409836065574
init	flickr8k	1	True	11	4	VERB	21	0.11475409836065574
init	flickr8k	1	True	11	4	ADP	2	0.01092896174863388
init	flickr8k	1	True	11	4	DET	16	0.08743169398907104
init	flickr8k	1	True	11	5	NOUN	133	0.726775956284153
init	flickr8k	1	True	11	5	VERB	36	0.19672131147540983
init	flickr8k	1	True	11	5	DET	2	0.01092896174863388
init	flickr8k	1	True	11	5	ADJ	11	0.060109289617486336
init	flickr8k	1	True	11	5	CONJ	1	0.00546448087431694
init	flickr8k	1	True	11	6	VERB	141	0.7704918032786885
init	flickr8k	1	True	11	6	NOUN	19	0.10382513661202186
init	flickr8k	1	True	11	6	ADP	21	0.11475409836065574
init	flickr8k	1	True	11	6	CONJ	1	0.00546448087431694
init	flickr8k	1	True	11	6	DET	1	0.00546448087431694
init	flickr8k	1	True	11	7	VERB	142	0.7759562841530054
init	flickr8k	1	True	11	7	ADP	4	0.02185792349726776
init	flickr8k	1	True	11	7	DET	10	0.0546448087431694
init	flickr8k	1	True	11	7	NOUN	21	0.11475409836065574
init	flickr8k	1	True	11	7	PRT	3	0.01639344262295082
init	flickr8k	1	True	11	7	ADJ	2	0.01092896174863388
init	flickr8k	1	True	11	7	CONJ	1	0.00546448087431694
init	flickr8k	1	True	11	8	ADP	116	0.6338797814207651
init	flickr8k	1	True	11	8	DET	27	0.14754098360655737
init	flickr8k	1	True	11	8	NOUN	12	0.06557377049180328
init	flickr8k	1	True	11	8	PRT	13	0.07103825136612021
init	flickr8k	1	True	11	8	VERB	15	0.08196721311475409
init	flickr8k	1	True	11	9	DET	141	0.7704918032786885
init	flickr8k	1	True	11	9	NOUN	12	0.06557377049180328
init	flickr8k	1	True	11	9	ADP	12	0.06557377049180328
init	flickr8k	1	True	11	9	ADJ	15	0.08196721311475409
init	flickr8k	1	True	11	9	VERB	2	0.01092896174863388
init	flickr8k	1	True	11	9	PRON	1	0.00546448087431694
init	flickr8k	1	True	11	10	NOUN	172	0.9398907103825137
init	flickr8k	1	True	11	10	ADJ	9	0.04918032786885246
init	flickr8k	1	True	11	10	VERB	2	0.01092896174863388
init	flickr8k	1	True	12	0	DET	97	1.0
init	flickr8k	1	True	12	1	NOUN	53	0.5463917525773195
init	flickr8k	1	True	12	1	ADJ	44	0.4536082474226804
init	flickr8k	1	True	12	2	ADP	39	0.4020618556701031
init	flickr8k	1	True	12	2	NOUN	46	0.4742268041237113
init	flickr8k	1	True	12	2	VERB	5	0.05154639175257732
init	flickr8k	1	True	12	2	CONJ	7	0.07216494845360824
init	flickr8k	1	True	12	3	DET	41	0.422680412371134
init	flickr8k	1	True	12	3	ADP	44	0.4536082474226804
init	flickr8k	1	True	12	3	NOUN	4	0.041237113402061855
init	flickr8k	1	True	12	3	VERB	5	0.05154639175257732
init	flickr8k	1	True	12	3	CONJ	1	0.010309278350515464
init	flickr8k	1	True	12	3	ADJ	2	0.020618556701030927
init	flickr8k	1	True	12	4	ADJ	36	0.3711340206185567
init	flickr8k	1	True	12	4	DET	46	0.4742268041237113
init	flickr8k	1	True	12	4	VERB	4	0.041237113402061855
init	flickr8k	1	True	12	4	ADP	4	0.041237113402061855
init	flickr8k	1	True	12	4	NOUN	7	0.07216494845360824
init	flickr8k	1	True	12	5	NOUN	41	0.422680412371134
init	flickr8k	1	True	12	5	ADJ	39	0.4020618556701031
init	flickr8k	1	True	12	5	VERB	10	0.10309278350515463
init	flickr8k	1	True	12	5	DET	4	0.041237113402061855
init	flickr8k	1	True	12	5	ADP	1	0.010309278350515464
init	flickr8k	1	True	12	5	CONJ	2	0.020618556701030927
init	flickr8k	1	True	12	6	VERB	34	0.35051546391752575
init	flickr8k	1	True	12	6	NOUN	53	0.5463917525773195
init	flickr8k	1	True	12	6	ADP	3	0.030927835051546393
init	flickr8k	1	True	12	6	CONJ	5	0.05154639175257732
init	flickr8k	1	True	12	6	ADJ	2	0.020618556701030927
init	flickr8k	1	True	12	7	VERB	74	0.7628865979381443
init	flickr8k	1	True	12	7	NOUN	8	0.08247422680412371
init	flickr8k	1	True	12	7	ADP	10	0.10309278350515463
init	flickr8k	1	True	12	7	DET	3	0.030927835051546393
init	flickr8k	1	True	12	7	PRT	2	0.020618556701030927
init	flickr8k	1	True	12	8	ADP	17	0.17525773195876287
init	flickr8k	1	True	12	8	VERB	54	0.5567010309278351
init	flickr8k	1	True	12	8	PRT	9	0.09278350515463918
init	flickr8k	1	True	12	8	ADJ	4	0.041237113402061855
init	flickr8k	1	True	12	8	NOUN	11	0.1134020618556701
init	flickr8k	1	True	12	8	DET	2	0.020618556701030927
init	flickr8k	1	True	12	9	DET	29	0.29896907216494845
init	flickr8k	1	True	12	9	ADP	52	0.5360824742268041
init	flickr8k	1	True	12	9	PRT	6	0.061855670103092786
init	flickr8k	1	True	12	9	NOUN	2	0.020618556701030927
init	flickr8k	1	True	12	9	VERB	7	0.07216494845360824
init	flickr8k	1	True	12	9	ADJ	1	0.010309278350515464
init	flickr8k	1	True	12	10	NOUN	17	0.17525773195876287
init	flickr8k	1	True	12	10	DET	65	0.6701030927835051
init	flickr8k	1	True	12	10	ADJ	12	0.12371134020618557
init	flickr8k	1	True	12	10	ADP	3	0.030927835051546393
init	flickr8k	1	True	12	11	NOUN	97	1.0
