corpus	frozen_prefix	corpus_size_factor_exponent	run	corpus_size	langmod_vocab_size	langmod_num_params	langmod_mean_prob	langmod_median_prob	langmod_geomean_prob	langmod_mean_pplx	langmod_median_pplx	langmod_geomean_pplx	langmod_vocab_used	langmod_vocab_used_frac	langmod_min_freq_vocab_used	langmod_min_sent_len	langmod_mean_sent_len	langmod_max_sent_len	langmod_num_reused_sents	langmod_num_reused_sents_frac	langmod_reused_sents_WMD	langmod_num_reused_3grams	langmod_num_reused_4grams	langmod_num_reused_5grams	langmod_num_unique_sents	langmod_num_unique_sents_frac	langmod_num_types_nouns	langmod_num_types_adjectives	langmod_num_types_verbs	langmod_num_types_adverbs	langmod_num_types_unigrams	langmod_num_types_bigrams	langmod_num_types_trigrams	langmod_num_epochs	langmod_training_time	langmod_total_time	capgen_vocab_size	capgen_num_params	capgen_mean_prob	capgen_median_prob	capgen_geomean_prob	capgen_mean_pplx	capgen_median_pplx	capgen_geomean_pplx	capgen_vocab_used	capgen_vocab_used_frac	capgen_min_freq_vocab_used	capgen_min_sent_len	capgen_mean_sent_len	capgen_max_sent_len	capgen_num_reused_sents	capgen_num_reused_sents_frac	capgen_reused_sents_WMD	capgen_num_reused_3grams	capgen_num_reused_4grams	capgen_num_reused_5grams	capgen_num_unique_sents	capgen_num_unique_sents_frac	capgen_num_types_nouns	capgen_num_types_adjectives	capgen_num_types_verbs	capgen_num_types_adverbs	capgen_num_types_unigrams	capgen_num_types_bigrams	capgen_num_types_trigrams	capgen_BLEU_1	capgen_BLEU_2	capgen_BLEU_3	capgen_BLEU_4	capgen_METEOR	capgen_ROUGE_L	capgen_CIDEr	capgen_SPICE	capgen_WMD	capgen_R@1	capgen_R@5	capgen_R@10	capgen_median_rank	capgen_R@1_frac	capgen_R@5_frac	capgen_R@10_frac	capgen_median_rank_frac	capgen_num_epochs	capgen_training_time	capgen_total_time
flickr8k	True	-1.0	1	3000	635	871753	3.73429745615e-07	6.88970841017e-15	5.69353333829e-16	25.3526025682	17.7517937099	19.0207852233	589	0.9275590551181102	5	5	10.257	20	0	0.0	None	3511	1222	385	1000	1.0	411	110	168	19	589	3770	6139	24	57	61	635	2906513	7.75506801323e-06	5.35017194376e-13	4.51399597657e-14	16.9690365965	12.115328425	12.9338604602	200	0.31496062992125984	40	5	9.778	20	0	0.0	None	7712	6283	4616	729	0.729	133	11	43	0	200	465	832	0.618838208222477	0.4282963939496285	0.284267112392459	0.18906228822853105	0.19024413840071266	0.445492898594	0.488094986247	0.129867928668	0.141656775973	153	396	513	10.0	0.153	0.396	0.513	0.01	10	136	458
flickr8k	True	-0.5	1	9487	1339	1367369	2.60325081501e-07	5.68742065657e-15	3.72710938294e-16	29.7002905002	18.4358159888	19.9227915829	960	0.7169529499626587	5	5	10.813	20	0	0.0	None	4979	2291	886	998	0.998	652	144	231	30	960	4131	6386	19	116	122	1339	3704849	9.93957707927e-06	1.10880173197e-13	8.00757171231e-15	21.9139086989	13.8618594777	14.9890312914	217	0.16206123973114264	37	5	10.114	20	0	0.0	None	8062	6688	5004	734	0.734	152	17	38	0	217	527	916	0.6056950761320342	0.4204490037682319	0.2820609465306192	0.18716134363619802	0.19212699597365715	0.445427032728	0.475880773616	0.130470518552	0.137257083657	179	409	549	8.0	0.179	0.409	0.549	0.008	9	146	526
flickr8k	True	0.0	1	30000	2532	2207241	5.06536083397e-07	6.73095836621e-15	4.62017630892e-16	30.7521931626	18.0133721306	19.6419047924	1106	0.4368088467614534	5	5	10.921	20	0	0.0	None	5464	2718	1143	1000	1.0	736	179	264	27	1106	4569	6889	13	289	300	2532	5057711	8.76512124106e-06	3.82225371269e-14	1.96631894409e-15	26.612524979	15.6128681213	16.9336422541	227	0.089652448657188	39	5	10.386	20	0	0.0	None	8331	6894	5114	729	0.729	157	15	46	1	227	550	959	0.5985942615058156	0.4128043133277554	0.2737904672398553	0.1777194778151937	0.1948795808127166	0.444132860418	0.473297566082	0.131843076635	0.139167827561	182	436	568	8.0	0.182	0.436	0.568	0.008	8	167	680
flickr8k	True	-1.0	2	3000	646	879497	1.46785559162e-07	2.76967401375e-15	2.70224681999e-16	27.5088697379	18.8948611376	20.4725178628	600	0.9287925696594427	5	5	10.629	20	0	0.0	None	3557	1221	335	1000	1.0	412	122	173	15	600	3962	6402	21	53	57	646	2918987	6.26011299495e-06	2.89810322674e-13	2.59091855488e-14	17.6483002293	12.7531290311	13.5319564138	190	0.29411764705882354	39	5	9.703	20	0	0.0	None	7619	6116	4411	749	0.749	125	13	40	0	190	454	827	0.6222817685251343	0.4278376789876611	0.2814278027069849	0.18103334482355687	0.1896028752153315	0.442965786083	0.474930431622	0.128428913792	0.140933443362	145	364	488	11.0	0.145	0.364	0.488	0.011	9	124	450
flickr8k	True	-0.5	2	9487	1368	1387785	3.35152229784e-07	4.74481054171e-15	3.48703118877e-16	29.7750873505	18.3234086444	19.9336390733	945	0.6907894736842105	5	5	10.283	20	0	0.0	None	4475	1902	695	1000	1.0	647	149	253	24	945	4129	6328	20	128	134	1368	3737735	8.45897118745e-06	1.46981472978e-13	1.13110696242e-14	20.9141350509	13.712737609	14.5841750777	259	0.18932748538011696	30	5	9.878	20	0	0.0	None	7820	6391	4655	772	0.772	171	21	54	0	259	646	1144	0.6148005669163176	0.426439003851242	0.2852033627706004	0.18705834809928826	0.19356420990005038	0.446571536986	0.493047534699	0.132271776295	0.14161632144	187	403	527	9.0	0.187	0.403	0.527	0.009	12	194	584
flickr8k	True	0.0	2	30000	2532	2207241	3.99023838168e-07	7.97366447742e-15	4.44970761417e-16	31.6337055514	17.8731473158	19.6877667098	1127	0.4451026856240126	5	5	10.886	20	0	0.0	None	5411	2743	1163	1000	1.0	761	180	286	31	1127	4641	6873	14	312	322	2532	5057711	1.21735711384e-05	5.48120679764e-14	3.17597010521e-15	26.1710516262	15.0744006432	16.3012352674	282	0.11137440758293839	17	5	10.278	20	0	0.0	None	8211	6755	4992	786	0.786	191	20	66	0	282	713	1273	0.5924304339365059	0.4060407443294379	0.2680485285365373	0.1734457187193401	0.1909583058293202	0.434448564444	0.468450333246	0.130144319436	0.135965724254	189	416	536	9.0	0.189	0.416	0.536	0.009	12	247	769
flickr8k	True	-1.0	3	3000	637	873161	2.36507716966e-07	3.09526103256e-15	2.95043087788e-16	27.3034190244	18.9216100033	20.4080113605	609	0.9560439560439561	5	5	11.818	20	0	0.0	None	3772	1326	372	1000	1.0	434	121	176	22	609	4523	7390	21	52	57	637	2908781	6.2720194084e-06	2.95902582104e-13	2.66364114575e-14	17.7285532707	12.5725115162	13.4473199692	198	0.3108320251177394	39	5	9.811	20	0	0.0	None	7718	6217	4470	737	0.737	131	13	41	1	198	436	798	0.6180817449800613	0.4237701288870684	0.2780493503359546	0.17854704272375757	0.19019741624345124	0.442607219758	0.476783762145	0.127259609285	0.140787519738	159	382	521	9.0	0.159	0.382	0.521	0.009	9	123	446
flickr8k	True	-0.5	3	9487	1320	1353993	4.58673060241e-07	6.52576811438e-15	3.62334912536e-16	30.0714976966	18.3795543623	19.9077078301	898	0.6803030303030303	5	5	10.741	20	0	0.0	None	5145	2492	1015	1000	1.0	602	134	203	25	898	3888	6064	19	120	127	1320	3683303	1.08585550851e-05	1.48884213411e-13	1.07715398006e-14	21.2260935958	13.7353195002	14.6209401534	250	0.1893939393939394	30	5	9.672	20	0	0.0	None	7583	6114	4303	786	0.786	165	20	54	0	250	592	1088	0.6092845326715665	0.4191026880787527	0.2780562300961407	0.1824631104202472	0.19287054535928122	0.445546101209	0.471801317215	0.129422279871	0.140073013056	183	432	558	8.0	0.183	0.432	0.558	0.008	11	178	555
flickr8k	True	0.0	3	30000	2532	2207241	3.03266530357e-07	6.9662292527e-15	4.85636830285e-16	31.2188465593	17.8842845718	19.5829915371	1148	0.45339652448657186	5	5	11.006	20	0	0.0	None	5484	2758	1204	1000	1.0	775	186	277	30	1148	4658	6987	14	310	321	2532	5057711	1.11876645466e-05	4.48919972265e-14	2.86452961735e-15	25.8434237991	15.3250876573	16.3890435305	268	0.10584518167456557	17	5	10.474	20	0	0.0	None	8410	6929	5091	762	0.762	169	23	66	1	268	655	1146	0.5921329005155058	0.4036578675285637	0.2660155505676628	0.17554050078515676	0.19300808673816963	0.441092657657	0.464654460792	0.131841851877	0.140420815789	178	433	568	8.0	0.178	0.433	0.568	0.008	10	206	721
flickr8k	False	-1.0	1	3000	635	871753	3.49884674284e-07	4.14326539595e-15	3.77246992628e-16	26.4457483266	18.5506602469	19.7923439345	587	0.9244094488188976	5	5	10.594	20	0	0.0	None	3726	1333	391	1000	1.0	409	103	159	19	587	3772	6194	22	53	57	635	2906513	6.52076443018e-06	5.20195554395e-13	5.15492889014e-14	16.952787458	12.0560874814	12.8474884513	212	0.33385826771653543	39	5	10.989	20	0	0.0	None	8901	7292	5000	821	0.821	140	15	47	1	212	527	1009	0.5601965601965092	0.38645132043465413	0.2544856476633856	0.16677547349738153	0.19035236911948752	0.441001007797	0.444343042133	0.130137510162	0.138185064721	158	376	520	10.0	0.158	0.376	0.52	0.01	12	238	576
