corpus	frozen_prefix	corpus_size_factor_exponent	run	corpus_size	langmod_vocab_size	langmod_num_params	langmod_mean_prob	langmod_median_prob	langmod_geomean_prob	langmod_mean_pplx	langmod_median_pplx	langmod_geomean_pplx	langmod_vocab_used	langmod_vocab_used_frac	langmod_min_freq_vocab_used	langmod_min_sent_len	langmod_mean_sent_len	langmod_max_sent_len	langmod_num_reused_sents	langmod_num_reused_sents_frac	langmod_reused_sents_WMD	langmod_num_reused_3grams	langmod_num_reused_4grams	langmod_num_reused_5grams	langmod_num_unique_sents	langmod_num_unique_sents_frac	langmod_num_types_nouns	langmod_num_types_adjectives	langmod_num_types_verbs	langmod_num_types_adverbs	langmod_num_types_unigrams	langmod_num_types_bigrams	langmod_num_types_trigrams	langmod_num_epochs	langmod_training_time	langmod_total_time	capgen_vocab_size	capgen_num_params	capgen_mean_prob	capgen_median_prob	capgen_geomean_prob	capgen_mean_pplx	capgen_median_pplx	capgen_geomean_pplx	capgen_vocab_used	capgen_vocab_used_frac	capgen_min_freq_vocab_used	capgen_min_sent_len	capgen_mean_sent_len	capgen_max_sent_len	capgen_num_reused_sents	capgen_num_reused_sents_frac	capgen_reused_sents_WMD	capgen_num_reused_3grams	capgen_num_reused_4grams	capgen_num_reused_5grams	capgen_num_unique_sents	capgen_num_unique_sents_frac	capgen_num_types_nouns	capgen_num_types_adjectives	capgen_num_types_verbs	capgen_num_types_adverbs	capgen_num_types_unigrams	capgen_num_types_bigrams	capgen_num_types_trigrams	capgen_BLEU_1	capgen_BLEU_2	capgen_BLEU_3	capgen_BLEU_4	capgen_METEOR	capgen_ROUGE_L	capgen_CIDEr	capgen_SPICE	capgen_WMD	capgen_R@1	capgen_R@5	capgen_R@10	capgen_median_rank	capgen_R@1_frac	capgen_R@5_frac	capgen_R@10_frac	capgen_median_rank_frac	capgen_num_epochs	capgen_training_time	capgen_total_time
lm1b	True	-1.0	1	3000	1893	1335159	2.11043949422e-07	9.62262725547e-21	1.03276784868e-21	84.4855615301	57.4119675593	59.3751443107	1727	0.9123085050184891	5	5	16.521	20	0	0.0	None	1071	79	4	1000	1.0	1071	363	536	117	1727	11222	14110	10	77	170	607	2183869	1.7827349374e-05	2.67626470252e-11	1.80861098801e-12	13.0554257978	8.60938369754	9.41237352383	108	0.17792421746293247	10	5	7.558	17	0	0.0	None	5281	3649	2043	475	0.475	73	10	13	0	108	251	470	0.5729683174348276	0.38314303125259586	0.24302881756789876	0.1529782700374615	0.14553156908564574	0.39937116756	0.259369647485	0.0736137219686	0.0966743316194	67	207	323	31.0	0.067	0.207	0.323	0.031	12	171	472
lm1b	True	-0.5	1	9487	4619	2597297	3.59137648479e-09	6.18930499065e-25	5.70850492972e-26	213.326657268	132.260308854	138.925512359	3048	0.6598830915782637	5	5	16.784	20	0	0.0	None	1716	204	11	1000	1.0	1830	539	880	163	3048	12167	14420	8	165	265	1073	2542689	7.51211120768e-06	7.85807576651e-13	4.44478008932e-14	19.0419316172	11.678361325	12.8622738821	176	0.16402609506057783	5	5	8.116	17	0	0.0	None	6046	4785	3371	511	0.511	111	14	32	1	176	386	638	0.5921134947895352	0.4076377265580183	0.26997115727609816	0.1768894087662158	0.1654123640912159	0.418650105234	0.345936693831	0.108014042944	0.118545882928	125	333	445	14.0	0.125	0.333	0.445	0.014	15	238	577
lm1b	True	0.0	1	30000	10022	5098886	1.69147319542e-09	3.12857261749e-27	3.44299208739e-28	324.514127571	202.626686044	215.529644877	4194	0.4184793454400319	5	5	17.004	20	0	0.0	None	2435	362	42	1000	1.0	2497	733	1131	203	4194	12949	14715	10	736	868	1577	2930769	5.34478072397e-06	1.07087550869e-13	6.3893864668e-15	23.3169497354	13.876070235	15.2218016328	253	0.160431198478123	6	5	8.742	20	0	0.0	None	6681	5358	3829	670	0.67	167	24	42	1	253	552	909	0.6065324379420443	0.4180059993618286	0.27735761884438487	0.1829630778615799	0.17990534320434137	0.432033173923	0.423625790292	0.121503294035	0.13279507818	154	382	494	11.0	0.154	0.382	0.494	0.011	13	234	615
lm1b	True	0.5	1	94868	19802	9627026	9.46521157264e-10	4.94575409352e-28	4.95234986122e-29	410.617187333	237.587806803	259.888630107	4549	0.22972427027572973	5	5	16.98	20	0	0.0	None	3386	605	87	1000	1.0	2695	755	1186	218	4549	12856	14663	12	3937	4111	2022	3273419	4.43731190734e-06	4.94873010273e-14	2.77143584589e-15	26.2253752099	14.9310153093	16.3991132381	282	0.1394658753709199	9	5	9.325	17	0	0.0	None	7275	5835	4268	715	0.715	194	20	57	2	282	572	955	0.6058083167589217	0.4120911412885031	0.27217654210661973	0.1779879504647498	0.18411672263556053	0.440468958541	0.437687323247	0.12562930831	0.13505181279	171	415	549	8.0	0.171	0.415	0.549	0.008	12	237	680
lm1b	True	1.0	1	300000	36033	17141979	6.02752128911e-10	2.75882669626e-29	2.39818995372e-30	542.840637214	310.488586268	339.718317187	4757	0.1320178725057586	5	5	16.88	20	0	0.0	None	4142	875	156	1000	1.0	2799	773	1209	213	4757	12850	14569	5	8224	8483	2322	3504419	4.70452565681e-06	2.75700892575e-14	1.5233681354e-15	28.3047969808	15.7234031004	17.3059698617	304	0.13092161929371232	8	5	8.874	16	0	0.0	None	6795	5425	3909	722	0.722	213	22	55	2	304	655	1035	0.6107663855782164	0.42382239817879525	0.28247568434175	0.18511650518867137	0.1853818951161586	0.44094615473	0.449556477722	0.127702389541	0.135689516683	175	431	548	8.0	0.175	0.431	0.548	0.008	14	295	770
lm1b	True	-1.0	2	3000	1845	1312935	1.61030075841e-07	5.16607458235e-21	4.43733688808e-22	93.8904200021	60.228072744	63.495094591	1710	0.926829268292683	5	5	17.135	20	0	0.0	None	1057	76	3	1000	1.0	1067	366	544	137	1710	11762	14738	11	87	180	585	2166929	1.55573021354e-05	2.99651717979e-11	2.10831818528e-12	12.5604689678	8.4897517437	9.30898062013	118	0.20170940170940171	10	5	8.64	20	0	0.0	None	6193	4231	2186	609	0.609	76	12	20	0	118	331	663	0.5671188990469344	0.3667368179687388	0.2276680960317552	0.13796329926311018	0.14985672234694022	0.391112001716	0.257180902967	0.0740537670887	0.0973394599398	66	184	285	36.5	0.066	0.184	0.285	0.0365	14	205	541
lm1b	True	-0.5	2	9487	4682	2626466	5.82584644618e-09	4.02819011925e-25	3.47038415679e-26	219.530560723	136.994485975	144.29768953	3057	0.6529260999572832	5	5	17.042	20	0	0.0	None	1696	173	9	1000	1.0	1834	581	856	177	3057	12373	14725	8	168	269	1084	2551159	7.38301629478e-06	5.43106582656e-13	3.83215819019e-14	18.8714798412	11.9349999995	13.0099907237	162	0.14944649446494465	11	5	8.246	20	0	0.0	None	6177	4822	3363	568	0.568	105	11	33	1	162	355	616	0.5977592986103523	0.41154606904794505	0.2699969739392298	0.17226604978346904	0.17167234423838867	0.421884994407	0.361392384104	0.11712810794	0.12276662195	113	293	428	15.0	0.113	0.293	0.428	0.015	11	181	541
lm1b	True	0.0	2	30000	10078	5124814	4.76767448214e-09	5.96903350163e-27	7.14933313378e-28	302.339298297	190.99740816	202.523559148	4198	0.4165509029569359	5	5	16.869	20	0	0.0	None	2428	324	44	1000	1.0	2470	744	1110	208	4198	12873	14600	9	673	806	1558	2916139	5.45324198981e-06	1.0709202332e-13	6.93560029937e-15	22.9042853229	13.6811988234	15.1068055552	230	0.14762516046213095	10	5	8.573	18	0	0.0	None	6524	5195	3739	624	0.624	154	16	46	1	230	518	847	0.6078713038878496	0.4194220998653826	0.27624408644607207	0.1796534904062454	0.17992768754183255	0.43530749363	0.420426079835	0.123980016375	0.132123221938	136	367	486	11.0	0.136	0.367	0.486	0.011	11	201	599
lm1b	True	0.5	2	94868	19767	9610821	3.88373041969e-10	3.16615420146e-28	3.95500869111e-29	408.116012103	246.271976841	265.643121629	4564	0.2308898669499671	5	5	17.096	20	0	0.0	None	3217	526	72	1000	1.0	2722	761	1161	210	4564	13064	14823	14	4588	4762	2025	3275729	4.39716294652e-06	5.43031470903e-14	3.0191412417e-15	24.9708193814	15.0306599431	16.2833805743	255	0.1259259259259259	9	5	8.681	20	0	0.0	None	6630	5240	3760	611	0.611	175	19	50	0	255	546	880	0.6049950915908223	0.4167305784220073	0.2790026132055568	0.18249071416209653	0.18035969624559156	0.434087100015	0.433047758397	0.126351319681	0.131332747248	153	386	530	9.0	0.153	0.386	0.53	0.009	11	218	658
lm1b	True	1.0	2	300000	36027	17139201	3.40733420036e-10	3.2444826842e-29	2.9249550236e-30	516.826951682	309.475744388	332.904467543	4954	0.1375079801260166	5	5	17.083	20	0	0.0	None	3888	786	134	1000	1.0	2949	847	1244	219	4954	13320	14827	8	12907	13173	2331	3511349	5.47894007249e-06	3.07210484118e-14	1.55690667773e-15	27.6121056971	15.8676919428	17.2163014537	295	0.12655512655512655	8	5	9.039	17	0	0.0	None	6966	5628	4068	696	0.696	199	20	56	1	295	609	964	0.6126707544095472	0.42911996036863037	0.28843768217386595	0.1904114597699623	0.18736409074271174	0.447093018608	0.462128152855	0.128859785825	0.139612898485	162	404	549	9.0	0.162	0.404	0.549	0.009	13	272	753
