corpus	frozen_prefix	corpus_size_factor_exponent	run	corpus_size	langmod_vocab_size	langmod_num_params	langmod_mean_prob	langmod_median_prob	langmod_geomean_prob	langmod_mean_pplx	langmod_median_pplx	langmod_geomean_pplx	langmod_vocab_used	langmod_vocab_used_frac	langmod_min_freq_vocab_used	langmod_min_sent_len	langmod_mean_sent_len	langmod_max_sent_len	langmod_num_reused_sents	langmod_num_reused_sents_frac	langmod_reused_sents_WMD	langmod_num_reused_3grams	langmod_num_reused_4grams	langmod_num_reused_5grams	langmod_num_unique_sents	langmod_num_unique_sents_frac	langmod_num_types_nouns	langmod_num_types_adjectives	langmod_num_types_verbs	langmod_num_types_adverbs	langmod_num_types_unigrams	langmod_num_types_bigrams	langmod_num_types_trigrams	langmod_num_epochs	langmod_training_time	langmod_total_time	capgen_vocab_size	capgen_num_params	capgen_mean_prob	capgen_median_prob	capgen_geomean_prob	capgen_mean_pplx	capgen_median_pplx	capgen_geomean_pplx	capgen_vocab_used	capgen_vocab_used_frac	capgen_min_freq_vocab_used	capgen_min_sent_len	capgen_mean_sent_len	capgen_max_sent_len	capgen_num_reused_sents	capgen_num_reused_sents_frac	capgen_reused_sents_WMD	capgen_num_reused_3grams	capgen_num_reused_4grams	capgen_num_reused_5grams	capgen_num_unique_sents	capgen_num_unique_sents_frac	capgen_num_types_nouns	capgen_num_types_adjectives	capgen_num_types_verbs	capgen_num_types_adverbs	capgen_num_types_unigrams	capgen_num_types_bigrams	capgen_num_types_trigrams	capgen_BLEU_1	capgen_BLEU_2	capgen_BLEU_3	capgen_BLEU_4	capgen_METEOR	capgen_ROUGE_L	capgen_CIDEr	capgen_SPICE	capgen_WMD	capgen_R@1	capgen_R@5	capgen_R@10	capgen_median_rank	capgen_R@1_frac	capgen_R@5_frac	capgen_R@10_frac	capgen_median_rank_frac	capgen_num_epochs	capgen_training_time	capgen_total_time
mscoco	True	-1.0	1	3000	684	1342522	5.20171803622e-09	1.79351408059e-16	6.15933026313e-18	41.4657514312	26.450483075	28.6525727934	653	0.9546783625730995	5	5	10.181	20	0	0.0	None	3017	1040	302	1000	1.0	487	143	156	17	653	4341	6550	12	112	118	593	3676959	8.15860150983e-06	9.1807140578e-13	7.69211022888e-14	16.7104760316	11.3752974462	12.2855646876	167	0.28161888701517707	44	5	9.925	20	0	0.0	None	7815	6288	4428	768	0.768	111	12	30	1	167	443	872	0.6126952141057317	0.42109524236349233	0.27583841307806245	0.17956001987087392	0.18570555654357782	0.440370327566	0.422646425488	0.125307538528	0.134981072647	122	325	449	14.0	0.122	0.325	0.449	0.014	10	438	767
mscoco	True	-0.5	1	9487	1361	1804913	1.46082126995e-09	1.94934873954e-17	7.80959396444e-19	58.9667859329	32.1904388797	35.3964805423	1034	0.7597354886113152	5	6	10.836	20	0	0.0	None	4724	2057	733	1000	1.0	724	168	217	26	1034	4469	6764	10	182	189	1037	4207095	6.74443102675e-06	3.00298335094e-13	1.84563120296e-14	20.7434985572	12.6472226772	13.9083037069	237	0.22854387656702024	20	5	9.581	20	0	0.0	None	7528	6098	4391	747	0.747	158	18	45	4	237	579	1034	0.6147583759523416	0.42261452127386784	0.28092085786674076	0.18301052849081306	0.1895590778006876	0.443401651934	0.462161165617	0.12642148604	0.140110590106	149	382	522	10.0	0.149	0.382	0.522	0.01	12	558	928
mscoco	True	0.0	1	30000	2590	2644320	1.71410263895e-09	8.88090351135e-18	3.35634369047e-19	79.6280111058	34.620383095	38.206296321	1297	0.5007722007722007	5	6	10.509	20	0	0.0	None	5186	2628	1147	1000	1.0	866	208	288	26	1297	4664	6685	8	381	392	1623	4906779	7.31590584527e-06	7.60704825217e-14	4.28323439334e-15	24.9386614701	14.4567014092	15.7027900144	259	0.15958102279728897	20	5	9.445	20	0	0.0	None	7349	5909	4180	777	0.777	180	17	51	0	259	593	1050	0.6201164637373615	0.4244964700094456	0.2800035797872731	0.182545594970818	0.19184207126383446	0.443519461274	0.468226660072	0.130546956739	0.138572851412	169	405	518	9.0	0.169	0.405	0.518	0.009	10	496	930
mscoco	True	0.5	1	94868	4580	4003490	3.79462353053e-09	1.67163843214e-17	6.01035984484e-19	85.5018005755	31.9812927648	36.3065753769	1415	0.3089519650655022	5	5	10.276	20	0	0.0	None	5779	3256	1589	1000	1.0	936	226	299	27	1415	4716	6582	7	1111	1130	2075	5446467	1.1209608169e-05	6.50609173747e-14	2.99473247489e-15	28.1810962049	14.8517766673	16.3053150939	296	0.14265060240963856	18	5	9.431	20	0	0.0	None	7361	5912	4115	785	0.785	199	24	65	1	296	704	1226	0.6174994070085478	0.426254319689894	0.28157676077300997	0.18429297848246137	0.1911952642787679	0.447222316492	0.472585152557	0.132822875568	0.139931100657	171	402	531	9.0	0.171	0.402	0.531	0.009	11	577	1060
mscoco	True	1.0	1	300000	7629	6085957	2.72362801219e-09	3.05129332186e-17	1.10850713901e-18	80.7244247036	30.5858572608	34.8271308502	1484	0.19452090706514616	5	5	10.459	20	0	0.0	None	6520	4032	2192	1000	1.0	955	258	327	37	1484	4905	6792	7	4164	4199	2341	5764071	8.03801936703e-06	6.85436891763e-14	3.20068794212e-15	27.8082145043	14.8102253178	16.2587562018	302	0.12900469884664673	9	5	9.309	20	0	0.0	None	7225	5780	4082	797	0.797	206	21	66	1	302	737	1289	0.6152018173723646	0.4260572470880356	0.2818893820621191	0.1811956813328608	0.19129352374591663	0.445502001759	0.467822830334	0.13171279567	0.138583955401	174	423	549	8.0	0.174	0.423	0.549	0.008	11	594	1102
mscoco	True	-1.0	2	3000	677	1337741	4.55153329416e-09	2.08932177667e-16	7.89963552394e-18	42.6778198889	25.9499816232	28.1820911839	646	0.9542097488921714	5	5	10.154	19	0	0.0	None	3286	1176	359	1000	1.0	467	139	154	17	646	4130	6344	14	125	131	586	3668601	9.94412150791e-06	1.35401710483e-12	1.22187750266e-13	16.1822967979	10.9793648628	11.823567701	195	0.33276450511945393	25	5	9.456	20	0	0.0	None	7361	5853	4163	823	0.823	124	17	37	4	195	513	983	0.6220430294591849	0.4307020872603956	0.28581193054341325	0.18676399197255714	0.18692116332396835	0.442482521329	0.43126857203	0.122065100293	0.137033096426	116	303	416	17.0	0.116	0.303	0.416	0.017	13	569	901
mscoco	True	-0.5	2	9487	1358	1802864	1.43177853269e-09	3.24037779649e-17	1.31904302818e-18	54.4139940585	30.5921558866	33.2701665075	1032	0.759941089837997	5	5	10.252	20	0	0.0	None	4242	1785	640	1000	1.0	702	178	233	33	1032	4413	6509	10	162	170	1050	4222617	7.28344944618e-06	2.41869099736e-13	1.50404642851e-14	21.1276803834	12.9938358463	14.0870039321	229	0.2180952380952381	19	5	9.617	20	0	0.0	None	7541	6058	4351	801	0.801	149	19	44	2	229	591	1086	0.6156805656649043	0.42356789281270313	0.2817919429376053	0.1829102921486865	0.18957674730463434	0.444382604379	0.444220284906	0.127197322505	0.139181907632	133	364	478	12.0	0.133	0.364	0.478	0.012	11	511	893
mscoco	True	0.0	2	30000	2577	2635441	2.01231373213e-09	9.7875161518e-18	3.90011231005e-19	72.3683323574	33.794962938	37.5642754981	1279	0.49631354287931706	5	5	10.579	20	0	0.0	None	5266	2634	1150	1000	1.0	857	226	261	28	1279	4684	6781	8	370	381	1623	4906779	8.6500863685e-06	8.08010414659e-14	4.10962924631e-15	25.6766843906	14.3369620067	15.7741894221	278	0.17128773875539124	15	5	9.554	20	0	0.0	None	7483	6043	4287	801	0.801	180	21	59	2	278	637	1119	0.6166003768054619	0.42873344155338844	0.2854643486410891	0.18569426900464128	0.19076862580670484	0.448300251301	0.478129599554	0.128632164166	0.140977230513	160	390	523	9.0	0.16	0.39	0.523	0.009	11	547	991
mscoco	True	0.5	2	94868	4566	3993928	3.03129485043e-09	1.58805789015e-17	4.96343798179e-19	81.585020702	32.6508915383	37.0166660767	1354	0.2965396408234779	5	6	10.212	20	0	0.0	None	5926	3336	1657	1000	1.0	914	216	267	24	1354	4595	6527	7	1069	1087	2075	5446467	1.16869739161e-05	7.51942897458e-14	3.35236953834e-15	27.3304800152	14.7246010889	16.1355550846	303	0.14602409638554217	12	5	9.348	20	0	0.0	None	7266	5804	4091	808	0.808	205	21	64	3	303	710	1228	0.6290115532733601	0.4397100753579072	0.2983217725794855	0.200447807270576	0.19523648651073705	0.453209655591	0.494227340641	0.135030480666	0.145948432811	165	404	531	9.0	0.165	0.404	0.531	0.009	11	579	1066
mscoco	True	1.0	2	300000	7627	6084591	3.82076509676e-09	4.00308733496e-17	1.43250930892e-18	75.1576248785	30.2551872044	34.0343721526	1465	0.1920807657007998	5	7	10.456	20	0	0.0	None	6601	4114	2274	1000	1.0	977	237	272	36	1465	4767	6706	6	3654	3689	2338	5760489	1.09229254101e-05	6.13122877976e-14	2.86850885277e-15	30.1181247965	14.6996695718	16.4029246291	316	0.13515825491873396	6	5	9.402	20	0	0.0	None	7333	5915	4162	805	0.805	219	25	64	2	316	736	1269	0.6112331822689799	0.4214038388584323	0.2800508967464905	0.183623669487613	0.1894506110978276	0.442284454452	0.466803730391	0.130007090615	0.139265312322	159	397	525	10.0	0.159	0.397	0.525	0.01	12	645	1167
