corpus	frozen_prefix	max_epochs	run	corpus_size	langmod_vocab_size	langmod_num_params	langmod_mean_prob	langmod_median_prob	langmod_geomean_prob	langmod_mean_pplx	langmod_median_pplx	langmod_geomean_pplx	langmod_vocab_used	langmod_vocab_used_frac	langmod_min_freq_vocab_used	langmod_min_sent_len	langmod_mean_sent_len	langmod_max_sent_len	langmod_num_reused_sents	langmod_num_reused_sents_frac	langmod_reused_sents_WMD	langmod_num_reused_3grams	langmod_num_reused_4grams	langmod_num_reused_5grams	langmod_num_unique_sents	langmod_num_unique_sents_frac	langmod_num_types_nouns	langmod_num_types_adjectives	langmod_num_types_verbs	langmod_num_types_adverbs	langmod_num_types_unigrams	langmod_num_types_bigrams	langmod_num_types_trigrams	langmod_num_epochs	langmod_training_time	langmod_total_time	capgen_vocab_size	capgen_num_params	capgen_mean_prob	capgen_median_prob	capgen_geomean_prob	capgen_mean_pplx	capgen_median_pplx	capgen_geomean_pplx	capgen_vocab_used	capgen_vocab_used_frac	capgen_min_freq_vocab_used	capgen_min_sent_len	capgen_mean_sent_len	capgen_max_sent_len	capgen_num_reused_sents	capgen_num_reused_sents_frac	capgen_reused_sents_WMD	capgen_num_reused_3grams	capgen_num_reused_4grams	capgen_num_reused_5grams	capgen_num_unique_sents	capgen_num_unique_sents_frac	capgen_num_types_nouns	capgen_num_types_adjectives	capgen_num_types_verbs	capgen_num_types_adverbs	capgen_num_types_unigrams	capgen_num_types_bigrams	capgen_num_types_trigrams	capgen_BLEU_1	capgen_BLEU_2	capgen_BLEU_3	capgen_BLEU_4	capgen_METEOR	capgen_ROUGE_L	capgen_CIDEr	capgen_SPICE	capgen_WMD	capgen_R@1	capgen_R@5	capgen_R@10	capgen_median_rank	capgen_R@1_frac	capgen_R@5_frac	capgen_R@10_frac	capgen_median_rank_frac	capgen_num_epochs	capgen_training_time	capgen_total_time
flickr8k	True	0	1	30000	2532	2207241	3.7121915726e-14	3.55524085465e-38	4.0876778577e-41	2531.78566994	2531.77336035	2531.78355133	2529	0.9988151658767772	5	6	19.982	20	0	0.0	None	0	0	0	1000	1.0	1912	1002	1493	220	2529	18952	17982	0	25	49	2532	5057711	1.17705478381e-07	2.42204357392e-23	1.63478454578e-24	123.245117619	93.6695299371	96.2366699519	95	0.03751974723538705	32	5	5.146	20	0	0.0	None	366	4	0	205	0.205	71	7	13	0	95	220	303	0.4466982220853144	0.19598906387588458	0.034181076576822594	1.867894897290024e-06	0.09330374130087128	0.381328067078	0.0998051875298	0.0449437100867	0.0423744698787	181	416	525	9.0	0.181	0.416	0.525	0.009	10	195	577
flickr8k	True	0	2	30000	2532	2207241	3.69763633252e-14	3.55091920268e-38	4.07895397703e-41	2532.31470911	2532.3135849	2532.31266932	2529	0.9988151658767772	5	7	19.928	20	0	0.0	None	0	0	0	1000	1.0	1916	1012	1473	227	2529	18905	17928	0	7	24	2532	5057711	1.36727329224e-07	1.87310314883e-23	1.13715309621e-24	133.202570664	95.7259339818	98.6427461145	64	0.02527646129541864	32	5	5.026	20	0	0.0	None	320	4	0	126	0.126	46	3	9	0	64	136	186	0.4515434938534734	0.20209739401959476	0.029592775537086363	1.691512650938199e-06	0.08588197963724739	0.384437113427	0.0880626880022	0.0355326757058	0.0321424285447	141	373	511	10.0	0.141	0.373	0.511	0.01	8	157	532
flickr8k	True	0	3	30000	2532	2207241	3.71697335864e-14	3.56096103282e-38	4.07869513679e-41	2532.20107691	2532.32352235	2532.19907393	2530	0.9992101105845181	5	5	19.938	20	0	0.0	None	0	0	0	1000	1.0	1921	992	1481	219	2530	18908	17938	0	7	24	2532	5057711	2.04448664771e-07	2.22076073289e-23	1.46783493928e-24	125.72295178	94.5828501645	97.0095997005	71	0.028041074249605055	62	5	5.087	20	0	0.0	None	323	4	0	134	0.134	49	7	7	0	71	162	208	0.45613782760633426	0.2030944773233608	0.03258337642805947	1.8098126477174037e-06	0.08391203833177309	0.383904962627	0.0762721159806	0.0302691623016	0.0259041867029	164	393	521	9.0	0.164	0.393	0.521	0.009	8	157	526
flickr8k	True	0	4	30000	2532	2207241	3.69647488589e-14	3.53451681107e-38	4.05881368389e-41	2533.34565234	2533.3281161	2533.3437449	2530	0.9992101105845181	5	6	19.944	20	0	0.0	None	0	0	0	1000	1.0	1915	1021	1505	222	2530	18913	17944	0	7	24	2532	5057711	2.32405292633e-07	1.6874060123e-23	9.11213912569e-25	135.111044587	97.2771923728	100.832814186	54	0.02132701421800948	62	5	5.006	10	0	0.0	None	355	1	0	96	0.096	39	3	3	0	54	117	146	0.4554210595231197	0.18757704106655784	1.9534266323145077e-07	2.2055673706074391e-10	0.08118884886786415	0.376471851763	0.0708057726597	0.02984358641	0.0263456203085	143	360	484	11.5	0.143	0.36	0.484	0.0115	6	120	494
flickr8k	True	0	5	30000	2532	2207241	3.69558051642e-14	3.55965245627e-38	4.08893182669e-41	2531.74852921	2531.79475541	2531.74662244	2530	0.9992101105845181	5	8	19.964	20	0	0.0	None	0	0	0	1000	1.0	1906	1024	1447	227	2530	18941	17964	0	7	24	2532	5057711	1.18325569126e-07	2.21545919737e-23	1.58072367168e-24	123.839665784	94.1638054682	96.3696259285	90	0.035545023696682464	54	5	5.141	20	0	0.0	None	345	6	0	194	0.194	65	7	14	0	90	204	282	0.45062801914358425	0.19866792247583742	0.041965578076478174	2.179355754885283e-06	0.09021670487447553	0.383248293942	0.102552909066	0.0393725786856	0.0384357646122	171	396	515	10.0	0.171	0.396	0.515	0.01	9	176	560
flickr8k	True	1	1	30000	2532	2207241	3.59993101939e-10	2.61606052242e-26	1.96162559979e-27	213.821984796	171.891361096	178.841484509	1824	0.7203791469194313	5	5	13.339	20	0	0.0	None	439	17	0	1000	1.0	1248	373	620	72	1824	8467	10871	1	29	40	2532	5057711	3.0898130401e-08	4.18360980507e-22	2.34825026604e-23	101.98641204	74.0102395162	76.1805793888	90	0.035545023696682464	54	5	6.201	20	0	0.0	None	726	34	0	400	0.4	67	11	18	0	90	270	465	0.5398828811816753	0.2731521588658962	0.07211535525817665	0.020886718618602244	0.11650617044326604	0.398807940496	0.159491179288	0.0654960125855	0.0763937774587	180	437	541	8.0	0.18	0.437	0.541	0.008	9	176	585
flickr8k	True	1	2	30000	2532	2207241	4.70413344139e-10	1.82412737077e-26	1.3702953159e-27	218.135305053	177.164490792	184.194806489	1775	0.7010268562401264	5	5	12.027	20	0	0.0	None	362	12	0	1000	1.0	1189	360	597	68	1775	7997	9770	1	29	39	2532	5057711	4.71137946461e-08	3.36729015946e-22	1.93724431626e-23	98.8360204765	75.9707118341	76.6946275168	76	0.030015797788309637	62	5	5.494	10	0	0.0	None	614	19	0	384	0.384	57	9	12	2	76	261	460	0.5043004122584173	0.2523323402060687	0.06783474650808731	3.074295818281577e-06	0.11574030401321332	0.401477461825	0.153139052695	0.0656700913168	0.076186555309	154	380	523	9.0	0.154	0.38	0.523	0.009	8	156	551
flickr8k	True	1	3	30000	2532	2207241	6.26609366556e-10	2.00406398721e-26	1.48550883191e-27	213.748190997	175.842613074	181.313140092	1756	0.693522906793049	5	5	10.781	20	0	0.0	None	282	8	0	1000	1.0	1195	330	603	74	1756	7396	8602	1	28	38	2532	5057711	5.12797603293e-08	2.50747354083e-22	1.4121543821e-23	109.550735105	77.4025607407	79.6193083059	73	0.02883096366508689	62	5	6.774	20	0	0.0	None	540	5	0	376	0.376	54	9	13	0	73	181	316	0.5482531497818346	0.26323641917914015	0.04651485529428235	2.1926138702365307e-06	0.11133342218362399	0.396341493367	0.146845693921	0.0606284189733	0.0745647157665	163	387	511	10.0	0.163	0.387	0.511	0.01	7	138	551
flickr8k	True	1	4	30000	2532	2207241	8.07001743188e-10	2.84586271188e-26	2.05703922464e-27	205.185471954	171.348247639	174.777454137	1724	0.6808846761453397	5	5	9.472	20	0	0.0	None	231	12	1	1000	1.0	1156	325	518	67	1724	6713	7383	1	29	37	2532	5057711	5.01720272111e-08	4.05399035005e-22	1.98108874544e-23	99.3248149221	75.1121163009	76.4737784634	71	0.028041074249605055	62	5	5.703	12	0	0.0	None	640	25	1	351	0.351	52	8	13	1	71	213	396	0.5240177560772687	0.26605176258342644	0.06895133654290606	0.020622125219936806	0.11336448862305898	0.403570373265	0.153152679084	0.0623570119337	0.0743574298732	152	390	517	10.0	0.152	0.39	0.517	0.01	7	138	533
flickr8k	True	1	5	30000	2532	2207241	4.56545339573e-10	2.67992731729e-26	1.9391614053e-27	212.02047858	171.800753605	178.520085325	1819	0.7184044233807267	5	5	12.353	20	0	0.0	None	394	16	0	1000	1.0	1224	349	634	72	1819	7991	9982	1	28	39	2532	5057711	3.34871433326e-08	2.85286562229e-22	1.5422635349e-23	100.481972395	78.1225477245	78.965273885	74	0.029225908372827805	62	5	6.053	16	0	0.0	None	678	17	0	380	0.38	52	8	15	1	74	205	376	0.53564813940751	0.2595717143556123	0.05555772630016881	2.5838340966811337e-06	0.1151105962821278	0.399674761642	0.151466679435	0.0645498399145	0.0740633499537	156	376	500	10.5	0.156	0.376	0.5	0.0105	6	120	522
