corpus	frozen_prefix	max_epochs	run	corpus_size	langmod_vocab_size	langmod_num_params	langmod_mean_prob	langmod_median_prob	langmod_geomean_prob	langmod_mean_pplx	langmod_median_pplx	langmod_geomean_pplx	langmod_vocab_used	langmod_vocab_used_frac	langmod_min_freq_vocab_used	langmod_min_sent_len	langmod_mean_sent_len	langmod_max_sent_len	langmod_num_reused_sents	langmod_num_reused_sents_frac	langmod_reused_sents_WMD	langmod_num_reused_3grams	langmod_num_reused_4grams	langmod_num_reused_5grams	langmod_num_unique_sents	langmod_num_unique_sents_frac	langmod_num_types_nouns	langmod_num_types_adjectives	langmod_num_types_verbs	langmod_num_types_adverbs	langmod_num_types_unigrams	langmod_num_types_bigrams	langmod_num_types_trigrams	langmod_num_epochs	langmod_training_time	langmod_total_time	capgen_vocab_size	capgen_num_params	capgen_mean_prob	capgen_median_prob	capgen_geomean_prob	capgen_mean_pplx	capgen_median_pplx	capgen_geomean_pplx	capgen_vocab_used	capgen_vocab_used_frac	capgen_min_freq_vocab_used	capgen_min_sent_len	capgen_mean_sent_len	capgen_max_sent_len	capgen_num_reused_sents	capgen_num_reused_sents_frac	capgen_reused_sents_WMD	capgen_num_reused_3grams	capgen_num_reused_4grams	capgen_num_reused_5grams	capgen_num_unique_sents	capgen_num_unique_sents_frac	capgen_num_types_nouns	capgen_num_types_adjectives	capgen_num_types_verbs	capgen_num_types_adverbs	capgen_num_types_unigrams	capgen_num_types_bigrams	capgen_num_types_trigrams	capgen_BLEU_1	capgen_BLEU_2	capgen_BLEU_3	capgen_BLEU_4	capgen_METEOR	capgen_ROUGE_L	capgen_CIDEr	capgen_SPICE	capgen_WMD	capgen_R@1	capgen_R@5	capgen_R@10	capgen_median_rank	capgen_R@1_frac	capgen_R@5_frac	capgen_R@10_frac	capgen_median_rank_frac	capgen_num_epochs	capgen_training_time	capgen_total_time
flickr8k	True	14	1	30000	2532	2207241	3.45404685276e-07	9.06490286708e-15	4.70024451312e-16	30.9165342856	17.7616733676	19.5881853972	1153	0.45537124802527645	5	5	10.636	20	0	0.0	None	5244	2587	1120	1000	1.0	772	181	285	27	1153	4567	6771	14	307	318	2532	5057711	1.24852847358e-05	4.93085416198e-14	2.94641186607e-15	26.1506247207	15.1289076052	16.3332443745	257	0.10150078988941548	30	5	9.831	20	0	0.0	None	7777	6404	4712	735	0.735	170	23	58	3	257	630	1088	0.6138744786897962	0.42936002409323026	0.2904639504060945	0.19475302027287994	0.1952847197659068	0.452036960881	0.508670894796	0.13382824068	0.145330889931	179	434	573	7.0	0.179	0.434	0.573	0.007	10	202	703
flickr8k	True	14	2	30000	2532	2207241	3.54868041871e-07	6.69746612673e-15	4.65830139544e-16	30.3195852058	17.9866274514	19.6285956965	1171	0.46248025276461296	5	5	10.779	20	0	0.0	None	5068	2389	924	1000	1.0	802	163	289	34	1171	4735	7016	14	307	317	2532	5057711	1.48201875902e-05	4.88150926969e-14	2.71566631275e-15	26.1705609558	15.3370661146	16.4436175975	253	0.09992101105845182	29	5	9.902	20	0	0.0	None	7858	6478	4804	760	0.76	166	19	56	0	253	616	1071	0.6133104423348199	0.42062385009196984	0.2795761974088073	0.1828416293859774	0.19169179184633614	0.444951004845	0.475899528007	0.129605442653	0.136633253965	173	408	540	9.0	0.173	0.408	0.54	0.009	11	220	729
flickr8k	True	14	3	30000	2532	2207241	3.39505732186e-07	7.14861534359e-15	4.73641212097e-16	31.0546516878	17.9901061668	19.7011682184	1141	0.45063191153238547	5	5	11.435	20	0	0.0	None	5780	2965	1327	1000	1.0	766	174	291	26	1141	4719	7176	14	308	318	2532	5057711	1.36276546459e-05	5.46301355841e-14	2.95608042815e-15	26.4589654184	14.8114382999	16.3290795344	293	0.11571879936808847	25	5	10.238	20	0	0.0	None	8143	6605	4779	838	0.838	196	29	62	2	293	769	1373	0.5933776128149449	0.4046332034601267	0.26739838073648425	0.17523929168344163	0.19141195192620772	0.439835120869	0.462675379815	0.129280808713	0.132477263629	178	422	555	8.0	0.178	0.422	0.555	0.008	14	277	790
flickr8k	True	14	4	30000	2532	2207241	3.9799579364e-07	8.18670736742e-15	4.838987153e-16	31.0562277865	17.7537708666	19.5346125898	1156	0.4565560821484992	5	5	10.71	20	0	0.0	None	5297	2544	1035	1000	1.0	778	173	270	35	1156	4552	6829	14	307	316	2532	5057711	1.31736930626e-05	4.8008311642e-14	2.59725996509e-15	26.0303226319	15.4801708501	16.5579062924	248	0.09794628751974724	30	5	10.208	20	0	0.0	None	8144	6707	4975	737	0.737	166	20	53	1	248	595	1056	0.6009012539184364	0.41119952690072714	0.2735802548360794	0.1791993888052813	0.19192734248819487	0.443158659329	0.476701885268	0.129789553112	0.137250630485	177	420	546	8.0	0.177	0.42	0.546	0.008	9	182	700
flickr8k	True	14	5	30000	2532	2207241	3.53771613613e-07	8.94391477601e-15	4.69304171888e-16	30.8581396692	17.7755740647	19.6054256816	1166	0.46050552922590837	5	5	10.714	20	0	0.0	None	5045	2393	990	999	0.999	789	175	297	27	1166	4708	6918	14	307	317	2532	5057711	1.42776867299e-05	6.16886520981e-14	3.51423016821e-15	25.5568290072	14.834275219	16.0636105617	274	0.10821484992101106	17	5	9.679	20	0	0.0	None	7636	6250	4580	780	0.78	182	22	57	4	274	676	1191	0.6203797676318227	0.4302002228399856	0.2903167352264758	0.1938851275557435	0.1939122676146947	0.448371186471	0.503915726346	0.134470213419	0.145275177947	175	444	555	8.0	0.175	0.444	0.555	0.008	13	257	759
flickr8k	True	15	1	30000	2532	2207241	4.00243082419e-07	7.72083477416e-15	4.75536081373e-16	31.3467824158	17.8025684923	19.5990545983	1164	0.4597156398104265	5	5	10.905	20	0	0.0	None	5376	2590	1116	999	0.999	803	188	281	26	1164	4748	7042	15	327	338	2532	5057711	1.22948749126e-05	4.9493481568e-14	2.87298735246e-15	25.8579384181	15.0995403111	16.3530411524	244	0.09636650868878358	28	5	9.823	20	0	0.0	None	7777	6345	4656	717	0.717	166	15	52	0	244	594	1042	0.6020563982489461	0.4164839038386831	0.2817764930822503	0.18700875326680072	0.19238858751864849	0.442807408358	0.483243709579	0.131191153431	0.142570729736	176	435	562	7.0	0.176	0.435	0.562	0.007	10	202	703
flickr8k	True	15	2	30000	2532	2207241	4.04708582104e-07	7.2304210355e-15	4.6318822308e-16	31.5167640686	17.7477228031	19.6099807168	1092	0.4312796208530806	5	5	10.945	20	0	0.0	None	5759	2983	1314	1000	1.0	735	163	259	27	1092	4401	6747	15	328	338	2532	5057711	9.12107580232e-06	5.61076779201e-14	3.08626356656e-15	25.2839078481	15.1786224521	16.2897990645	273	0.10781990521327015	17	5	10.345	20	0	0.0	None	8291	6835	5109	757	0.757	187	23	59	1	273	636	1105	0.5955534074431517	0.40635387965998077	0.2692070723042856	0.17705872385530977	0.19303724812772333	0.439527260012	0.476748885299	0.133300693463	0.139261657822	190	413	546	8.0	0.19	0.413	0.546	0.008	10	201	723
flickr8k	True	15	3	30000	2532	2207241	3.85946840267e-07	8.46118860098e-15	4.94698732059e-16	30.8705474856	17.9878784141	19.5330848467	1156	0.4565560821484992	5	5	11.05	20	0	0.0	None	5576	2877	1256	1000	1.0	762	186	303	21	1156	4632	6898	15	328	338	2532	5057711	1.40658849067e-05	5.68196363882e-14	3.12109192288e-15	25.6386931947	15.0982137862	16.2384583559	278	0.10979462875197472	15	5	9.551	20	0	0.0	None	7506	6135	4522	743	0.743	186	21	58	0	278	677	1175	0.6099197486285828	0.4223372700650018	0.2839856758994458	0.1863767028617477	0.1917439043678014	0.442849343438	0.50111947384	0.132001502206	0.143144338617	184	447	560	7.5	0.184	0.447	0.56	0.0075	12	239	733
flickr8k	True	15	4	30000	2532	2207241	2.75658008109e-07	6.70854464556e-15	4.59000296968e-16	31.6308283422	17.975179375	19.6912278457	1129	0.4458925750394945	5	5	11.256	20	0	0.0	None	5739	2954	1282	999	0.999	761	174	281	40	1129	4627	7065	15	328	338	2532	5057711	1.18762889856e-05	5.62437886096e-14	3.21664666481e-15	25.6222285339	15.1643094739	16.2283106169	251	0.09913112164296999	29	5	10.309	20	0	0.0	None	8256	6843	5007	769	0.769	168	21	52	0	251	639	1159	0.5979241439518287	0.4142759834519087	0.27735991283076816	0.18238036525490592	0.1944356596250577	0.440764520662	0.478678834214	0.13541285607	0.143082798263	177	405	545	8.0	0.177	0.405	0.545	0.008	11	220	743
flickr8k	True	15	5	30000	2532	2207241	3.83721588421e-07	8.09571125035e-15	4.67576292429e-16	31.2791879996	17.8471997748	19.5999429491	1102	0.4352290679304897	5	5	10.872	20	0	0.0	None	5482	2776	1212	999	0.999	757	164	260	25	1102	4467	6720	15	328	338	2532	5057711	1.58614639124e-05	5.25400481351e-14	2.8901535731e-15	25.9875217868	15.0862234853	16.3320068664	257	0.10150078988941548	26	5	9.716	18	0	0.0	None	7679	6287	4604	752	0.752	166	21	58	1	257	604	1054	0.6162000823383474	0.4260884627532245	0.28491825964612355	0.1891900427229205	0.19346883544276913	0.44650855037	0.49345167035	0.133607199363	0.143044528549	196	430	570	8.0	0.196	0.43	0.57	0.008	10	207	719
