corpus	frozen_prefix	max_epochs	run	corpus_size	langmod_vocab_size	langmod_num_params	langmod_mean_prob	langmod_median_prob	langmod_geomean_prob	langmod_mean_pplx	langmod_median_pplx	langmod_geomean_pplx	langmod_vocab_used	langmod_vocab_used_frac	langmod_min_freq_vocab_used	langmod_min_sent_len	langmod_mean_sent_len	langmod_max_sent_len	langmod_num_reused_sents	langmod_num_reused_sents_frac	langmod_reused_sents_WMD	langmod_num_reused_3grams	langmod_num_reused_4grams	langmod_num_reused_5grams	langmod_num_unique_sents	langmod_num_unique_sents_frac	langmod_num_types_nouns	langmod_num_types_adjectives	langmod_num_types_verbs	langmod_num_types_adverbs	langmod_num_types_unigrams	langmod_num_types_bigrams	langmod_num_types_trigrams	langmod_num_epochs	langmod_training_time	langmod_total_time	capgen_vocab_size	capgen_num_params	capgen_mean_prob	capgen_median_prob	capgen_geomean_prob	capgen_mean_pplx	capgen_median_pplx	capgen_geomean_pplx	capgen_vocab_used	capgen_vocab_used_frac	capgen_min_freq_vocab_used	capgen_min_sent_len	capgen_mean_sent_len	capgen_max_sent_len	capgen_num_reused_sents	capgen_num_reused_sents_frac	capgen_reused_sents_WMD	capgen_num_reused_3grams	capgen_num_reused_4grams	capgen_num_reused_5grams	capgen_num_unique_sents	capgen_num_unique_sents_frac	capgen_num_types_nouns	capgen_num_types_adjectives	capgen_num_types_verbs	capgen_num_types_adverbs	capgen_num_types_unigrams	capgen_num_types_bigrams	capgen_num_types_trigrams	capgen_BLEU_1	capgen_BLEU_2	capgen_BLEU_3	capgen_BLEU_4	capgen_METEOR	capgen_ROUGE_L	capgen_CIDEr	capgen_SPICE	capgen_WMD	capgen_R@1	capgen_R@5	capgen_R@10	capgen_median_rank	capgen_R@1_frac	capgen_R@5_frac	capgen_R@10_frac	capgen_median_rank_frac	capgen_num_epochs	capgen_training_time	capgen_total_time
lm1b	True	0	1	30000	10022	5098886	5.96697741567e-16	9.72615275678e-45	3.32187553152e-48	10020.6050796	10020.6652116	10020.604731	8628	0.8609060067850728	5	9	19.982	20	0	0.0	None	0	0	0	1000	1.0	5298	2350	2849	503	8628	18982	17982	0	21	147	1577	2930769	3.44338652629e-06	2.65674643366e-19	1.76684567523e-20	63.9571758583	41.5763415551	43.6137242937	130	0.08243500317057705	21	5	5.945	20	0	0.0	None	2838	1398	474	503	0.503	95	10	25	0	130	438	761	0.5474939542770356	0.3645903912338085	0.22099306437765645	0.12221028492807505	0.14062141084954569	0.422402015594	0.260595159602	0.0926858873286	0.0987537261945	144	362	486	11.0	0.144	0.362	0.486	0.011	27	456	805
lm1b	True	0	2	30000	10078	5124814	5.87090079395e-16	9.14100990834e-45	3.10465577499e-48	10077.9216899	10077.9390596	10077.9213949	8684	0.8616789045445525	5	5	19.967	20	0	0.0	None	0	0	0	1000	1.0	5285	2347	2856	532	8684	18963	17967	0	21	143	1558	2916139	2.68569227434e-06	3.48832182105e-19	2.60174553687e-20	63.0494396662	40.5434137726	42.2510816361	143	0.09178433889602054	20	5	5.904	20	0	0.0	None	2852	1372	491	503	0.503	106	19	30	0	143	448	781	0.5395814796831214	0.3573770094368461	0.21437917262290593	0.12154101061965991	0.14058782093400685	0.417843140935	0.255566658851	0.089851878297	0.0977220154498	135	353	465	13.0	0.135	0.353	0.465	0.013	30	505	849
lm1b	True	0	3	30000	10063	5117869	5.89749190343e-16	9.29416414991e-45	3.16312336634e-48	10061.9992789	10062.0377438	10061.9989137	8701	0.8646526880651894	5	5	19.985	20	0	0.0	None	0	0	0	1000	1.0	5352	2390	2869	519	8701	18985	17985	0	21	144	1587	2938469	2.92012751242e-06	2.5120535411e-19	1.79355330807e-20	64.2086590461	41.5834173125	43.6089080921	136	0.0856962822936358	30	5	6.058	20	0	0.0	None	2853	1408	524	526	0.526	102	16	25	1	136	471	792	0.5405207642253305	0.3613245389226643	0.2186941146610403	0.13116630558860834	0.14185377272824704	0.413064446703	0.251254386701	0.0886711899427	0.0999239392032	141	398	511	10.0	0.141	0.398	0.511	0.01	29	490	835
lm1b	True	0	4	30000	10103	5136389	5.82909522285e-16	8.88361705719e-45	3.01485826722e-48	10102.7356611	10102.805573	10102.7352456	8676	0.858754825299416	5	20	20.0	20	0	0.0	None	0	0	0	1000	1.0	5256	2396	2887	504	8676	18998	18000	0	21	148	1589	2940009	2.77084517659e-06	4.09467809319e-19	2.76263119186e-20	63.1056618575	40.021862294	42.0417389415	130	0.08181246066708622	40	5	6.126	20	0	0.0	None	3187	1627	600	534	0.534	98	15	26	0	130	418	742	0.5530478422996041	0.37300041825068647	0.2307147219700254	0.13270192691896504	0.1442356171270724	0.420238624453	0.276107741114	0.0952652186526	0.103217179559	150	368	492	11.0	0.15	0.368	0.492	0.011	32	540	889
lm1b	True	0	5	30000	10098	5134074	5.83155314169e-16	8.95233009336e-45	3.03735830874e-48	10096.5107414	10096.5348815	10096.5103621	8715	0.8630421865715984	5	8	19.98	20	0	0.0	None	0	0	0	1000	1.0	5333	2360	2932	519	8715	18979	17980	0	22	149	1563	2919989	2.83740483453e-06	7.89064230551e-19	5.52811199109e-20	60.541085134	37.7479760082	39.604441418	123	0.07869481765834933	30	5	5.741	16	0	0.0	None	2966	1574	643	501	0.501	89	14	25	1	123	411	705	0.5338392674497501	0.3629429487527168	0.22548218984607307	0.1291781908039268	0.14130754354336345	0.415302604701	0.277079596286	0.0938179304196	0.10309484079	142	361	482	12.0	0.142	0.361	0.482	0.012	34	571	907
lm1b	True	1	1	30000	10022	5098886	1.72530513182e-09	6.06388511755e-30	6.55920211622e-31	528.856747506	345.266966377	357.882410236	4009	0.4000199560965875	5	5	17.561	20	0	0.0	None	1456	127	8	1000	1.0	2413	736	1129	205	4009	13617	15391	1	91	210	1577	2930769	2.80029099707e-06	5.9308295306e-15	3.55509600367e-16	30.5065251615	17.4292803123	19.2873448455	183	0.1160431198478123	11	5	6.486	14	0	0.0	None	4369	3132	1877	468	0.468	120	15	36	1	183	410	663	0.577510797253779	0.41283012024087085	0.2780737731345715	0.18113625063155545	0.15790323018605476	0.426906565196	0.352219659303	0.11048608831	0.118756922429	146	385	503	10.0	0.146	0.385	0.503	0.01	13	224	572
lm1b	True	1	2	30000	10078	5124814	6.24455736987e-09	1.51501448562e-29	1.46427290327e-30	471.492925567	321.453425943	330.441881205	4039	0.40077396308791424	5	5	16.62	20	0	0.0	None	1154	82	8	1000	1.0	2410	731	1123	213	4039	13146	14497	1	91	207	1558	2916139	2.30418867898e-06	2.76918132417e-15	2.02707415257e-16	30.7315462497	18.4790711082	20.1604996295	186	0.11938382541720154	7	5	6.743	14	0	0.0	None	4560	3160	1792	534	0.534	127	10	36	0	186	386	675	0.5847376335695248	0.42043275993129275	0.285601987958093	0.19128564612049476	0.16424620742900609	0.430441034013	0.359549472373	0.113537754876	0.120737229658	148	366	489	11.0	0.148	0.366	0.489	0.011	11	190	542
lm1b	True	1	3	30000	10063	5117869	3.448346032e-09	1.34732096707e-29	1.00947777139e-30	493.591956684	339.150005953	345.303974122	3880	0.38557090330915234	5	5	16.855	20	0	0.0	None	1363	93	3	1000	1.0	2342	671	1065	205	3880	13006	14718	1	91	211	1587	2938469	2.86136002221e-06	5.21629884212e-15	3.16577083324e-16	30.1351814534	17.7466803514	19.4317004773	201	0.1266540642722117	11	5	7.641	15	0	0.0	None	5422	3973	2510	671	0.671	139	15	38	0	201	460	818	0.6020840658772967	0.42568550024352286	0.28104315952466036	0.1803681898040606	0.17302574192624437	0.432236719079	0.406747104441	0.120088875856	0.130001278174	160	412	524	9.0	0.16	0.412	0.524	0.009	14	241	605
lm1b	True	1	4	30000	10103	5136389	1.26921366421e-09	4.53860622941e-30	4.33917411594e-31	517.867061596	353.320846048	369.899208742	4174	0.4131446105117292	5	5	16.336	20	0	0.0	None	1048	59	2	1000	1.0	2459	801	1134	227	4174	13218	14244	1	91	210	1589	2940009	2.60111421891e-06	6.05225179593e-15	2.89696692495e-16	31.316965736	17.8162406247	19.561944114	198	0.12460667086217747	9	5	7.191	16	0	0.0	None	5015	3671	2298	557	0.557	129	16	40	0	198	423	721	0.5854238061028029	0.41203771655213134	0.27834150377695127	0.1829509824395198	0.16382133279369626	0.430893179994	0.365954710795	0.114440412511	0.122052845261	152	377	509	10.0	0.152	0.377	0.509	0.01	16	274	632
lm1b	True	1	5	30000	10098	5134074	3.58337851272e-09	3.05128879708e-29	3.35991945312e-30	447.786559827	299.913371552	308.763115572	3984	0.39453357100415926	5	5	16.55	20	0	0.0	None	1204	85	1	1000	1.0	2399	701	1120	210	3984	13050	14449	1	91	208	1563	2919989	3.00070806195e-06	7.70136103768e-15	4.81173408446e-16	29.5822297681	17.0892169905	18.7682629748	203	0.12987843889955214	10	5	6.978	16	0	0.0	None	4749	3357	2073	573	0.573	136	17	41	1	203	471	802	0.5860724588332366	0.41843640095497386	0.2823845685629197	0.18585349395516146	0.16506657418191434	0.430143745206	0.36759761685	0.114869266744	0.123767936254	145	372	504	10.0	0.145	0.372	0.504	0.01	15	257	615
