corpus	frozen_prefix	max_epochs	run	corpus_size	langmod_vocab_size	langmod_num_params	langmod_mean_prob	langmod_median_prob	langmod_geomean_prob	langmod_mean_pplx	langmod_median_pplx	langmod_geomean_pplx	langmod_vocab_used	langmod_vocab_used_frac	langmod_min_freq_vocab_used	langmod_min_sent_len	langmod_mean_sent_len	langmod_max_sent_len	langmod_num_reused_sents	langmod_num_reused_sents_frac	langmod_reused_sents_WMD	langmod_num_reused_3grams	langmod_num_reused_4grams	langmod_num_reused_5grams	langmod_num_unique_sents	langmod_num_unique_sents_frac	langmod_num_types_nouns	langmod_num_types_adjectives	langmod_num_types_verbs	langmod_num_types_adverbs	langmod_num_types_unigrams	langmod_num_types_bigrams	langmod_num_types_trigrams	langmod_num_epochs	langmod_training_time	langmod_total_time	capgen_vocab_size	capgen_num_params	capgen_mean_prob	capgen_median_prob	capgen_geomean_prob	capgen_mean_pplx	capgen_median_pplx	capgen_geomean_pplx	capgen_vocab_used	capgen_vocab_used_frac	capgen_min_freq_vocab_used	capgen_min_sent_len	capgen_mean_sent_len	capgen_max_sent_len	capgen_num_reused_sents	capgen_num_reused_sents_frac	capgen_reused_sents_WMD	capgen_num_reused_3grams	capgen_num_reused_4grams	capgen_num_reused_5grams	capgen_num_unique_sents	capgen_num_unique_sents_frac	capgen_num_types_nouns	capgen_num_types_adjectives	capgen_num_types_verbs	capgen_num_types_adverbs	capgen_num_types_unigrams	capgen_num_types_bigrams	capgen_num_types_trigrams	capgen_BLEU_1	capgen_BLEU_2	capgen_BLEU_3	capgen_BLEU_4	capgen_METEOR	capgen_ROUGE_L	capgen_CIDEr	capgen_SPICE	capgen_WMD	capgen_R@1	capgen_R@5	capgen_R@10	capgen_median_rank	capgen_R@1_frac	capgen_R@5_frac	capgen_R@10_frac	capgen_median_rank_frac	capgen_num_epochs	capgen_training_time	capgen_total_time
lm1b	True	11	1	30000	10022	5098886	1.51401392168e-09	4.56775287586e-27	4.88049482754e-28	319.230918249	198.834710144	211.232882385	4142	0.41329076032727996	5	5	16.837	20	0	0.0	None	2540	381	39	1000	1.0	2429	724	1120	208	4142	12750	14535	11	791	912	1577	2930769	5.16732862708e-06	1.08148812378e-13	5.9839878454e-15	23.1298979248	14.0159092855	15.2866379041	240	0.1521876981610653	10	5	9.08	18	0	0.0	None	7027	5689	4163	678	0.678	156	21	46	1	240	533	871	0.6035375076135804	0.4152009519811848	0.27503388082959346	0.17833819035833592	0.18166580189348114	0.431795204829	0.432508563149	0.123399914556	0.136069468622	154	387	500	10.5	0.154	0.387	0.5	0.0105	12	207	607
lm1b	True	11	2	30000	10078	5124814	1.93411915062e-09	9.25633840563e-27	1.01346660586e-27	295.103730624	185.571686845	196.983177626	4068	0.40365151815836475	5	5	16.208	20	0	0.0	None	2388	375	59	1000	1.0	2358	682	1138	216	4068	12345	13932	11	794	911	1558	2916139	5.55934144076e-06	1.18944638003e-13	6.93323500477e-15	22.4400294463	13.8091179392	15.112864262	213	0.1367137355584082	25	5	8.673	17	0	0.0	None	6630	5346	3890	591	0.591	142	18	40	0	213	448	735	0.6065746635431473	0.41906756982138016	0.2751845040765207	0.1783046092525988	0.18009603955566988	0.431389234707	0.41061748026	0.117895400374	0.128896234411	135	364	491	11.0	0.135	0.364	0.491	0.011	10	174	576
lm1b	True	11	3	30000	10063	5117869	1.64015948014e-09	3.69229696798e-27	3.42970805973e-28	327.046594367	203.456186318	217.730985774	4077	0.4051475703070655	5	5	16.933	20	0	0.0	None	2825	430	56	1000	1.0	2404	712	1095	194	4077	12491	14542	11	796	916	1587	2938469	5.46820801326e-06	1.06704540187e-13	5.44375492109e-15	23.6892517652	13.998762733	15.4138862024	252	0.15879017013232513	10	5	8.962	20	0	0.0	None	6888	5565	4066	697	0.697	167	22	44	1	252	556	900	0.6110918297031692	0.42384404377785606	0.28552482926288275	0.1887290505014044	0.1832116069621964	0.43978810803	0.443216761104	0.12376774583	0.135533745623	154	410	538	9.0	0.154	0.41	0.538	0.009	14	241	638
lm1b	True	11	4	30000	10103	5136389	1.89437237703e-09	2.46356998053e-27	2.42769766988e-28	351.80356817	207.70519441	224.451378027	4109	0.40671087795704247	5	5	17.052	20	0	0.0	None	2709	406	62	1000	1.0	2398	698	1149	201	4109	12706	14722	11	798	918	1589	2940009	5.29464481357e-06	9.93693539481e-14	6.07090923432e-15	23.354934566	13.8451669841	15.2823994624	253	0.1592196349905601	10	5	9.176	17	0	0.0	None	7082	5675	4022	710	0.71	168	22	46	1	253	570	949	0.6069102559260149	0.4142718728362283	0.2726913787688651	0.17676260571856073	0.1822099183174637	0.433377625527	0.415865767542	0.123466107988	0.131280760474	143	368	489	11.0	0.143	0.368	0.489	0.011	12	209	618
lm1b	True	11	5	30000	10098	5134074	2.78043082196e-09	8.1836672219e-27	8.97133899298e-28	315.066689929	182.64484524	200.069454036	4111	0.40711031887502475	5	5	16.806	20	0	0.0	None	2689	417	49	1000	1.0	2460	690	1107	201	4111	12538	14440	11	797	916	1563	2919989	6.66691800166e-06	1.27555046568e-13	8.50588872255e-15	22.7662185786	13.5154900887	14.8676867858	235	0.15035188739603328	10	5	9.287	18	0	0.0	None	7225	5808	4187	654	0.654	161	15	42	2	235	530	871	0.6074424866348025	0.4139164047766291	0.27279773962226966	0.17667282020082858	0.18212059220841897	0.431253187689	0.419685443269	0.120900146755	0.131263943561	145	368	500	10.5	0.145	0.368	0.5	0.0105	11	191	595
lm1b	True	12	1	30000	10022	5098886	1.32878889964e-09	3.03537434019e-27	3.81069908121e-28	319.405059149	203.349132399	216.022510697	4265	0.4255637597285971	5	5	17.001	20	0	0.0	None	2318	293	40	1000	1.0	2507	763	1140	215	4265	13096	14762	12	862	982	1577	2930769	5.01085514432e-06	1.1218645433e-13	6.34364866887e-15	23.0208056623	13.9130364458	15.2093279919	269	0.17057704502219403	5	5	8.979	17	0	0.0	None	6898	5502	3935	696	0.696	173	18	56	3	269	596	983	0.6109729087853584	0.41796367546091145	0.2787760936100573	0.18239392246353378	0.18581262860693706	0.436192967456	0.449928137652	0.126299591748	0.137227330669	144	384	500	10.5	0.144	0.384	0.5	0.0105	12	208	606
lm1b	True	12	2	30000	10078	5124814	1.13057001376e-09	5.54691846911e-27	5.15984170081e-28	317.791347132	197.412987553	209.922575172	4013	0.39819408612820006	5	5	16.858	20	0	0.0	None	2682	397	45	1000	1.0	2371	698	1066	182	4013	12526	14502	12	866	985	1558	2916139	5.31491748847e-06	1.39880627757e-13	7.87436929301e-15	22.9196402402	13.6059212015	14.950587073	241	0.15468549422336328	10	5	8.987	17	0	0.0	None	6931	5645	3946	681	0.681	157	21	48	2	241	517	898	0.609926584436681	0.4171795243199527	0.27463339274870785	0.17825708097820187	0.18293129612880699	0.435966862596	0.431419747347	0.122460959354	0.134352233303	144	367	481	11.0	0.144	0.367	0.481	0.011	12	207	610
lm1b	True	12	3	30000	10063	5117869	2.36729405825e-09	7.49962082442e-27	6.79238385835e-28	318.740045211	193.471344023	205.271352622	3961	0.39362019278545163	5	5	16.677	20	0	0.0	None	2661	372	51	1000	1.0	2334	679	1068	193	3961	12354	14320	12	866	985	1587	2938469	4.39949429245e-06	1.21733033929e-13	6.82270071387e-15	22.9064137731	13.8375633249	15.1540890389	232	0.1461877756773787	8	5	9.618	20	0	0.0	None	7566	6164	4452	719	0.719	162	17	39	0	232	532	920	0.6013930592588369	0.4128475319526815	0.27603133095109883	0.1828518276858993	0.18634764886792787	0.436700305331	0.450976991978	0.125207678563	0.136913708218	149	409	541	9.0	0.149	0.409	0.541	0.009	12	208	621
lm1b	True	12	4	30000	10103	5136389	3.02494964161e-09	4.36411925147e-27	4.05401133113e-28	328.93154266	201.736809444	214.10716208	4116	0.4074037414629318	5	5	16.487	20	0	0.0	None	2437	332	43	1000	1.0	2422	733	1085	203	4116	12518	14256	12	868	989	1589	2940009	5.2011462052e-06	1.16240266597e-13	6.30430306011e-15	23.2763587671	13.8275439748	15.2047292701	239	0.15040906230333542	9	5	9.127	20	0	0.0	None	7058	5672	4057	678	0.678	145	20	55	4	239	557	944	0.6079597188383699	0.4125413588600805	0.26866571007949686	0.17291136457076525	0.1837660385673904	0.437037232423	0.430083882879	0.124182809617	0.13526975386	134	358	497	11.0	0.134	0.358	0.497	0.011	12	208	610
lm1b	True	12	5	30000	10098	5134074	1.48116483234e-09	9.42074157529e-27	1.30558206542e-27	301.882439539	180.419000303	194.221760577	4202	0.41612200435729846	5	5	16.789	20	0	0.0	None	2659	414	49	1000	1.0	2527	712	1091	195	4202	12630	14446	12	869	991	1563	2919989	5.80938064635e-06	1.2831055543e-13	7.838389793e-15	22.9271785609	13.5719485546	14.9428882632	247	0.1580294305822137	17	5	9.572	20	0	0.0	None	7499	6100	4344	705	0.705	163	18	47	2	247	547	909	0.594895731304909	0.40336554395841134	0.26330606923758465	0.16905321977432386	0.18452008884556548	0.429010485012	0.422853416833	0.124274543058	0.134146663962	146	378	495	11.0	0.146	0.378	0.495	0.011	12	208	618
lm1b	True	13	1	30000	10022	5098886	2.10695240249e-09	2.86235956827e-27	3.18340861573e-28	333.20444415	203.803664745	217.27503943	3956	0.394731590500898	5	5	16.806	20	0	0.0	None	2909	478	69	1000	1.0	2306	646	1095	194	3956	12256	14369	13	931	1052	1577	2930769	4.4598221331e-06	1.14814856798e-13	6.58009440455e-15	23.2150761762	13.8965428831	15.1852177638	239	0.15155358275206088	9	5	8.966	20	0	0.0	None	6906	5583	3999	700	0.7	158	17	48	2	239	548	894	0.6006783167268388	0.4131448804002521	0.27447363073335956	0.1815810381748705	0.18160776095282152	0.434374869375	0.43122374197	0.123030577715	0.135161937733	146	397	509	10.0	0.146	0.397	0.509	0.01	13	224	622
