corpus	frozen_prefix	max_epochs	run	corpus_size	langmod_vocab_size	langmod_num_params	langmod_mean_prob	langmod_median_prob	langmod_geomean_prob	langmod_mean_pplx	langmod_median_pplx	langmod_geomean_pplx	langmod_vocab_used	langmod_vocab_used_frac	langmod_min_freq_vocab_used	langmod_min_sent_len	langmod_mean_sent_len	langmod_max_sent_len	langmod_num_reused_sents	langmod_num_reused_sents_frac	langmod_reused_sents_WMD	langmod_num_reused_3grams	langmod_num_reused_4grams	langmod_num_reused_5grams	langmod_num_unique_sents	langmod_num_unique_sents_frac	langmod_num_types_nouns	langmod_num_types_adjectives	langmod_num_types_verbs	langmod_num_types_adverbs	langmod_num_types_unigrams	langmod_num_types_bigrams	langmod_num_types_trigrams	langmod_num_epochs	langmod_training_time	langmod_total_time	capgen_vocab_size	capgen_num_params	capgen_mean_prob	capgen_median_prob	capgen_geomean_prob	capgen_mean_pplx	capgen_median_pplx	capgen_geomean_pplx	capgen_vocab_used	capgen_vocab_used_frac	capgen_min_freq_vocab_used	capgen_min_sent_len	capgen_mean_sent_len	capgen_max_sent_len	capgen_num_reused_sents	capgen_num_reused_sents_frac	capgen_reused_sents_WMD	capgen_num_reused_3grams	capgen_num_reused_4grams	capgen_num_reused_5grams	capgen_num_unique_sents	capgen_num_unique_sents_frac	capgen_num_types_nouns	capgen_num_types_adjectives	capgen_num_types_verbs	capgen_num_types_adverbs	capgen_num_types_unigrams	capgen_num_types_bigrams	capgen_num_types_trigrams	capgen_BLEU_1	capgen_BLEU_2	capgen_BLEU_3	capgen_BLEU_4	capgen_METEOR	capgen_ROUGE_L	capgen_CIDEr	capgen_SPICE	capgen_WMD	capgen_R@1	capgen_R@5	capgen_R@10	capgen_median_rank	capgen_R@1_frac	capgen_R@5_frac	capgen_R@10_frac	capgen_median_rank_frac	capgen_num_epochs	capgen_training_time	capgen_total_time
mscoco	True	0	1	30000	2590	2644320	3.12850192304e-14	1.37499968382e-38	2.46151456329e-41	2640.46332947	2641.62012315	2639.36168034	2586	0.9984555984555985	5	5	19.956	20	0	0.0	None	0	0	0	1000	1.0	1925	1001	1456	230	2586	18937	17956	0	15	68	1623	4906779	6.04400877112e-07	1.4465665179e-19	5.83983873528e-21	87.2098009885	44.6701509161	47.6715084559	177	0.10905730129390019	13	5	6.286	12	0	0.0	None	3347	1837	783	716	0.716	131	19	30	2	177	577	1040	0.5816143316920533	0.40209019732225804	0.2537118928834195	0.1504751467015856	0.15418057424685336	0.436569454943	0.324589408979	0.103825273331	0.112657249678	148	391	535	9.0	0.148	0.391	0.535	0.009	17	818	1189
mscoco	True	0	2	30000	2577	2635441	3.48759156806e-14	1.93244995776e-38	3.4291072288e-41	2564.17593047	2561.54037103	2563.14460272	2574	0.9988358556461001	5	12	19.976	20	0	0.0	None	0	0	0	1000	1.0	1901	1008	1451	227	2574	18951	17976	0	15	33	1623	4906779	9.94615099559e-07	1.06039439895e-19	5.26023013186e-21	91.628536399	45.6541934424	48.0808274358	169	0.10412815773259396	29	5	6.386	20	0	0.0	None	3432	2003	942	721	0.721	130	18	37	0	169	590	1053	0.5884566707828972	0.40540877552776683	0.2538071388803397	0.14860790089157153	0.151654057718248	0.432834757283	0.311514079633	0.102617365318	0.111637920057	155	384	494	11.0	0.155	0.384	0.494	0.011	18	866	1245
mscoco	True	0	3	30000	2573	2632709	3.45978585887e-14	1.78112267594e-38	3.31176679201e-41	2577.35956584	2575.38596582	2576.37374789	2571	0.9992226972405752	5	6	19.947	20	0	0.0	None	0	0	0	1000	1.0	1897	1006	1445	211	2571	18920	17947	0	14	32	1629	4913943	8.52507378205e-07	1.43941433344e-19	6.60708478158e-21	92.391818037	44.3744688923	47.1891762616	194	0.1190914671577655	13	5	6.907	12	0	0.0	None	3785	2109	1003	810	0.81	149	20	46	3	194	717	1280	0.6048172432817889	0.4081474365362527	0.25698552444509065	0.15277873578104573	0.15774646373840587	0.434163969713	0.331092619461	0.109677551519	0.116896366369	171	402	527	9.0	0.171	0.402	0.527	0.009	19	913	1288
mscoco	True	0	4	30000	2545	2613585	3.80898532136e-14	1.85771067814e-38	3.52982417782e-41	2561.97601069	2561.15319662	2560.95148199	2543	0.9992141453831042	5	10	19.966	20	0	0.0	None	0	0	0	1000	1.0	1894	1024	1404	231	2543	18942	17966	0	15	32	1615	4897227	1.0053254598e-06	1.41120344721e-19	5.26537891343e-21	99.9759318944	45.6774175636	48.1514492013	181	0.11207430340557276	11	5	6.559	15	0	0.0	None	3669	2167	1086	772	0.772	141	19	41	1	181	652	1152	0.5931970544892021	0.41178441159480456	0.2639514963233572	0.1607637022377547	0.15674884429720554	0.436226401433	0.337411790639	0.107702316807	0.116575638907	152	365	502	10.0	0.152	0.365	0.502	0.01	20	961	1340
mscoco	True	0	5	30000	2601	2651833	3.27706963999e-14	1.52147211129e-38	2.76407710737e-41	2615.95956481	2616.33567135	2615.0203053	2596	0.998077662437524	5	5	19.929	20	0	0.0	None	0	0	0	1000	1.0	1923	997	1438	248	2596	18890	17929	0	15	33	1626	4910361	5.02717543811e-07	1.18369814315e-19	5.05691108192e-21	95.6309661152	45.1206428208	48.3087768968	161	0.0990159901599016	29	5	6.616	18	0	0.0	None	3587	2073	923	738	0.738	117	22	40	0	161	578	1086	0.596943462964571	0.4083515117576693	0.25375623559656074	0.14746249210042994	0.15603876146057627	0.43311583129	0.325815575434	0.106948475263	0.117630924129	151	390	506	10.0	0.151	0.39	0.506	0.01	18	866	1246
mscoco	True	1	1	30000	2590	2644320	6.6302711682e-10	8.08669235514e-20	2.26533627014e-21	89.7567262234	52.5959455607	56.0011477384	1268	0.48957528957528956	5	5	10.471	20	0	0.0	None	3331	1213	358	1000	1.0	879	223	282	29	1268	5213	7174	1	60	71	1623	4906779	4.58192557465e-06	5.97858930269e-15	2.94155070447e-16	32.3418196882	17.9736808337	19.5240073736	229	0.14109673444239063	17	5	9.16	20	0	0.0	None	7032	5541	3903	768	0.768	160	17	40	2	229	543	999	0.629876394939802	0.4350589132275179	0.28941751531965576	0.18850799064704357	0.18943041513702857	0.449856821086	0.459687032442	0.127114548605	0.137499586963	163	423	523	9.0	0.163	0.423	0.523	0.009	11	536	933
mscoco	True	1	2	30000	2577	2635441	1.02567343967e-09	1.01900886983e-19	3.6940610392e-21	83.7451961075	49.6785781558	53.6675116799	1328	0.5153279006596818	5	5	10.476	20	0	0.0	None	3255	1186	362	1000	1.0	927	221	313	35	1328	5320	7235	1	59	69	1623	4906779	4.41429935822e-06	5.19357363983e-15	2.77347027083e-16	31.9795844029	18.2849084053	19.6742687595	225	0.13863216266173753	17	5	9.223	19	0	0.0	None	7103	5656	4019	783	0.783	155	15	41	2	225	522	943	0.6360730592013555	0.44055168025296354	0.29298146404930514	0.1916110179691527	0.18941167173519127	0.451073216646	0.46579579642	0.126419681727	0.143473452986	170	370	507	10.0	0.17	0.37	0.507	0.01	10	490	900
mscoco	True	1	3	30000	2573	2632709	9.05204928072e-10	1.35075579006e-19	3.94001847607e-21	86.8253107337	49.8760881987	53.7655690366	1275	0.49553050913330743	5	5	10.67	20	0	0.0	None	3369	1184	356	1000	1.0	903	205	284	41	1275	5365	7436	1	55	66	1629	4913943	4.30000802199e-06	5.48278176956e-15	2.74865551082e-16	33.8186461106	18.1087270559	19.677541021	234	0.143646408839779	17	5	9.254	20	0	0.0	None	7079	5503	3845	800	0.8	163	13	45	1	234	549	1030	0.6277119819719303	0.4316781478453626	0.284380288585534	0.18042321772675363	0.18670870320809896	0.44754691973	0.4549953615	0.125601465806	0.13765961321	175	418	539	9.0	0.175	0.418	0.539	0.009	11	534	934
mscoco	True	1	4	30000	2545	2613585	1.31250032821e-09	7.38150374248e-20	2.40081875059e-21	85.7707076455	51.6041668674	55.2445744468	1240	0.48722986247544203	5	5	10.255	20	0	0.0	None	3362	1209	376	1000	1.0	892	199	252	28	1240	5028	7005	1	56	67	1615	4897227	5.12590944396e-06	5.30705865121e-15	2.63645403939e-16	33.5303851653	18.0265927822	19.7171303849	236	0.14613003095975233	19	5	9.123	20	0	0.0	None	6987	5499	3867	815	0.815	160	15	45	2	236	556	1010	0.6365689667756602	0.440166188113451	0.29263261762499	0.18968988461430897	0.18609404773086158	0.448955614531	0.461512822807	0.125576152158	0.135659918983	176	392	542	9.0	0.176	0.392	0.542	0.009	11	535	939
mscoco	True	1	5	30000	2601	2651833	4.99987304317e-10	6.87981463405e-20	2.19726860857e-21	87.748514528	52.8244748953	56.1564103331	1279	0.4917339484813533	5	5	10.639	20	0	0.0	None	3419	1257	380	1000	1.0	895	224	277	35	1279	5262	7272	1	58	70	1626	4910361	4.45631377236e-06	4.76899817194e-15	2.73513433989e-16	33.3358726691	17.9703127565	19.630204698	232	0.14268142681426815	15	5	9.034	20	0	0.0	None	6890	5390	3756	799	0.799	158	15	43	2	232	555	1040	0.6354810440677122	0.44431432570025087	0.29565328256019785	0.1930239390192537	0.18928723042284323	0.45170597705	0.475894900563	0.128629548602	0.140359199448	161	394	523	9.0	0.161	0.394	0.523	0.009	11	533	941
mscoco	True	2	1	30000	2590	2644320	7.34236087754e-10	1.47581165494e-18	5.7784671338e-20	73.3259198336	40.5538898995	43.5326720091	1311	0.5061776061776062	5	5	10.566	20	0	0.0	None	4188	1786	651	1000	1.0	912	228	270	25	1311	4963	7025	2	104	114	1623	4906779	5.65883015657e-06	2.78401342509e-14	1.24178484352e-15	27.9538028686	15.9725380162	17.3778937208	248	0.15280345040049292	12	5	9.103	20	0	0.0	None	7019	5580	3971	765	0.765	171	14	51	2	248	566	1031	0.6322621288770532	0.4397812272471578	0.293982156430324	0.1900979930477204	0.19124792913560154	0.45240220167	0.4819238404	0.127293544857	0.139259803246	165	405	544	9.0	0.165	0.405	0.544	0.009	10	487	883
mscoco	True	2	2	30000	2577	2635441	8.58413423709e-10	1.68898317541e-18	5.93787902501e-20	71.9516862432	40.170469575	43.533527888	1279	0.49631354287931706	5	5	10.797	20	0	0.0	None	4376	1931	758	1000	1.0	879	214	307	36	1279	5018	7132	2	100	112	1623	4906779	5.12565855436e-06	2.63768870359e-14	1.22318357239e-15	28.4387044318	16.0286473743	17.4614020133	253	0.15588416512630932	18	5	9.238	17	0	0.0	None	7148	5665	4034	784	0.784	173	19	47	1	253	594	1069	0.6382254780680535	0.44447332500733194	0.2961013507237234	0.19356038860176897	0.19400939125315292	0.452504663779	0.477159961408	0.130150029862	0.140725196175	166	380	508	10.0	0.166	0.38	0.508	0.01	11	536	941
