corpus	frozen_prefix	max_epochs	run	corpus_size	langmod_vocab_size	langmod_num_params	langmod_mean_prob	langmod_median_prob	langmod_geomean_prob	langmod_mean_pplx	langmod_median_pplx	langmod_geomean_pplx	langmod_vocab_used	langmod_vocab_used_frac	langmod_min_freq_vocab_used	langmod_min_sent_len	langmod_mean_sent_len	langmod_max_sent_len	langmod_num_reused_sents	langmod_num_reused_sents_frac	langmod_reused_sents_WMD	langmod_num_reused_3grams	langmod_num_reused_4grams	langmod_num_reused_5grams	langmod_num_unique_sents	langmod_num_unique_sents_frac	langmod_num_types_nouns	langmod_num_types_adjectives	langmod_num_types_verbs	langmod_num_types_adverbs	langmod_num_types_unigrams	langmod_num_types_bigrams	langmod_num_types_trigrams	langmod_num_epochs	langmod_training_time	langmod_total_time	capgen_vocab_size	capgen_num_params	capgen_mean_prob	capgen_median_prob	capgen_geomean_prob	capgen_mean_pplx	capgen_median_pplx	capgen_geomean_pplx	capgen_vocab_used	capgen_vocab_used_frac	capgen_min_freq_vocab_used	capgen_min_sent_len	capgen_mean_sent_len	capgen_max_sent_len	capgen_num_reused_sents	capgen_num_reused_sents_frac	capgen_reused_sents_WMD	capgen_num_reused_3grams	capgen_num_reused_4grams	capgen_num_reused_5grams	capgen_num_unique_sents	capgen_num_unique_sents_frac	capgen_num_types_nouns	capgen_num_types_adjectives	capgen_num_types_verbs	capgen_num_types_adverbs	capgen_num_types_unigrams	capgen_num_types_bigrams	capgen_num_types_trigrams	capgen_BLEU_1	capgen_BLEU_2	capgen_BLEU_3	capgen_BLEU_4	capgen_METEOR	capgen_ROUGE_L	capgen_CIDEr	capgen_SPICE	capgen_WMD	capgen_R@1	capgen_R@5	capgen_R@10	capgen_median_rank	capgen_R@1_frac	capgen_R@5_frac	capgen_R@10_frac	capgen_median_rank_frac	capgen_num_epochs	capgen_training_time	capgen_total_time
mscoco	True	8	1	30000	2590	2644320	2.35575573051e-09	8.21784098887e-18	3.13140054358e-19	75.6661747382	35.0690868583	38.0022880793	1289	0.4976833976833977	5	5	10.084	20	0	0.0	None	4912	2472	1070	1000	1.0	862	202	278	37	1289	4619	6478	8	373	383	1623	4906779	8.32492439133e-06	8.82366678857e-14	4.45133724138e-15	25.4270840576	14.3589578491	15.6287871449	273	0.16820702402957485	20	5	9.521	20	0	0.0	None	7445	6030	4257	781	0.781	183	18	54	1	273	672	1151	0.6111519344334778	0.42247026452727576	0.28257603757105015	0.18733228929523352	0.19076091556333227	0.441859349444	0.474130872567	0.130502957672	0.142425500367	169	402	540	9.0	0.169	0.402	0.54	0.009	11	545	975
mscoco	True	8	2	30000	2577	2635441	2.62362330447e-09	1.07164792013e-17	3.87232684236e-19	72.8183966697	34.0002394287	37.346075287	1240	0.4811796662786185	5	6	10.21	20	0	0.0	None	5306	2768	1250	1000	1.0	806	216	255	25	1240	4362	6342	8	362	373	1623	4906779	7.78679441163e-06	8.15240932447e-14	4.12974869147e-15	25.8157901134	14.4008645209	15.8008426723	278	0.17128773875539124	11	5	9.672	20	0	0.0	None	7600	6134	4332	797	0.797	190	18	53	1	278	682	1177	0.6120232864839474	0.42010002119207174	0.27919923490831294	0.18150211361458587	0.19044108626538211	0.444412963729	0.461080631478	0.128352899021	0.138727909244	156	383	511	10.0	0.156	0.383	0.511	0.01	11	546	990
mscoco	True	8	3	30000	2573	2632709	1.58570329166e-09	1.16011609082e-17	3.98713687506e-19	78.2826320116	34.0662865516	37.6013014448	1289	0.500971628449281	5	5	10.441	20	0	0.0	None	5176	2563	1121	1000	1.0	870	209	260	29	1289	4624	6689	8	343	354	1629	4913943	8.36984930845e-06	8.31403467031e-14	4.68673570716e-15	25.4123844675	14.3309709529	15.6234096904	273	0.16758747697974216	12	5	9.466	20	0	0.0	None	7396	5964	4348	791	0.791	184	18	59	0	273	657	1130	0.6188780029403372	0.42585345506924116	0.28142460932256547	0.1849906501637574	0.19027609115071292	0.446231708527	0.459718213014	0.126226635604	0.135753461667	181	402	530	9.0	0.181	0.402	0.53	0.009	11	550	980
mscoco	True	8	4	30000	2545	2613585	2.55219420082e-09	6.61893415178e-18	2.86540892439e-19	79.7630112584	33.8940805085	38.2765405251	1272	0.499803536345776	5	5	10.16	20	0	0.0	None	5116	2558	1120	1000	1.0	829	213	295	25	1272	4532	6531	8	354	365	1615	4897227	7.61231515588e-06	7.98304960582e-14	4.21412354776e-15	24.9352255328	14.4327369917	15.8101785282	271	0.16780185758513932	11	5	10.075	20	0	0.0	None	7984	6531	4481	805	0.805	183	17	55	1	271	636	1115	0.594243176178601	0.40870882391657093	0.2678553984646706	0.17157000444633744	0.18950950931175378	0.438698691381	0.453411263261	0.129843740454	0.13649594285	165	390	536	9.0	0.165	0.39	0.536	0.009	10	501	949
mscoco	True	8	5	30000	2601	2651833	2.10124410979e-09	1.20577030277e-17	4.66676553946e-19	74.948446963	33.3655975183	37.1640768049	1329	0.510957324106113	5	6	10.587	20	0	0.0	None	5229	2563	1117	1000	1.0	883	214	289	37	1329	4808	6893	8	372	383	1626	4910361	8.42242441723e-06	7.09144232484e-14	4.0918792901e-15	26.8658158073	14.3170224589	15.7746481329	280	0.17220172201722017	12	5	9.5	20	0	0.0	None	7407	5954	4218	820	0.82	187	20	58	1	280	685	1207	0.6157810825479574	0.43179542565280243	0.291022099199186	0.1931192248963868	0.19130383595611242	0.445204528984	0.476694172078	0.131875451101	0.13917502322	161	399	511	10.0	0.161	0.399	0.511	0.01	12	598	1039
mscoco	True	9	1	30000	2590	2644320	2.21586860103e-09	1.05581139712e-17	3.98242712805e-19	77.775827425	33.9795333869	37.4166854243	1307	0.5046332046332046	5	6	10.223	20	0	0.0	None	4977	2442	1050	1000	1.0	869	208	266	31	1307	4659	6634	9	423	434	1623	4906779	1.18186366825e-05	8.38151900702e-14	4.4803265516e-15	25.6426752583	14.3952877354	15.6619420802	261	0.16081330868761554	19	5	9.383	20	0	0.0	None	7325	5940	4188	758	0.758	170	17	59	1	261	612	1073	0.6194180965575381	0.43202500577976877	0.2918184902438683	0.19428920218928894	0.19131696634792236	0.447097966869	0.478343678656	0.128094153825	0.143189781649	164	412	521	9.0	0.164	0.412	0.521	0.009	11	550	978
mscoco	True	9	2	30000	2577	2635441	3.08571202882e-09	1.25417586126e-17	4.57372699171e-19	74.7208291796	32.9864480202	36.7202770549	1280	0.49670159099728367	5	6	10.409	20	0	0.0	None	5261	2714	1246	1000	1.0	857	217	261	29	1280	4582	6608	9	409	420	1623	4906779	9.69909388938e-06	9.10838228432e-14	4.20571915522e-15	25.2581371767	14.3397619681	15.7835923431	255	0.15711645101663585	25	5	9.712	20	0	0.0	None	7627	6144	4413	768	0.768	173	18	49	2	255	625	1120	0.6137767710048792	0.42534741754592525	0.2855989519853229	0.18655668967176373	0.19411399003127938	0.447073695685	0.476879661767	0.131201292179	0.141457630535	169	377	496	11.0	0.169	0.377	0.496	0.011	10	502	946
mscoco	True	9	3	30000	2573	2632709	1.6351320466e-09	1.32060468697e-17	4.29078466144e-19	72.9588859512	33.5808711177	37.3786752069	1329	0.516517683637777	5	6	10.497	20	0	0.0	None	5131	2524	1105	1000	1.0	898	225	266	34	1329	4771	6860	9	385	396	1629	4913943	9.38571920484e-06	8.08952652626e-14	4.13659005985e-15	26.3618079288	14.3960606572	15.7652797264	287	0.1761817065684469	18	5	9.525	18	0	0.0	None	7447	5971	4261	825	0.825	195	23	56	1	287	714	1240	0.6201574803148955	0.4292609618051771	0.28646341996112806	0.1885747451529083	0.19338524556467016	0.448547778508	0.482058724647	0.130161669065	0.143990365394	167	415	548	8.0	0.167	0.415	0.548	0.008	11	550	978
mscoco	True	9	4	30000	2545	2613585	2.91637979663e-09	9.07424316058e-18	3.38137437344e-19	78.8767514225	33.5896207906	37.9810243933	1234	0.4848722986247544	5	7	10.346	20	0	0.0	None	5328	2720	1194	1000	1.0	842	179	239	28	1234	4496	6514	9	395	406	1615	4897227	1.18691627411e-05	8.34311665956e-14	4.0473307166e-15	25.922727528	14.3161068026	15.7936267234	275	0.17027863777089783	19	5	9.496	20	0	0.0	None	7421	6036	4250	792	0.792	181	19	58	2	275	640	1127	0.6131002527379303	0.4207336711387531	0.2784263831666114	0.17957975292434245	0.18999675893476375	0.441018136894	0.46152645309	0.129278051568	0.140168708393	166	392	529	9.0	0.166	0.392	0.529	0.009	11	548	988
mscoco	True	9	5	30000	2601	2651833	2.3893632633e-09	9.94353359006e-18	3.30239797413e-19	75.5356968866	34.4731295887	37.8633545062	1264	0.4859669357939254	5	6	10.347	20	0	0.0	None	5307	2677	1206	1000	1.0	836	189	273	39	1264	4568	6571	9	418	429	1626	4910361	6.8292156361e-06	8.28270190456e-14	4.40887485989e-15	25.853778204	14.3064241158	15.7090062154	277	0.17035670356703567	11	5	9.482	20	0	0.0	None	7415	5995	4334	772	0.772	188	19	55	2	277	655	1151	0.6258173381142559	0.431709230515066	0.2872989053065539	0.1876606197625884	0.19189702253367444	0.448925956645	0.474665929332	0.128594835895	0.139093731958	165	408	524	9.0	0.165	0.408	0.524	0.009	11	553	992
