user_id	image	annotation_time	acc_human	flu_human	acc_init	flu_init	acc_pre	flu_pre	acc_par	flu_par	acc_merge	flu_merge
5	COCO_val2014_000000106046.jpg	2019/01/09-21:00:48	1	0	0	1	0	1	0	1	0	1
5	COCO_val2014_000000070426.jpg	2019/01/09-21:34:51	1	0	0	0	1	1	1	1	0	0
5	COCO_val2014_000000462982.jpg	2019/01/10-13:56:20	1	0	1	1	1	1	1	1	1	1
5	COCO_val2014_000000414071.jpg	2019/01/10-13:57:01	1	0	0	1	1	1	0	1	0	0
5	COCO_val2014_000000018480.jpg	2019/01/10-13:58:07	1	1	1	1	0	1	1	1	1	1
5	COCO_val2014_000000281598.jpg	2019/01/10-13:58:32	0	1	1	1	0	1	0	1	0	1
5	COCO_val2014_000000139468.jpg	2019/01/10-13:59:19	1	1	0	1	1	0	1	0	1	1
5	COCO_val2014_000000134503.jpg	2019/01/10-13:59:45	1	1	0	1	0	0	0	0	0	1
5	COCO_val2014_000000477924.jpg	2019/01/10-14:00:14	1	1	0	1	0	1	1	1	0	1
5	COCO_val2014_000000028156.jpg	2019/01/10-14:00:47	1	0	0	1	0	1	1	1	0	1
5	COCO_val2014_000000571804.jpg	2019/01/10-14:01:12	1	0	0	0	0	1	0	0	0	1
5	COCO_val2014_000000572055.jpg	2019/01/10-14:02:15	1	1	1	0	1	0	1	0	1	0
5	COCO_val2014_000000088445.jpg	2019/01/10-14:03:11	1	0	1	0	0	1	0	0	0	1
5	COCO_val2014_000000358254.jpg	2019/01/10-14:03:51	1	0	0	0	0	0	1	1	0	1
5	COCO_val2014_000000429174.jpg	2019/01/10-14:04:58	1	1	0	1	0	1	0	1	0	1
5	COCO_val2014_000000391915.jpg	2019/01/10-14:05:24	1	0	0	1	0	1	0	1	0	1
5	COCO_val2014_000000551974.jpg	2019/01/10-14:05:46	1	1	0	1	0	1	1	1	1	1
5	COCO_val2014_000000567944.jpg	2019/01/10-14:06:03	1	0	0	1	0	1	0	1	0	1
5	COCO_val2014_000000401862.jpg	2019/01/10-14:06:28	1	1	0	1	0	0	0	1	0	1
5	COCO_val2014_000000069946.jpg	2019/01/10-14:07:03	1	0	1	0	1	0	1	0	1	0
5	COCO_val2014_000000126192.jpg	2019/01/10-20:44:21	1	0	0	1	0	1	1	0	0	1
5	COCO_val2014_000000123321.jpg	2019/01/10-20:44:50	0	1	1	1	1	1	0	1	0	1
5	COCO_val2014_000000398005.jpg	2019/01/10-20:46:12	1	0	1	0	1	0	1	1	0	1
5	COCO_val2014_000000305821.jpg	2019/01/10-20:46:47	1	1	0	1	0	0	0	0	0	1
5	COCO_val2014_000000359465.jpg	2019/01/10-20:47:22	1	1	0	0	0	0	0	0	0	0
5	COCO_val2014_000000059732.jpg	2019/01/10-20:48:31	1	0	0	1	0	0	1	0	1	0
5	COCO_val2014_000000194188.jpg	2019/01/10-20:49:03	1	1	1	1	0	1	0	1	0	0
5	COCO_val2014_000000046099.jpg	2019/01/10-20:49:57	1	1	1	0	1	0	1	1	1	0
5	COCO_val2014_000000216363.jpg	2019/01/10-20:51:07	1	1	0	1	0	1	0	1	0	1
5	COCO_val2014_000000013466.jpg	2019/01/10-20:51:40	1	0	0	1	0	1	0	1	0	1
5	COCO_val2014_000000235791.jpg	2019/01/10-20:52:37	1	0	0	0	0	1	0	0	0	0
5	COCO_val2014_000000072368.jpg	2019/01/10-20:52:57	1	1	0	1	0	1	0	1	0	1
5	COCO_val2014_000000581332.jpg	2019/01/10-20:53:54	1	1	0	1	0	0	0	0	0	0
5	COCO_val2014_000000009217.jpg	2019/01/11-10:51:00	1	1	1	1	1	0	1	0	0	0
5	COCO_val2014_000000476065.jpg	2019/01/11-10:51:27	1	0	0	1	0	1	0	1	0	1
5	COCO_val2014_000000197716.jpg	2019/01/11-10:51:53	1	1	1	1	0	1	1	1	0	1
5	COCO_val2014_000000246650.jpg	2019/01/11-10:52:22	1	0	0	0	0	1	0	0	0	1
5	COCO_val2014_000000346865.jpg	2019/01/11-10:52:55	1	1	1	1	0	0	1	1	1	0
5	COCO_val2014_000000407532.jpg	2019/01/11-10:53:23	0	1	1	1	0	1	0	0	1	1
5	COCO_val2014_000000415880.jpg	2019/01/11-10:53:51	1	1	0	1	0	1	0	1	0	1
5	COCO_val2014_000000498583.jpg	2019/01/11-10:54:13	1	0	1	0	1	0	0	1	1	1
5	COCO_val2014_000000086202.jpg	2019/01/11-10:54:44	0	1	0	0	0	0	0	1	0	1
5	COCO_val2014_000000526737.jpg	2019/01/11-10:55:12	0	0	1	1	1	1	1	1	1	1
5	COCO_val2014_000000184400.jpg	2019/01/11-10:55:38	0	0	1	0	0	0	1	0	0	0
5	COCO_val2014_000000207913.jpg	2019/01/11-10:56:05	1	0	0	1	0	1	0	1	0	1
5	COCO_val2014_000000188865.jpg	2019/01/11-10:56:28	1	1	0	1	0	1	0	1	0	1
5	COCO_val2014_000000305695.jpg	2019/01/11-10:56:52	1	0	0	1	0	1	0	1	1	1
5	COCO_val2014_000000422221.jpg	2019/01/11-10:57:12	1	1	0	1	0	1	0	0	0	1
5	COCO_val2014_000000202653.jpg	2019/01/11-10:57:38	1	1	0	0	0	0	0	0	1	0
5	COCO_val2014_000000002225.jpg	2019/01/11-10:58:01	1	1	0	1	1	1	0	1	0	1
5	COCO_val2014_000000307538.jpg	2019/01/12-09:24:47	1	1	0	1	0	0	0	0	0	1
5	COCO_val2014_000000462755.jpg	2019/01/12-09:26:26	0	1	0	1	0	1	0	1	1	1
5	COCO_val2014_000000366096.jpg	2019/01/12-09:26:50	0	1	1	1	1	1	0	1	0	1
5	COCO_val2014_000000205577.jpg	2019/01/12-09:27:18	1	0	0	0	1	1	0	1	1	1
5	COCO_val2014_000000540806.jpg	2019/01/12-09:27:40	1	1	0	1	0	1	0	1	0	1
5	COCO_val2014_000000082921.jpg	2019/01/12-09:28:13	1	1	0	0	0	0	0	0	0	0
5	COCO_val2014_000000042956.jpg	2019/01/12-09:29:14	1	1	0	1	0	1	0	1	0	1
5	COCO_val2014_000000553221.jpg	2019/01/12-09:29:43	1	1	1	1	0	1	0	1	0	1
5	COCO_val2014_000000135281.jpg	2019/01/12-09:30:00	1	1	0	1	0	1	0	1	0	1
5	COCO_val2014_000000170250.jpg	2019/01/12-09:30:26	1	1	1	0	1	0	1	0	1	1
5	COCO_val2014_000000410880.jpg	2019/01/12-09:31:04	1	0	0	1	0	1	0	1	0	1
5	COCO_val2014_000000481446.jpg	2019/01/12-09:31:22	1	1	0	1	0	1	0	0	0	1
5	COCO_val2014_000000270505.jpg	2019/01/12-09:31:46	1	1	1	1	1	1	0	1	0	1
5	COCO_val2014_000000355453.jpg	2019/01/12-09:32:06	1	1	0	1	0	1	0	1	0	1
5	COCO_val2014_000000467540.jpg	2019/01/12-09:32:33	1	1	1	1	1	1	0	0	1	0
5	COCO_val2014_000000248051.jpg	2019/01/12-09:32:52	1	0	0	1	0	0	0	1	0	1
5	COCO_val2014_000000085747.jpg	2019/01/12-09:33:14	1	0	0	1	0	1	0	1	0	1
5	COCO_val2014_000000319350.jpg	2019/01/12-09:33:39	1	0	0	1	0	1	0	1	0	1
5	COCO_val2014_000000552564.jpg	2019/01/12-09:34:04	1	1	0	1	0	1	0	0	0	1
5	COCO_val2014_000000406744.jpg	2019/01/12-09:34:39	0	1	0	1	0	1	0	0	0	1
5	COCO_val2014_000000091416.jpg	2019/01/12-09:35:08	1	1	1	1	1	0	1	1	1	1
5	COCO_val2014_000000402588.jpg	2019/01/12-09:35:33	1	1	0	1	0	1	1	1	0	1
5	COCO_val2014_000000281056.jpg	2019/01/12-09:35:49	1	1	0	1	0	1	0	1	0	1
5	COCO_val2014_000000127517.jpg	2019/01/12-09:36:06	1	1	1	1	1	1	0	1	0	1
5	COCO_val2014_000000425100.jpg	2019/01/12-09:36:26	0	1	0	1	1	0	0	1	0	1
5	COCO_val2014_000000503137.jpg	2019/01/12-09:36:55	0	1	1	0	1	1	0	1	1	1
5	COCO_val2014_000000422326.jpg	2019/01/12-09:37:36	1	1	1	0	1	1	1	0	0	1
5	COCO_val2014_000000237350.jpg	2019/01/12-09:37:55	1	1	0	1	0	1	0	1	0	1
5	COCO_val2014_000000499755.jpg	2019/01/12-09:38:16	0	0	1	1	0	1	0	1	1	1
5	COCO_val2014_000000208871.jpg	2019/01/12-09:38:36	1	1	0	1	0	1	0	0	0	1
5	COCO_val2014_000000405440.jpg	2019/01/12-09:39:03	1	0	0	1	0	1	0	1	0	1
5	COCO_val2014_000000099053.jpg	2019/01/12-09:39:24	1	1	1	1	1	1	1	1	0	0
5	COCO_val2014_000000021864.jpg	2019/01/12-09:39:50	1	0	0	1	0	1	0	0	0	0
5	COCO_val2014_000000570755.jpg	2019/01/12-09:40:12	1	0	0	1	0	1	0	1	0	1
5	COCO_val2014_000000403122.jpg	2019/01/12-09:40:34	1	0	0	1	0	0	0	1	0	1
5	COCO_val2014_000000039009.jpg	2019/01/12-09:40:55	1	1	0	1	0	1	0	1	0	1
5	COCO_val2014_000000074759.jpg	2019/01/12-09:41:17	1	1	0	1	0	1	0	1	0	1
5	COCO_val2014_000000308235.jpg	2019/01/12-09:41:39	1	0	0	1	0	1	0	1	1	1
5	COCO_val2014_000000361551.jpg	2019/01/12-09:41:56	1	0	0	1	0	1	0	1	0	1
5	COCO_val2014_000000291962.jpg	2019/01/12-09:42:13	1	1	0	1	0	1	0	1	0	1
5	COCO_val2014_000000074460.jpg	2019/01/12-09:42:35	1	1	1	0	0	1	1	0	0	1
5	COCO_val2014_000000161962.jpg	2019/01/12-09:46:57	1	1	0	0	0	1	0	1	0	1
5	COCO_val2014_000000140963.jpg	2019/01/12-09:47:18	1	0	0	1	0	1	0	1	0	1
