architecture	dataset	run	vocab_size	num_params	mean_prob	median_prob	geomean_prob	mean_pplx	median_pplx	geomean_pplx	vocab_used	vocab_used_frac	min_freq_vocab_used	min_sent_len	mean_sent_len	max_sent_len	num_reused_sents	num_reused_sents_frac	reused_sents_WMD	num_reused_3grams	num_reused_4grams	num_reused_5grams	num_unique_sents	num_unique_sents_frac	num_types_nouns	num_types_adjectives	num_types_verbs	num_types_adverbs	num_types_unigrams	num_types_bigrams	num_types_trigrams	BLEU_1	BLEU_2	BLEU_3	BLEU_4	METEOR	ROUGE_L	CIDEr	SPICE	WMD	R@1	R@5	R@10	median_rank	R@1_frac	R@5_frac	R@10_frac	median_rank_frac	num_epochs	training_time	total_time
ceiling	flickr8k	1	2532	0	-1	-1	-1	-1	-1	-1	1192	0.4707740916271722	5	3	10.954	28	0	0.0	None	5746	3000	1265	999	0.999	949	208	362	36	1487	4878	7086	0.9999999999998171	0.9999999999998126	0.9999999999998074	0.9999999999998012	1.0	1.0	2.66036452985	0.438092557864	1.0	-1	-1	-1	-1	-1	-1	-1	-1	0	0	54
ceiling	flickr8k	2	2532	0	-1	-1	-1	-1	-1	-1	1202	0.47472353870458134	5	3	10.873	28	0	0.0	None	5684	2988	1299	999	0.999	955	214	374	32	1501	4865	7046	0.9999999999998158	0.9999999999998112	0.9999999999998058	0.9999999999997995	1.0	1.0	2.65285169708	0.43723152997	1.0	-1	-1	-1	-1	-1	-1	-1	-1	0	0	54
ceiling	flickr8k	3	2532	0	-1	-1	-1	-1	-1	-1	1211	0.4782780410742496	5	2	10.922	28	0	0.0	None	5633	2930	1269	999	0.999	996	215	388	36	1549	4954	7120	0.9999999999998167	0.999999999999812	0.9999999999998068	0.9999999999998006	1.0	1.0	2.66861103271	0.44122816594	1.0	-1	-1	-1	-1	-1	-1	-1	-1	0	0	53
ceiling	flickr30k	1	7342	0	-1	-1	-1	-1	-1	-1	1749	0.238218469081994	5	2	12.365	49	0	0.0	None	7246	4141	1970	1000	1.0	1171	284	481	57	1902	6095	8509	0.999999999999838	0.9999999999998345	0.9999999999998305	0.9999999999998259	1.0	1.0	2.53526883834	0.412760928414	1.0	-1	-1	-1	-1	-1	-1	-1	-1	0	0	73
ceiling	flickr30k	2	7342	0	-1	-1	-1	-1	-1	-1	1792	0.2440751838736039	5	2	12.381	51	0	0.0	None	7288	4120	1971	1000	1.0	1220	284	484	51	1936	6139	8601	0.9999999999998384	0.9999999999998348	0.9999999999998308	0.9999999999998263	1.0	1.0	2.53922409749	0.415439604791	1.0	-1	-1	-1	-1	-1	-1	-1	-1	0	0	66
ceiling	flickr30k	3	7342	0	-1	-1	-1	-1	-1	-1	1766	0.2405339144647235	5	3	12.25	70	0	0.0	None	7184	4052	1938	1000	1.0	1187	275	472	57	1899	6076	8467	0.9999999999998366	0.9999999999998329	0.9999999999998289	0.9999999999998241	1.0	1.0	2.53490238517	0.414793821827	1.0	-1	-1	-1	-1	-1	-1	-1	-1	0	0	60
ceiling	mscoco	1	8725	0	-1	-1	-1	-1	-1	-1	3235	0.37077363896848137	5	6	10.486	39	0	0.0	None	34322	22308	12766	4987	0.9974	2338	700	887	104	3543	16865	28169	0.9999999999999619	0.9999999999999609	0.9999999999999597	0.9999999999999584	1.0	1.0	2.71270423156	0.430146114109	1.0	-1	-1	-1	-1	-1	-1	-1	-1	0	0	106
ceiling	mscoco	2	8725	0	-1	-1	-1	-1	-1	-1	3234	0.3706590257879656	5	7	10.462	43	0	0.0	None	33998	22019	12651	4986	0.9972	2360	705	878	115	3579	16968	28067	0.9999999999999618	0.9999999999999608	0.9999999999999597	0.9999999999999583	1.0	1.0	2.72031669638	0.431685046448	1.0	-1	-1	-1	-1	-1	-1	-1	-1	0	0	106
ceiling	mscoco	3	8725	0	-1	-1	-1	-1	-1	-1	3281	0.3760458452722063	5	7	10.4972	39	0	0.0	None	34104	22013	12575	4991	0.9982	2404	686	881	107	3590	17130	28402	0.9999999999999619	0.9999999999999609	0.9999999999999598	0.9999999999999584	1.0	1.0	2.71362862277	0.431464749751	1.0	-1	-1	-1	-1	-1	-1	-1	-1	0	0	100
ceiling	flickr8k	4	2532	0	-1	-1	-1	-1	-1	-1	1194	0.471563981042654	5	3	10.996	29	0	0.0	None	5715	3002	1262	999	0.999	969	220	355	45	1501	4926	7164	0.999999999999818	0.9999999999998135	0.9999999999998083	0.9999999999998022	1.0	1.0	2.67229900204	0.442988166596	1.0	-1	-1	-1	-1	-1	-1	-1	-1	0	0	59
