architecture	dataset	run	vocab_size	num_params	mean_prob	median_prob	geomean_prob	mean_pplx	median_pplx	geomean_pplx	vocab_used	vocab_used_frac	min_freq_vocab_used	min_sent_len	mean_sent_len	max_sent_len	num_reused_sents	num_reused_sents_frac	reused_sents_WMD	num_reused_3grams	num_reused_4grams	num_reused_5grams	num_unique_sents	num_unique_sents_frac	num_types_nouns	num_types_adjectives	num_types_verbs	num_types_adverbs	num_types_unigrams	num_types_bigrams	num_types_trigrams	BLEU_1	BLEU_2	BLEU_3	BLEU_4	METEOR	ROUGE_L	CIDEr	SPICE	WMD	R@1	R@5	R@10	median_rank	R@1_frac	R@5_frac	R@10_frac	median_rank_frac	num_epochs	training_time	total_time
init	flickr8k	1	2532	5199452	1.25018147638e-05	2.82421959065e-13	1.38930408803e-14	24.2023379018	12.8587273614	14.3146131799	346	0.13665086887835703	5	5	9.98	20	0	0.0	None	7881	6378	4634	822	0.822	227	29	76	3	346	820	1380	0.610320641282504	0.4259073625426311	0.28846764390104623	0.19270592509862025	0.19580992888166232	0.449966809213	0.484843566281	0.13493433171	0.139160534867	187	436	569	7.0	0.187	0.436	0.569	0.007	10	311	765
init	flickr8k	2	2532	5199452	1.7802376053e-05	3.37237746947e-13	1.46435693782e-14	24.5579143777	12.8874196419	14.2539709311	390	0.15402843601895735	5	5	10.12	20	0	0.0	None	7988	6400	4602	809	0.809	262	30	82	4	390	912	1560	0.5974308300394666	0.4109489285938747	0.27718722510468274	0.18445381878874054	0.19240174229320767	0.438396475074	0.444606080343	0.133473064881	0.135386961286	170	424	573	8.0	0.17	0.424	0.573	0.008	11	342	809
init	flickr8k	3	2532	5199452	1.98328510914e-05	3.01544712077e-13	1.43048022507e-14	23.6558060765	12.9318837742	14.2884874393	345	0.1362559241706161	5	5	10.195	20	0	0.0	None	8105	6620	4883	793	0.793	238	30	69	1	345	832	1386	0.6031387935261792	0.4226263639162427	0.28887266403591705	0.19661011175481125	0.19628195216823846	0.448429113326	0.497021180271	0.136928041276	0.143134196912	193	449	601	7.0	0.193	0.449	0.601	0.007	10	309	760
init	flickr8k	4	2532	5199452	1.82039691549e-05	3.2330847651e-13	1.4654957409e-14	24.6413179858	12.8956226678	14.2714308438	366	0.14454976303317535	5	5	10.013	20	0	0.0	None	7931	6427	4771	785	0.785	237	33	84	4	366	860	1413	0.6014181563966242	0.41884069833940163	0.2839736850991914	0.19081570736405573	0.19155407184619105	0.443234071313	0.470168368313	0.13157401743	0.139107965551	183	428	563	8.0	0.183	0.428	0.563	0.008	11	337	796
init	flickr8k	5	2532	5199452	2.07119258782e-05	3.03149164935e-13	1.49529097387e-14	24.0161596267	12.9650029575	14.2542680495	364	0.14375987361769352	5	5	10.059	20	0	0.0	None	7945	6388	4709	806	0.806	237	31	84	5	364	870	1486	0.610696888358623	0.4256048388622329	0.28847027615240367	0.19216580095041258	0.19578422805146453	0.448991299787	0.472555541457	0.132046100864	0.140784255412	189	441	573	7.0	0.189	0.441	0.573	0.007	11	337	797
init	flickr30k	1	7342	9629462	4.70702077042e-06	2.35970830528e-15	1.82947377619e-17	33.1728882474	15.233051948	17.3011334022	402	0.05475347316807409	10	6	11.571	20	0	0.0	None	9542	8375	6983	765	0.765	268	28	87	0	402	855	1377	0.5842191686111327	0.3953389161897239	0.2643310256583017	0.17724320785799175	0.17557677703258945	0.416681177604	0.355936245711	0.114547474234	0.122801708499	224	477	588	6.0	0.224	0.477	0.588	0.006	9	3525	4556
init	flickr30k	2	7342	9629462	4.59273338183e-06	2.32309913613e-15	1.89401406807e-17	34.0321212532	15.0164623058	17.220015839	443	0.06033778262053936	5	6	10.362	20	0	0.0	None	8338	7210	5942	742	0.742	290	33	97	3	443	883	1345	0.6246140928589814	0.4272019565130177	0.28972984380585565	0.19719662242812339	0.17391837407413288	0.422264037229	0.372775910904	0.114290213378	0.121299651214	208	499	625	6.0	0.208	0.499	0.625	0.006	10	3904	4890
init	flickr30k	3	7342	9629462	4.23512673137e-06	2.93249485619e-15	1.94643449861e-17	34.575337187	15.0177879521	17.2263984077	400	0.05448106782892945	14	5	10.341	20	0	0.0	None	8331	7236	5936	733	0.733	281	33	71	1	400	761	1140	0.620636302098383	0.4253492995354774	0.28630802940414957	0.19255440299066934	0.17227888403417435	0.422024918651	0.374641371987	0.110105849221	0.12246167996	226	498	610	6.0	0.226	0.498	0.61	0.006	9	3516	4438
init	flickr30k	4	7342	9629462	5.70632083987e-06	1.83932440492e-15	1.77893751046e-17	33.7545638854	15.0663270045	17.3668858079	402	0.05475347316807409	5	5	11.09	20	0	0.0	None	9069	7889	6562	734	0.734	266	35	87	1	402	805	1242	0.5999999999999459	0.4081916415774397	0.2737357201560475	0.18449751635941222	0.17435452319008932	0.421157859234	0.353754401916	0.110946688471	0.119345365037	215	485	595	6.0	0.215	0.485	0.595	0.006	9	3514	4544
init	flickr30k	5	7342	9629462	2.80096510854e-06	2.35254004117e-15	1.99952841708e-17	32.4117447588	15.0074287189	17.1806010385	391	0.05325524380277853	5	5	11.712	20	0	0.0	None	9692	8497	7060	737	0.737	262	29	81	0	391	779	1237	0.5792349726775462	0.39167132181957004	0.2629481173698619	0.1771571080997275	0.1730899634029419	0.412031240347	0.346703083128	0.111210110684	0.119738991062	217	486	597	6.0	0.217	0.486	0.597	0.006	8	3133	4151
