architecture	dataset	run	vocab_size	num_params	mean_prob	median_prob	geomean_prob	mean_pplx	median_pplx	geomean_pplx	vocab_used	vocab_used_frac	min_freq_vocab_used	min_sent_len	mean_sent_len	max_sent_len	num_reused_sents	num_reused_sents_frac	reused_sents_WMD	num_reused_3grams	num_reused_4grams	num_reused_5grams	num_unique_sents	num_unique_sents_frac	num_types_nouns	num_types_adjectives	num_types_verbs	num_types_adverbs	num_types_unigrams	num_types_bigrams	num_types_trigrams	BLEU_1	BLEU_2	BLEU_3	BLEU_4	METEOR	ROUGE_L	CIDEr	SPICE	WMD	R@1	R@5	R@10	median_rank	R@1_frac	R@5_frac	R@10_frac	median_rank_frac	num_epochs	training_time	total_time
merge	flickr8k	1	2532	3396151	1.03899317333e-05	1.42863375052e-14	6.78780160116e-16	32.6930327829	16.5632406102	18.4830070021	290	0.11453396524486571	11	5	9.911	20	0	0.0	None	7772	6170	4360	844	0.844	198	22	65	4	290	707	1284	0.6188073857329615	0.42507754976816875	0.2809579944729788	0.18345920141837674	0.1921059008632894	0.445003969449	0.470714746955	0.131752527617	0.138302583577	160	386	509	10.0	0.16	0.386	0.509	0.01	15	314	820
merge	flickr8k	2	2532	3396151	8.50265073097e-06	1.26917935361e-14	5.70301052103e-16	34.5405851268	16.880832009	18.7705879616	295	0.1165086887835703	6	5	10.134	20	0	0.0	None	8026	6402	4424	887	0.887	199	22	63	1	295	732	1331	0.5959147424510957	0.4005353259963976	0.25792825021177096	0.16251386053439856	0.1888108848152819	0.440283987801	0.438872864404	0.12638587235	0.133329664988	151	358	478	12.0	0.151	0.358	0.478	0.012	15	315	838
merge	flickr8k	3	2532	3396151	1.15938228334e-05	1.58182549252e-14	7.01968509074e-16	33.1348466633	16.625068941	18.4640615958	301	0.1188783570300158	9	5	9.981	20	0	0.0	None	7834	6213	4387	864	0.864	201	24	70	1	301	750	1387	0.5990381725277428	0.40655148500156013	0.26474469563800196	0.17248530439638646	0.18996949818347716	0.434346188642	0.458348640322	0.127788287239	0.13761383538	173	380	510	10.0	0.173	0.38	0.51	0.01	16	334	850
merge	flickr30k	1	7342	7109471	2.32745590511e-06	1.01497966732e-16	7.24458229622e-19	54.9691395575	19.2407074193	21.9329862476	397	0.05407245982021248	15	5	10.361	20	0	0.0	None	8320	7147	5829	775	0.775	268	32	83	0	397	787	1244	0.618179569840896	0.42198118825852204	0.28348007263425384	0.18909803500687547	0.1709916738027472	0.422751706166	0.377664912075	0.109406656738	0.119694393238	196	469	566	7.0	0.196	0.469	0.566	0.007	10	3292	4540
merge	flickr30k	2	7342	7109471	1.92533552814e-06	1.26023521469e-16	7.11740665868e-19	55.1921490273	19.1470690718	22.0190855003	381	0.0518932171070553	9	5	10.322	20	0	0.0	None	8294	7144	5874	726	0.726	265	32	75	0	381	717	1090	0.6197442356131931	0.4194968164654734	0.28070734114582646	0.1863271412212209	0.17029593204296206	0.418925643743	0.367003741116	0.10714816426	0.119106405523	200	448	548	8.0	0.2	0.448	0.548	0.008	12	3924	5173
merge	flickr30k	3	7342	7109471	1.99594074245e-06	1.31518226813e-16	7.39005560086e-19	52.201417766	19.1024229412	21.8990399438	374	0.05093979842004903	13	5	10.123	20	0	0.0	None	8084	6931	5641	737	0.737	260	24	75	0	374	734	1178	0.6132323780328012	0.4166005450414583	0.27916334111553365	0.18730400634820965	0.17164324555344912	0.419545156221	0.373237327084	0.110771680059	0.122383088256	208	436	560	8.0	0.208	0.436	0.56	0.008	11	3604	4785
merge	mscoco	1	8725	8177147	1.65888639951e-05	3.14297127709e-12	1.64163852422e-13	30.3093678429	10.757238921	12.7587701434	634	0.0726647564469914	11	7	9.0018	13	0	0.0	None	34921	29565	23940	2279	0.4558	473	93	77	3	634	2014	3764	0.6607381041557077	0.4862584810805261	0.3556636664633044	0.26198337798195576	0.2177752229482082	0.486281474149	0.772937909136	0.148041948995	0.172755429317	561	1460	2075	16.0	0.1122	0.292	0.415	0.0032	12	8489	23122
merge	flickr8k	4	2532	3396151	1.21876984849e-05	1.14577481366e-14	5.14073248402e-16	33.7982197108	17.0872116043	18.8640000297	282	0.11137440758293839	9	5	9.693	20	0	0.0	None	7561	6026	4202	839	0.839	192	21	58	3	282	696	1253	0.6100278551531404	0.4194374074164364	0.2768612581379425	0.17930641804560626	0.18845228502721342	0.439467888917	0.463867161125	0.126311237753	0.140488150856	158	383	508	10.0	0.158	0.383	0.508	0.01	14	295	826
merge	flickr8k	5	2532	3396151	8.51011549366e-06	1.33044479078e-14	6.49302973194e-16	32.3048751024	16.7277813861	18.5413099023	282	0.11137440758293839	5	5	10.28	20	0	0.0	None	8141	6501	4478	873	0.873	189	17	68	0	282	726	1330	0.5886186770427443	0.40146285018975797	0.26416186562694505	0.1711668553898161	0.1883031880702691	0.437514472488	0.45070678298	0.127776975426	0.134556398454	145	389	511	10.0	0.145	0.389	0.511	0.01	14	296	839
merge	flickr30k	4	7342	7109471	2.51659168431e-06	9.60765668193e-17	6.40884593626e-19	56.3257313996	19.3506980277	22.1084144102	362	0.04930536638518115	6	5	10.12	20	0	0.0	None	8091	6948	5658	761	0.761	252	26	71	0	362	709	1127	0.6210829318748484	0.423413127123897	0.282879081906409	0.189026077159774	0.17107393508636853	0.420683869461	0.369872022712	0.111078578826	0.122642898058	197	449	551	7.5	0.197	0.449	0.551	0.0075	10	3302	4607
merge	flickr30k	5	7342	7109471	1.63220976313e-06	9.84671608833e-17	7.07911830366e-19	59.2545132872	19.1564635464	22.0437420098	393	0.053527649141923185	9	5	10.436	20	0	0.0	None	8390	7237	5936	751	0.751	270	25	84	1	393	754	1170	0.6175201151593442	0.4218019581878327	0.2845173442606434	0.1912159067655958	0.17064273429540883	0.422189225847	0.366796257202	0.110088220182	0.118577439406	170	427	548	8.0	0.17	0.427	0.548	0.008	12	3935	5219
merge	mscoco	2	8725	8177147	1.73310314644e-05	2.96848967508e-12	1.59914250713e-13	31.5892691129	10.722960391	12.7882135898	622	0.07128939828080229	11	7	8.9834	20	0	0.0	None	34839	29524	23941	2379	0.4758	463	87	71	3	622	1980	3738	0.6678652711387072	0.4901804914400074	0.3552348422480667	0.2584157205519594	0.21813746104862217	0.489579171138	0.769941030521	0.148373209903	0.172427605923	550	1504	2090	16.0	0.11	0.3008	0.418	0.0032	12	7994	21684
merge	mscoco	3	8725	8177147	1.63944954044e-05	3.18021760426e-12	1.60996978992e-13	30.7698950289	10.7432588615	12.7920245746	648	0.07426934097421203	9	7	8.9776	13	0	0.0	None	34814	29441	23841	2324	0.4648	485	81	78	1	648	1991	3749	0.6636327254620547	0.4878537207457511	0.3543859821789216	0.2590146575239171	0.21752024306902026	0.488973067955	0.763332532426	0.147690783533	0.171880020416	546	1487	2105	16.0	0.1092	0.2974	0.421	0.0032	12	7999	21111
merge	mscoco	4	8725	8177147	1.61561285607e-05	3.55072812004e-12	1.73777829565e-13	31.8998029144	10.671641934	12.7198705314	666	0.0763323782234957	18	7	9.0276	13	0	0.0	None	35046	29705	24094	2391	0.4782	487	81	95	4	666	2106	3908	0.6614951801012139	0.4817964357660575	0.3457338286642118	0.24938889462037742	0.21642755425056942	0.484524991805	0.75352004247	0.146791653089	0.171295840194	576	1515	2097	16.0	0.1152	0.303	0.4194	0.0032	14	9296	23014
