architecture	dataset	run	vocab_size	num_params	mean_prob	median_prob	geomean_prob	mean_pplx	median_pplx	geomean_pplx	vocab_used	vocab_used_frac	min_freq_vocab_used	min_sent_len	mean_sent_len	max_sent_len	num_reused_sents	num_reused_sents_frac	reused_sents_WMD	num_reused_3grams	num_reused_4grams	num_reused_5grams	num_unique_sents	num_unique_sents_frac	num_types_nouns	num_types_adjectives	num_types_verbs	num_types_adverbs	num_types_unigrams	num_types_bigrams	num_types_trigrams	BLEU_1	BLEU_2	BLEU_3	BLEU_4	METEOR	ROUGE_L	CIDEr	SPICE	WMD	R@1	R@5	R@10	median_rank	R@1_frac	R@5_frac	R@10_frac	median_rank_frac	num_epochs	training_time	total_time
par	flickr8k	1	2532	5628326	2.02440429731e-05	7.55445571657e-14	3.20588002194e-15	28.7769914166	14.6599842235	16.2109107382	381	0.1504739336492891	5	5	10.509	20	0	0.0	None	8336	6582	4498	909	0.909	250	33	82	5	381	1012	1846	0.5987249024644972	0.4162655324922774	0.27956794070955554	0.18516774631880917	0.19841895346306151	0.449445968238	0.496603325869	0.138761327129	0.138838779176	153	388	544	9.0	0.153	0.388	0.544	0.009	22	831	1276
par	flickr8k	2	2532	5628326	1.9648065128e-05	7.89561762875e-14	3.02421473795e-15	29.0856848161	14.7086954592	16.3193384393	347	0.13704581358609794	6	5	10.778	20	0	0.0	None	8595	6835	4769	919	0.919	233	29	74	2	347	948	1784	0.5908331786972916	0.41139970475450627	0.2779750744574213	0.1836587866180273	0.1975454619005115	0.448671789478	0.475845694515	0.13227238705	0.136889372426	160	394	544	9.0	0.16	0.394	0.544	0.009	22	830	1292
par	flickr8k	3	2532	5628326	1.81521302097e-05	8.44676290567e-14	3.21340778276e-15	28.8502471685	14.5620871818	16.2059662878	370	0.146129541864139	5	5	10.431	20	0	0.0	None	8248	6521	4523	927	0.927	253	27	79	3	370	1026	1901	0.5915060876233734	0.4087594886039362	0.27052497426754496	0.17646925567107435	0.19477376358738457	0.445074196194	0.470142975447	0.129965241277	0.136856426588	164	413	566	8.0	0.164	0.413	0.566	0.008	24	905	1342
par	flickr8k	4	2532	5628326	1.89354021287e-05	8.19083742551e-14	3.26964113681e-15	29.0949462408	14.6949621587	16.161396195	364	0.14375987361769352	5	5	10.623	20	0	0.0	None	8448	6712	4630	899	0.899	253	32	68	2	364	988	1814	0.5923938623740381	0.4110002497252997	0.2746863958509312	0.1814845284066545	0.19533147472448092	0.445183436396	0.475825264178	0.131817953835	0.139714820101	165	386	514	10.0	0.165	0.386	0.514	0.01	23	869	1320
par	flickr8k	5	2532	5628326	1.85077445024e-05	6.88354969024e-14	2.87388389111e-15	29.1772541353	14.9155472691	16.3617466559	354	0.13981042654028436	5	5	10.757	20	0	0.0	None	8548	6796	4734	902	0.902	238	29	75	3	354	940	1724	0.5821325648414444	0.4017320024763607	0.2673614299109751	0.17617521409259437	0.19295212864490308	0.442240752488	0.459877544936	0.12984254455	0.13434243236	150	400	531	9.0	0.15	0.4	0.531	0.009	21	792	1242
par	flickr30k	1	7342	10173776	7.66499613839e-06	1.18538432258e-15	1.00580698652e-17	36.5789051611	15.6733423453	18.0467259323	483	0.0657858894034323	9	5	11.048	20	0	0.0	None	9007	7793	6394	836	0.836	318	42	108	0	483	1005	1607	0.6123280231715593	0.42075116083318936	0.28239551336879426	0.19043458196419386	0.1781558384047985	0.427314464593	0.389500426804	0.116266051877	0.122483832736	180	443	566	7.0	0.18	0.443	0.566	0.007	21	9814	10743
par	flickr30k	2	7342	10173776	5.37852283932e-06	1.26503506508e-15	9.08972022413e-18	36.6390671351	15.7467669118	18.1763055788	466	0.0634704440207028	10	5	11.12	20	0	0.0	None	9086	7860	6456	821	0.821	328	29	96	0	466	971	1573	0.6153776978416713	0.42253106638631693	0.2867144931582919	0.1947908922174081	0.17820452020153843	0.426103950177	0.38460473185	0.118696689239	0.123839489226	220	476	584	6.0	0.22	0.476	0.584	0.006	18	8439	9365
par	flickr30k	3	7342	10173776	4.96258338704e-06	1.15293785434e-15	7.63077091552e-18	36.4722560312	16.1942496405	18.3730840249	430	0.058567147916099155	16	5	11.574	20	0	0.0	None	9536	8312	6891	835	0.835	302	29	86	0	430	908	1493	0.598064627613565	0.40541723783757383	0.27066431051142653	0.17890740120836407	0.17786765901636642	0.426533885918	0.369695230644	0.116216619499	0.121989149004	215	482	609	6.0	0.215	0.482	0.609	0.006	15	7062	7933
par	flickr30k	4	7342	10173776	6.28841101532e-06	1.42197739066e-15	1.03743415302e-17	38.3117414838	15.6202563907	17.9886096668	491	0.0668755107600109	6	5	11.209	20	0	0.0	None	9155	7913	6434	870	0.87	343	36	97	1	491	1063	1729	0.6038897314657325	0.41008666789392006	0.2738821846649519	0.18174894390657279	0.17533520981688616	0.420195888242	0.36883348325	0.115176392464	0.119147538664	208	455	582	7.0	0.208	0.455	0.582	0.007	22	10300	11253
par	flickr30k	5	7342	10173776	7.01284196624e-06	1.17937654253e-15	8.63602902413e-18	36.6502187254	15.9160783757	18.2525215346	455	0.06197221465540725	11	6	11.164	20	0	0.0	None	9113	7933	6582	847	0.847	315	33	94	0	455	959	1506	0.6114295951271398	0.4221888171424061	0.2893890790287371	0.19706149912573603	0.17846146742499572	0.429122186336	0.394563735253	0.115328582839	0.123313277254	200	450	586	7.0	0.2	0.45	0.586	0.007	18	8451	9351
