architecture	dataset	run	vocab_size	num_params	mean_prob	median_prob	geomean_prob	mean_pplx	median_pplx	geomean_pplx	vocab_used	vocab_used_frac	min_freq_vocab_used	min_sent_len	mean_sent_len	max_sent_len	num_reused_sents	num_reused_sents_frac	reused_sents_WMD	num_reused_3grams	num_reused_4grams	num_reused_5grams	num_unique_sents	num_unique_sents_frac	num_types_nouns	num_types_adjectives	num_types_verbs	num_types_adverbs	num_types_unigrams	num_types_bigrams	num_types_trigrams	BLEU_1	BLEU_2	BLEU_3	BLEU_4	METEOR	ROUGE_L	CIDEr	SPICE	WMD	R@1	R@5	R@10	median_rank	R@1_frac	R@5_frac	R@10_frac	median_rank_frac	num_epochs	training_time	total_time
pre	flickr8k	1	2532	3682810	1.07197283977e-05	2.76679645951e-14	1.29081771677e-15	29.8388161633	16.4212173338	17.5733311077	259	0.10229067930489731	17	5	9.152	18	0	0.0	None	7100	5737	4146	710	0.71	176	20	53	0	259	670	1159	0.604679105617367	0.4149809241533806	0.2789635505081526	0.18607234764006728	0.18720354022820596	0.440276361182	0.438517681065	0.126055724534	0.135928130873	106	340	488	11.0	0.106	0.34	0.488	0.011	17	668	1193
pre	flickr8k	2	2532	3682810	2.31158357947e-05	2.80563243662e-14	1.39477559511e-15	29.8839183574	16.3850476321	17.4682544748	269	0.10624012638230648	17	5	9.741	20	0	0.0	None	7634	6136	4432	781	0.781	176	20	67	1	269	729	1345	0.5931629196180481	0.40924088450008345	0.2736341603976371	0.18337173256976697	0.18668119626267138	0.436406311437	0.444095048798	0.126876821593	0.1349498479	107	320	458	13.0	0.107	0.32	0.458	0.013	18	707	1257
pre	flickr8k	3	2532	3682810	2.17741089875e-05	2.08256604273e-14	1.00994024381e-15	30.5257860409	16.8788150281	17.9103173716	227	0.089652448657188	19	5	9.433	16	0	0.0	None	7397	6030	4492	666	0.666	146	18	49	2	227	571	982	0.6037144806502073	0.4135538130438575	0.2776035955306289	0.18426661395036448	0.18683921854132562	0.444971569297	0.444304759263	0.126425129012	0.139235760681	105	306	448	13.0	0.105	0.306	0.448	0.013	14	552	1075
pre	flickr8k	4	2532	3682810	1.4138908271e-05	2.89839721792e-14	1.32701364299e-15	29.6554951098	16.537718717	17.542329572	250	0.09873617693522907	26	5	9.208	16	0	0.0	None	7160	5833	4222	694	0.694	167	20	53	1	250	627	1087	0.6054827009900193	0.40888871751230194	0.2692839236232765	0.1730216123707161	0.18394916868792885	0.435589694891	0.423324494189	0.125046383713	0.131161752797	103	319	428	14.0	0.103	0.319	0.428	0.014	17	669	1197
pre	flickr8k	5	2532	3682810	1.73199296844e-05	2.71969751553e-14	1.33496731421e-15	29.8057582765	16.5539467095	17.5482653113	256	0.10110584518167456	12	5	9.301	16	0	0.0	None	7210	5900	4381	709	0.709	168	16	58	2	256	662	1163	0.603287672969488	0.41710752717210964	0.28361459192733324	0.1892331795113669	0.18823809335766237	0.442779639999	0.456895425974	0.12875670929	0.142545342043	110	332	448	13.0	0.11	0.332	0.448	0.013	17	667	1196
pre	flickr30k	1	7342	7073860	2.53388622263e-06	1.3592061562e-16	9.16927263929e-19	42.6264581454	19.3440736047	21.709963775	306	0.041678016889131024	55	5	10.635	20	0	0.0	None	8629	7546	6342	670	0.67	208	22	65	1	306	661	1039	0.6035731076633188	0.4046614867792364	0.27130008197943667	0.18269959438704908	0.16868227056864335	0.413085761777	0.339735602593	0.108403733709	0.118564796248	109	344	476	12.0	0.109	0.344	0.476	0.012	21	10234	11579
pre	flickr30k	2	7342	7073860	3.06835694889e-06	1.33052138195e-16	9.20885276479e-19	42.1879941139	19.2620573848	21.7091870452	300	0.040860800871697085	48	5	10.23	20	0	0.0	None	8226	7147	5944	658	0.658	196	22	66	0	300	652	1055	0.6107281693980395	0.4147186417410501	0.2768361173276725	0.18492438451312992	0.1679044364523373	0.417255510623	0.34173807658	0.106791194673	0.122180321014	136	360	510	10.0	0.136	0.36	0.51	0.01	21	10254	11546
pre	flickr30k	3	7342	7073860	1.92270560348e-06	7.73512619903e-17	5.590858405e-19	45.1917931395	20.2568632316	22.6061496705	267	0.03636611277581041	111	5	10.225	20	0	0.0	None	8222	7158	6006	566	0.566	175	18	57	1	267	577	918	0.6088982935218552	0.4052422289250739	0.26539534685568683	0.1737904766891554	0.16525049876718712	0.411216536199	0.327416578578	0.108156239431	0.116100001563	133	351	485	11.0	0.133	0.351	0.485	0.011	13	6372	7591
pre	flickr30k	4	7342	7073860	2.81804281107e-06	8.55033314755e-17	6.54642856477e-19	44.6918737099	19.9814247855	22.3109855089	278	0.03786434214110596	107	5	10.831	20	0	0.0	None	8825	7712	6453	623	0.623	188	21	56	1	278	586	968	0.5960668451665962	0.40114288550818694	0.2658371401967903	0.17307141195545042	0.16757395299512945	0.409175593255	0.337451459228	0.108522788632	0.116411470907	129	356	483	12.0	0.129	0.356	0.483	0.012	16	7792	9128
pre	flickr30k	5	7342	7073860	4.21994219176e-06	1.07556750418e-16	8.32356066991e-19	43.5993800641	19.5590944811	21.9418932368	301	0.04099700354126941	68	5	10.271	20	0	0.0	None	8263	7163	5928	662	0.662	196	23	62	2	301	653	1065	0.6021389704754417	0.40470714370829675	0.27127704792609403	0.18096055817581796	0.16582594383147295	0.412230538364	0.339980066466	0.10710460003	0.118178348186	134	346	476	12.0	0.134	0.346	0.476	0.012	18	8734	10008
pre	mscoco	1	8725	8048875	3.0415172358e-05	1.09285663122e-12	8.12069733552e-14	29.5650423381	11.8542764371	13.6083184191	439	0.050315186246418335	162	7	9.0962	13	0	0.0	None	35475	30423	25273	1349	0.2698	320	59	54	3	439	1375	2500	0.6492383681435038	0.4723034780616522	0.3414599317040977	0.25116075710435665	0.2141963752042965	0.480309355079	0.736243728201	0.142527991733	0.170561619567	314	1089	1645	24.0	0.0628	0.2178	0.329	0.0048	16	16371	31635
pre	mscoco	2	8725	8048875	3.02470191776e-05	1.13309899241e-12	8.57912829578e-14	29.316102993	11.7131558462	13.5531036572	454	0.05203438395415473	91	7	9.0552	13	0	0.0	None	35271	30214	25068	1410	0.282	328	57	57	6	454	1430	2558	0.6519843145125134	0.47058350901962737	0.3384925874816958	0.24914831620164515	0.21435356655286714	0.482041380766	0.734487262093	0.144799358364	0.16817742457	319	1086	1660	22.5	0.0638	0.2172	0.332	0.0045	17	17398	32207
pre	mscoco	3	8725	8048875	3.27625199465e-05	1.25718190582e-12	8.40544606416e-14	29.3428426761	11.7558504	13.5642651179	444	0.050888252148997136	121	7	9.118	13	0	0.0	None	35579	30498	25316	1532	0.3064	329	60	53	3	444	1439	2657	0.655914864155058	0.4760210003528449	0.3440702110654312	0.25297179506445366	0.2160968748603368	0.483636603294	0.749664761786	0.146237488386	0.170604966303	377	1102	1643	22.0	0.0754	0.2204	0.3286	0.0044	17	17338	31545
pre	mscoco	4	8725	8048875	3.10287230336e-05	1.2148257595e-12	9.00091480376e-14	29.2272322535	11.7340315014	13.4960358251	446	0.05111747851002865	143	7	9.0906	13	0	0.0	None	35445	30395	25246	1395	0.279	328	55	57	2	446	1417	2592	0.6504027742756106	0.47240488909922795	0.34283069150807854	0.25269319683022384	0.21434424202498473	0.481964124899	0.737178244652	0.144077923538	0.169774912349	343	1109	1660	23.0	0.0686	0.2218	0.332	0.0046	19	19408	34203
pre	mscoco	5	8725	8048875	3.05916202245e-05	1.12640178364e-12	8.23499691048e-14	29.5743196356	11.7340543095	13.5862464659	456	0.05226361031518625	62	7	9.0654	13	0	0.0	None	35317	30217	25004	1537	0.3074	336	70	52	3	456	1476	2729	0.6497908487618091	0.4703032860376843	0.3396641328525768	0.24909637698574866	0.21503356761098225	0.481621349624	0.738947159211	0.143529745342	0.169387977811	357	1096	1677	22.0	0.0714	0.2192	0.3354	0.0044	16	16345	30368
